collected_frames,state/lin_vel_mean,state/lin_vel_max,state/ang_vel_mean,state/ang_vel_max,state/roll_deg_mean,state/roll_deg_max,state/pitch_deg_mean,state/pitch_deg_max,state/dist_to_goal,state/clearance_mean,state/clearance_min,state/pct_healthy
2293760,0.26623586285859346,0.9855187805369496,0.39462772011756897,2.241725718602538,9.077380537986755,63.35991391539574,9.942067965865135,46.421915888786316,3.5485051721334457,0.14720378839410841,-0.5794583966489881,1.0
2359296,0.2536974784452468,1.078222818672657,0.39598166360519826,2.41028309520334,10.553781144320965,55.053911834955215,9.71662937104702,51.96520459651947,3.5284646842628717,0.15051255410071462,-0.6999257309362292,1.0
2424832,0.15409683410628103,0.8391591537609158,0.1978559348653688,1.780286525791309,12.719792406771791,52.06361661438482,8.897412373360348,37.13546309715518,3.596545126244246,0.1463767580704831,0.021686274809370108,1.0
2490368,0.285994125995785,1.0281068235635757,0.39625563099980354,2.2775606885552406,7.225783672183752,44.19770088791847,9.036997891962528,42.209026008844376,3.9005502555519342,0.1352419174509123,-0.0016771184746176004,1.0
2555904,0.26017810101620853,1.0262729655951262,0.37975696264766157,2.1182325668632984,8.399991054087877,55.04462343454361,8.223043151199818,45.754871249198914,3.6665821503847837,0.13614373502787203,-0.5047597133088857,1.0
2621440,0.2559070411371067,0.9953684960491955,0.3742976344656199,2.4060608306899667,8.34424390643835,52.11548155546188,7.678037919104099,44.48247316479683,3.5576242674142122,0.1354593416908756,-0.7843890991061926,1.0
2686976,0.25849509658291936,1.134759561624378,0.3690811067353934,2.4681807663291693,7.567031491547823,52.357247620821,7.664983689785004,49.49548262357712,3.5202116891741753,0.12875250104116276,-0.7858088659122586,1.0
2752512,0.17292440248967475,0.9090234666658812,0.17089610425643173,1.787335435444691,4.0739652044490455,38.68951904512269,4.559971744574028,35.522700771689415,3.6630011708980583,0.08706684619558594,-0.009796588983196002,1.0
2818048,0.3231991135980934,1.2471173624508083,0.33852755022235215,2.488154198974371,2.5342393200844526,40.883313208818436,5.233611896634102,45.39680990576744,3.9131467919796705,0.09388813679106534,-0.029686672147363424,1.0
2883584,0.31388282123953104,1.1127956421114504,0.3331146542914212,2.45017016120255,3.1618446856737137,55.651236802339554,4.353004436939955,40.55169850587845,3.7239095978438854,0.09336827200604603,-0.05807208921760321,1.0
2949120,0.31390485400334,1.0844481689855456,0.32529839570634067,2.3056478518992662,3.339615812525153,53.973747342824936,4.614079900085926,49.11676672101021,3.642326546832919,0.09701480733929202,-0.08058849652297795,1.0
3014656,0.31079806573688984,1.0685681998729706,0.3295028244610876,2.064879988320172,3.9443639274686575,46.96438214182854,4.794761668890715,48.447813630104065,3.560119988396764,0.09846692439168692,-0.05342419259250164,1.0
3080192,0.1928243496601122,0.9016393951353538,0.1345916981135596,1.724338158179658,2.796184565308111,57.92036051567958,3.1465238836349876,43.12693764021373,3.787950637469809,0.06508408933709633,-0.03467371782669461,1.0
3145728,0.3488203249871731,1.1406823028810322,0.337103976868093,2.1648546727374196,1.9168956484645605,45.07634514570236,4.893886707723141,43.06459137797356,4.1121895760297775,0.08593476074747741,-0.03386150975711644,1.0
3211264,0.327885708771646,1.0517123090103269,0.32519959984347224,2.0437264814972878,2.3263611113652587,45.103703409433365,5.1662807539105415,53.37307685613632,3.9057731423527002,0.09185685694683343,-0.11554701277054846,1.0
3276800,0.3178723091259599,1.0776743362657726,0.3084806923288852,2.1095453407615423,2.8754116725176573,56.86447134613991,5.1092483550310135,56.33339759707451,3.7774730529636145,0.09670528821879998,-0.48089358559809625,1.0
3342336,0.3117839163169265,1.3438466968946159,0.3104240228421986,2.4241379722952843,3.27264916151762,51.50823554396629,5.1658723801374435,53.47650822997093,3.69160957634449,0.10066140815615654,-0.5539845377206802,1.0
3407872,0.19865525265908743,0.9525347475007356,0.1357258688153542,1.7908387717353291,1.9963099770044561,48.39227044776486,3.417942548390893,47.98772226216788,3.8095672328069985,0.06555045290333948,-0.027409228731889324,1.0
3473408,0.35633539175614715,1.1038820557296276,0.32005475694313645,2.0683482699096203,1.2036596196703613,41.67531108856201,4.039823478087783,52.05072093009949,4.0417074635624886,0.08008730772417039,-0.01193939195945859,1.0
3538944,0.34539171657525003,1.0820101634599268,0.32120002643205225,2.0541171999648213,1.410736108198762,52.62466102838516,3.821806015446782,54.38136890530586,3.8324869703501463,0.08067273651249707,-0.2390785327879712,1.0
3604480,0.3379943808540702,1.1357905454933643,0.32956049335189164,2.2182435151189566,1.514680614694953,37.236095041036606,4.189065827056766,55.61565026640892,3.703687023371458,0.08506536786444485,-0.30687434040009975,1.0
3670016,0.3329502805136144,1.4309694995172322,0.3325200784020126,2.3100211322307587,1.9455549009144306,36.94446091353893,4.809780161827803,58.689423471689224,3.6064464170485735,0.08711934770690277,-0.06303593015763909,1.0
3735552,0.20198928412184658,0.9359275843633945,0.1426005460972707,1.8392618624605688,2.0759881261177924,44.39819398715935,3.037988853347712,38.95668179318533,3.7593636539686157,0.07036203606312263,-0.02441164784425174,1.0
3801088,0.35687139350920916,1.1275981371290982,0.325796875404194,2.1945860162377357,1.5897504957392812,77.15561133623123,3.858172295615077,48.42352372407913,4.020896939560771,0.07808693166589364,-0.013740258058533072,1.0
3866624,0.3476376428734511,1.0983148077502847,0.31791880750097334,1.9506755201146007,1.5659647891297936,78.5532933473587,3.2608273085206747,60.58941408991814,3.805647673085332,0.0755985663854517,-0.012284183641895652,1.0
3932160,0.33047473686747253,1.132080977782607,0.3135407811496407,2.0981096336618066,1.8419660022482276,78.64414840936661,3.148692809045315,55.03950455784798,3.7099323719739914,0.07793921051779762,-0.1192434320691973,1.0
3997696,0.32686554035171866,1.7629150794818997,0.31692719063721597,2.323428220115602,2.1800994407385588,78.67726939916611,3.179387554526329,49.84997829794884,3.6472878959029913,0.07625035056844354,-0.37968493066728115,1.0
4063232,0.1910374860829079,0.9498865875045219,0.13098561448460244,1.6138844661279974,2.0674130171691685,37.82643045560199,4.666712816079507,45.19045315878129,3.769551732633487,0.0738036965766181,-0.04050365232873753,1.0
