collected_frames,rew/shaping,rew/step_penalty,rew/terminal_bonus,rew/total_reward,rew/action_bonus,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty
2162688,0.1990580193232745,-0.19999999999999954,0.0,-0.029508921377782826,0.06829236139310524,-0.006670642622339074,-0.04052126547321677,-0.011952562206715811,-0.037716319668106735
2228224,0.1725272738840431,-0.19999999999999954,-0.000213623046875,-0.054156814541784115,0.06888220709515736,-0.00866821086674463,-0.03868162399157882,-0.011598220226005651,-0.03640481873298995
2293760,0.1582721610320732,-0.19999999999999954,-0.001068115234375,-0.06927222877857275,0.06875286815920845,-0.010081124390126206,-0.03823758621001616,-0.011044411672628485,-0.03587016754318029
2359296,0.14853656862396747,-0.19999999999999954,0.001068115234375,-0.07885981886647642,0.06846933538326994,-0.011723485076799989,-0.03893374482868239,-0.010795282658364158,-0.0354849357099738
2424832,0.28747764346189797,-0.19999999999999954,0.0,0.07905863408996083,0.06786956038558856,-0.004832455631913035,-0.03367335387883941,-0.006057458706891339,-0.031725299268146046
2490368,0.1949324661400169,-0.19999999999999954,0.0,-0.02967781265215308,0.06926218490116298,-0.008028648255276494,-0.041361477866303176,-0.010041108333098236,-0.034441225972841494
2555904,0.16548351291567087,-0.19999999999999954,-0.000213623046875,-0.056120450972230174,0.06924906536005437,-0.009332093206467107,-0.039065163960913196,-0.009136824366578367,-0.033105853231973015
2621440,0.15618951595388353,-0.19999999999999954,0.0,-0.06430150632513687,0.06874869839521125,-0.009271381750295404,-0.03855107494746335,-0.008531152918294538,-0.03288610807794612
2686976,0.15055216592736542,-0.19999999999999954,0.001922607421875,-0.06585972385073546,0.06883168034255505,-0.008405229360505473,-0.03745534730842337,-0.008514398701663595,-0.032795431310660206
2752512,0.269268807140179,-0.19999999999999954,0.00042724609375,0.07656363888236228,0.06794114940566942,-0.0017482826524428674,-0.02441030865884386,-0.0039018267943902174,-0.031013146333862096
2818048,0.19018686900381,-0.19999999999999954,0.000213623046875,-0.011525497900038317,0.06882472708821297,-0.0028158213790447917,-0.027847883407957852,-0.0058151241137238685,-0.034271887328941375
2883584,0.16207757219672203,-0.19999999999999954,0.00042724609375,-0.03730575541703729,0.0689411626663059,-0.003513160649163183,-0.02702892676461488,-0.004836671399971237,-0.03337297451798804
2949120,0.1652243681019172,-0.19999999999999954,-0.000213623046875,-0.033847909173346125,0.06848158390494063,-0.003707666781338048,-0.02538158037350513,-0.005124126961163711,-0.03312676820496563
3014656,0.14872965746326372,-0.19999999999999954,0.000213623046875,-0.05108482707873918,0.0687213865458034,-0.00438247208512621,-0.02575341417104937,-0.00532590383591014,-0.03328862495254725
3080192,0.2663321220315993,-0.19999999999999954,-0.000213623046875,0.07782525538641494,0.06673945276997983,-0.000938919519285264,-0.02199958208075259,-0.002880826577438711,-0.029212148918304592
3145728,0.1923609811346978,-0.19999999999999954,0.0,-0.006846445486189623,0.06889853172469884,-0.0021298839601513464,-0.025941160041838884,-0.005437651700049173,-0.03459725991706364
3211264,0.17225193441845477,-0.19999999999999954,-0.000213623046875,-0.026271079225807625,0.06823365919990465,-0.0025841512870101724,-0.024306970328325406,-0.005738996456784662,-0.03391278644267004
3276800,0.16455997445154935,-0.19999999999999954,0.0,-0.03244492266821908,0.0672533260367345,-0.0031949017520673806,-0.023861324923927896,-0.00567694241181016,-0.03152505127945915
3342336,0.14852569729555398,-0.19999999999999954,-0.001495361328125,-0.05116023191658314,0.06699895349447615,-0.0036324384363979334,-0.024295816270750947,-0.005737684652558528,-0.031529397499980405
3407872,0.2573619531467557,-0.19999999999999954,0.000213623046875,0.07309264784271363,0.06639590809936635,-0.0007588441046664229,-0.01943643844424514,-0.00250887426227564,-0.028174677165225148
3473408,0.19001724116969854,-0.19999999999999954,-0.000213623046875,-0.004437021954800002,0.06862131046364084,-0.001334660005340993,-0.023795328714186326,-0.004486884514335543,-0.03324458154384047
3538944,0.18289448239374906,-0.19999999999999954,-0.000213623046875,-0.0125507771890625,0.06821447017136961,-0.001564804478221049,-0.02440404905064497,-0.004245530089974636,-0.03323276271112263
3604480,0.17209498980082572,-0.19999999999999954,0.000213623046875,-0.025100817802012898,0.06823233707109466,-0.0016820693972476874,-0.024812095187371597,-0.0046506793769367505,-0.03449787998397369
3670016,0.15053401235491037,-0.19999999999999954,-0.001068115234375,-0.04994271344912704,0.06810019834665582,-0.0021589712760032853,-0.025164493592455983,-0.005339582930901088,-0.03485372368595563
3735552,0.2574848694493994,-0.19999999999999954,0.000640869140625,0.07256998088632827,0.0676005506538786,-0.0011916001735698956,-0.020449870491574984,-0.002292754683367093,-0.02922208106610924
3801088,0.18988134781830013,-0.19999999999999954,0.0,-0.005951951884526352,0.06813186159706675,-0.0017650444960963796,-0.02386861371633131,-0.004286285571652115,-0.03404474558192305
3866624,0.17434615269303322,-0.19999999999999954,-0.000213623046875,-0.019028055325179594,0.06849967141170055,-0.00173864153384784,-0.0230085000366671,-0.0036208623550919583,-0.03329330979613587
3932160,0.16602262761443853,-0.19999999999999954,0.000213623046875,-0.02732529256172711,0.06748606695327908,-0.0020451554300962016,-0.022722267487552017,-0.003495931625366211,-0.032786401876364835
3997696,0.14579843939282,-0.19999999999999954,-0.001068115234375,-0.05001803611230571,0.06742589990608394,-0.0024188837178371614,-0.0226799900556216,-0.0035285617759654997,-0.03355060909234453
4063232,0.26737954665441066,-0.19999999999999954,0.00042724609375,0.08542049925017636,0.0661169906379655,-0.0006021292190325767,-0.017513642960693687,-0.0022432522873714333,-0.028140819020336494
4128768,0.19304380391258746,-0.19999999999999954,-0.000213623046875,0.003227643237551092,0.06814107776153833,-0.0009650585207054974,-0.018647793331183493,-0.004178768293058965,-0.03395077162713278
4194304,0.18207701377104968,-0.19999999999999954,-0.000213623046875,-0.006737209717357473,0.0685002071550116,-0.001182323445846123,-0.01898827926197555,-0.004112305778107839,-0.032818711741128936
4259840,0.16060743771959096,-0.19999999999999954,0.000640869140625,-0.030675014208100038,0.06775864481460303,-0.0014597847093682503,-0.019215150241507217,-0.005385584016039502,-0.033623900555539876
4325376,0.14629191101994365,-0.19999999999999954,-0.001495361328125,-0.04761821493593743,0.06692829783423804,-0.0018191022563769366,-0.01946737800608389,-0.005999121549393749,-0.032061951846117154
4390912,0.25251283892430365,-0.19999999999999954,0.000213623046875,0.06980619359819684,0.06609184958506376,-0.000551922538306826,-0.018781609389407095,-0.0023423078741870995,-0.027336278173606843
4456448,0.18729649670422077,-0.19999999999999954,0.0,-0.0040418275211777654,0.0670780791551806,-0.0012509878442870104,-0.02087747066980228,-0.0046510972460964695,-0.03163763393240515
4521984,0.17825736477971077,-0.19999999999999954,-0.000213623046875,-0.011290080914477585,0.06741376436548308,-0.0010202042913078913,-0.020612501684809104,-0.003788983771300991,-0.03132501302752644
4587520,0.1638644167687744,-0.19999999999999954,0.00042724609375,-0.02736135615123203,0.06714586919406429,-0.001142851921485999,-0.021313801960786805,-0.0041512633633828955,-0.03219176415586844
4653056,0.15780514338985085,-0.19999999999999954,-0.0008544921875,-0.03389167725981679,0.06716630491428077,-0.001366880471323384,-0.020742921507917345,-0.00419105125911301,-0.031708861541119404
4718592,0.2451999024488032,-0.19999999999999954,0.000213623046875,0.06269267812604085,0.06694873160449788,-0.00041124540314285696,-0.019208110377803678,-0.0025018984651978826,-0.027548323181690648
4784128,0.19575571676250547,-0.19999999999999954,-0.000640869140625,0.0032415536106782383,0.0680774588836357,-0.0008533994159733993,-0.023235384331201203,-0.004131437652176828,-0.03172882164653856
4849664,0.18441141222137958,-0.19999999999999954,-0.00213623046875,-0.011339241964378743,0.0680566024966538,-0.0011828728870568739,-0.024116811036947183,-0.0037382042919489322,-0.032628784378175624
4915200,0.17181488359346986,-0.19999999999999954,0.001708984375,-0.019225379335694015,0.06761638540774584,-0.0014200613813954988,-0.023516452944022603,-0.0040318671890418045,-0.031397997780004516
4980736,0.14975164411589503,-0.19999999999999954,0.0,-0.04171848496480379,0.06728335341904312,-0.001509049133346707,-0.02258664573309943,-0.00401826630695723,-0.030640343320555985
5046272,0.2558175141457468,-0.19999999999999954,0.0,0.07227331453941588,0.06664478138554841,-0.0005156711507083855,-0.019737422629987122,-0.0023574986703351897,-0.027577755703532603
5111808,0.19749317725654691,-0.19999999999999954,0.0,0.008343891630829603,0.06710154010215774,-0.0009672474502622208,-0.021681200581951998,-0.003366763314261334,-0.030235612619435415
5177344,0.1751597528345883,-0.19999999999999954,0.000213623046875,-0.015068793679347436,0.06733141595032066,-0.0011600903035287047,-0.02267081079480704,-0.0035101244120596675,-0.030432183149969205
5242880,0.1598894284106791,-0.19999999999999954,0.0,-0.033707450769725256,0.06670836574630812,-0.0015616859045621823,-0.023932391821290366,-0.004401160835186602,-0.030410350547754206
5308416,0.1468912687851116,-0.19999999999999954,-0.001068115234375,-0.05165370680333581,0.06640527761192061,-0.001596503255314019,-0.025077394922845997,-0.005766227990534389,-0.031448361653019674
5373952,0.24787419813219458,-0.19999999999999954,0.0,0.06208107308339095,0.06548751285299659,-0.00043972431274141854,-0.0214279540014104,-0.0026132752736884868,-0.02679968433949398
5439488,0.17787524522282183,-0.19999999999999954,0.0,-0.013414536269920063,0.0662556333700195,-0.0008283977185783442,-0.023967507338966243,-0.003571723045752151,-0.029177783260820433
5505024,0.1690814228495583,-0.19999999999999954,-0.000213623046875,-0.02296517660488462,0.06617240712512285,-0.0009163721665572666,-0.023524812146206386,-0.0036056112512596883,-0.029958580373204313
5570560,0.15702780103310943,-0.19999999999999954,-0.000213623046875,-0.0344591596731334,0.06559037408442236,-0.0010251036637782818,-0.023052945383824408,-0.003822762604613672,-0.028962770869839005
5636096,0.1537120690336451,-0.19999999999999954,-0.000213623046875,-0.03904778911964968,0.06523533363360912,-0.0011712622608683887,-0.022881783297634684,-0.004192204010905698,-0.029536034737247974
5701632,0.24010499380528927,-0.19999999999999954,0.0,0.05917019629123388,0.06577198786544614,-0.0003902972902096735,-0.018992652876477223,-0.0018838073228835128,-0.025440027864533477
5767168,0.19257567136082798,-0.19999999999999954,-0.000213623046875,0.0006416241485567298,0.06691978583694436,-0.0009772362241164956,-0.024350452309590764,-0.0038443000539700733,-0.029467766129528172
5832704,0.18144927732646465,-0.19999999999999954,-0.000640869140625,-0.010172260415856726,0.06695464911172166,-0.0008990330179585726,-0.02420240396168083,-0.0031636124058422865,-0.029670805961359292
5898240,0.16873004718218,-0.19999999999999954,-0.000213623046875,-0.023844387073040707,0.06629515494569205,-0.001093787513582356,-0.023518828093074262,-0.00386307161716104,-0.030180010609910823
5963776,0.15413928602356464,-0.19999999999999954,0.0,-0.03690277678833809,0.06652348203351721,-0.0012771532910846872,-0.022517434394103475,-0.004553665254206862,-0.029217351038823836
6029312,0.26246948982588947,-0.19999999999999954,0.0,0.07570954777929728,0.06611871719360352,-0.0006010233939832688,-0.02237340544888866,-0.002709741789431064,-0.027194489164685365
6094848,0.18279020301997662,-0.19999999999999954,-0.000213623046875,-0.00864811827068479,0.06677329741069116,-0.001167241102848493,-0.024376633373321965,-0.003493577363769873,-0.028960169467609376
6160384,0.16882760892622173,-0.19999999999999954,-0.00042724609375,-0.020595049399162235,0.06746825276059099,-0.0011392601500119781,-0.02283186600834597,-0.0033018162630469305,-0.029192261761636473
6225920,0.1651237467303872,-0.19999999999999954,0.0,-0.02276914487083559,0.06692363636102527,-0.0011371104783393093,-0.0209515667083906,-0.003480354227576754,-0.029247494050650857
6291456,0.15881372417788953,-0.19999999999999954,0.000213623046875,-0.029947106097097276,0.0670448043383658,-0.0012864449026892544,-0.020521529353572987,-0.004177482085651718,-0.03003393014660105
6356992,0.2638648587744683,-0.19999999999999954,0.0,0.077693112729321,0.0669596103252843,-0.000578399180994893,-0.0206093458327814,-0.002919923285844561,-0.02902368790091714
6422528,0.19685340707655996,-0.19999999999999954,0.0,0.006690554734632315,0.06774130993289873,-0.0006286439893301576,-0.021058791840914637,-0.0037504890333366347,-0.032466235861647874
6488064,0.17267307033762336,-0.19999999999999954,-0.00042724609375,-0.015537617277004756,0.06812551047187299,-0.0007840877183298289,-0.019684929560753517,-0.003480862553260522,-0.03195830846379977
6553600,0.15145595150534064,-0.19999999999999954,0.000213623046875,-0.03498888103058562,0.06758989923400804,-0.0008924608791858191,-0.0187517084996216,-0.0035652349015435902,-0.03103894773812499
6619136,0.15592584165278822,-0.19999999999999954,0.000213623046875,-0.030382822817045962,0.06717835273593664,-0.000988338233128161,-0.01836683497094782,-0.003590099706343608,-0.03075718080799561
6684672,0.2751206348184496,-0.19999999999999954,0.0,0.09061860619931394,0.06728522235061973,-0.0006703223850763607,-0.017881232419313164,-0.003044434228741011,-0.03019126533763483
6750208,0.18460634164512157,-0.19999999999999954,-0.000640869140625,-0.0049798343798102,0.06834357505431399,-0.0009592575906935963,-0.01837852348398883,-0.003960002764870296,-0.03398976309108548
6815744,0.1668055378831923,-0.19999999999999954,-0.00042724609375,-0.02243181276935502,0.06875158456386998,-0.0010217186913905607,-0.017791790451155975,-0.004649868089472875,-0.034098357675247826
6881280,0.15540366771165282,-0.19999999999999954,0.000213623046875,-0.030470556805084925,0.06779680855106562,-0.001135036485720775,-0.016296358182444237,-0.004430161767231766,-0.0320229244971415
6946816,0.15112485468853265,-0.19999999999999954,-0.0008544921875,-0.03689660250529414,0.06765670314780436,-0.0013017938645134564,-0.017499837689683773,-0.0045235156576382,-0.03150350760552101
7012352,0.27984310896135867,-0.19999999999999954,-0.000213623046875,0.09018014989851508,0.06756158682401292,-0.0007251230359770489,-0.022301800519926473,-0.0033451806896209746,-0.030638197516964283
7077888,0.19975496048573405,-0.19999999999999954,-0.000213623046875,0.004789258979144506,0.06822989054489881,-0.0009624301160329196,-0.024047458966379054,-0.0037852698769711424,-0.03418699657777324
7143424,0.1734948781086132,-0.19999999999999954,0.0,-0.018539401898124197,0.06864187883911654,-0.0010521253320803226,-0.02217211177048739,-0.00360390772948449,-0.03384801160427742
7208960,0.16252569132484496,-0.19999999999999954,0.0025634765625,-0.028751360612659482,0.06821068562567234,-0.0012752372649629251,-0.021912447045906447,-0.004040779340357403,-0.034822746994905174
7274496,0.14723482122644782,-0.19999999999999954,-0.001708984375,-0.05079965120239649,0.06849385320674628,-0.001774945620127255,-0.022083921721787192,-0.0049162445320689585,-0.03605025516299065
7340032,0.28627554152626544,-0.19999999999999954,0.0,0.10309874486119952,0.06816627219086513,-0.0004909270596726856,-0.01855680034350371,-0.002812020622172895,-0.029483321100997273
7405568,0.1891312838997692,-0.19999999999999954,-0.000213623046875,0.0027340899814589648,0.06773199149756692,-0.0006880153246129339,-0.018958565109642223,-0.0031330746205640025,-0.03113550851412583
7471104,0.1640408526873216,-0.19999999999999954,-0.000213623046875,-0.02157306146909832,0.06700859099510126,-0.0007870257682043302,-0.018599027913296595,-0.0031855334436841076,-0.02983711975684855
7536640,0.15394080767873675,-0.19999999999999954,0.000213623046875,-0.03169009349949192,0.06657359638484195,-0.0010234642068098765,-0.018622894895088393,-0.003537212895025732,-0.02923629012366291
7602176,0.1339554162696004,-0.19999999999999954,-0.0008544921875,-0.054059791524196044,0.0663006110698916,-0.0012943885358254192,-0.019999975513201207,-0.0038089380777819315,-0.02836425046552904
7667712,0.2659110863460228,-0.19999999999999954,0.0,0.07842499036723893,0.0664366296841763,-0.0007757058593824695,-0.021717254978284473,-0.003299399956858906,-0.028130363192758523
7733248,0.18449425208382308,-0.19999999999999954,-0.000213623046875,-0.00901378214621218,0.06747907539829612,-0.0013151184912203462,-0.025056296435650438,-0.004154757956712274,-0.03024697580258362
7798784,0.16978151618968695,-0.19999999999999954,-0.000213623046875,-0.022934300906854332,0.06804621976334602,-0.0013058687318334705,-0.0253933966596378,-0.0032956961567833787,-0.030553348871762864
7864320,0.1696830487344414,-0.19999999999999954,-0.000640869140625,-0.026915149986962206,0.06763521325774491,-0.001822776289372996,-0.026641165793989785,-0.0036874881207040744,-0.0314444990362972
7929856,0.1569909444078803,-0.19999999999999954,0.001495361328125,-0.03502561880304711,0.06776906194863841,-0.0018780601803882746,-0.025064572531846352,-0.003475035222436418,-0.03086399839958176
7995392,0.2713425909169018,-0.19999999999999954,0.00042724609375,0.08218412010319298,0.06730442342814058,-0.0006913612890002696,-0.023672339812037535,-0.0038190617294731055,-0.028707377321552485
