attempt,collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std,action/chunk_step_delta,action/chunk_step_delta_flipper,action/chunk_step_delta_max,action/loc_step_delta,action/loc_step_delta_flipper,action/loc_abs_mean,action/scale_mean,action/sat_frac_099,action/sat_frac_09,action/abs_mean
3,24641536,0.8258597254753113,0.22698889672756195,0.01438254863023758,0.6246658563613892,0.027005363255739212,0.6155162453651428,0.06304074078798294,0.6181986331939697,0.04106244444847107,0.6362655162811279,0.035401687026023865,0.6032328605651855,0.6181541085243225,0.7005842924118042,1.9943814277648926,0.053882576525211334,0.055849589407444,0.3565090596675873,0.9052566289901733,0.011375745758414268,0.19815032184123993,0.5962955355644226
3,25165824,0.8319651484489441,0.21942931413650513,0.014345516450703144,0.6238061189651489,0.027384266257286072,0.6160879135131836,0.057638078927993774,0.6206138134002686,0.03941008076071739,0.6384154558181763,0.04479707032442093,0.6085020899772644,0.6169002652168274,0.7007319331169128,1.9912840127944946,0.05819496884942055,0.061157844960689545,0.3654342293739319,0.9062714576721191,0.011434237472712994,0.2018270492553711,0.5987527370452881
3,25690112,0.8310321569442749,0.2206372171640396,0.007631285581737757,0.6253793239593506,0.0190991573035717,0.6163435578346252,0.05339175835251808,0.6235024929046631,0.05112890154123306,0.6390162706375122,0.05175735801458359,0.6073579788208008,0.6170132756233215,0.7005473971366882,1.994592308998108,0.05851270630955696,0.06038806959986687,0.36911851167678833,0.9079501032829285,0.011475881561636925,0.20241832733154297,0.5994951725006104
3,26214400,0.8313697576522827,0.22032372653484344,0.004234067164361477,0.6258014440536499,0.023599375039339066,0.6165301203727722,0.05134014040231705,0.6226416230201721,0.05461049824953079,0.6363875865936279,0.05749538540840149,0.6079181432723999,0.6156659722328186,0.6982585191726685,1.9939488172531128,0.060782842338085175,0.06216105818748474,0.3737182021141052,0.9071507453918457,0.011561076156795025,0.20243677496910095,0.599265456199646
3,26738688,0.8298777341842651,0.22360263764858246,-0.0003933069237973541,0.624447762966156,0.024450376629829407,0.6168835759162903,0.052242837846279144,0.621726393699646,0.05952480062842369,0.6359679698944092,0.06724696606397629,0.6093381643295288,0.6145821809768677,0.6966680288314819,1.997060775756836,0.06079525500535965,0.06388911604881287,0.3808858394622803,0.9047514200210571,0.011547724716365337,0.20217356085777283,0.5991809368133545
3,27262976,0.8301130533218384,0.2240172177553177,0.0017254874110221863,0.6221758127212524,0.028179997578263283,0.6138800382614136,0.05672924220561981,0.6185242533683777,0.06584672629833221,0.6328353881835938,0.05813844874501228,0.6100786924362183,0.6116656064987183,0.6933991312980652,1.995463490486145,0.06072814017534256,0.06114770099520683,0.381354421377182,0.8975354433059692,0.010925929062068462,0.20023219287395477,0.5974389314651489
3,27787264,0.8275280594825745,0.22847618162631989,0.007428087294101715,0.6210458874702454,0.03489112854003906,0.6171566843986511,0.05090942606329918,0.6170685291290283,0.05744362995028496,0.6359187960624695,0.06025945395231247,0.6100824475288391,0.6126931309700012,0.6940634250640869,1.99521803855896,0.05987228453159332,0.05993403494358063,0.3825075626373291,0.9002543687820435,0.01125081442296505,0.20055072009563446,0.5976080894470215
3,28311552,0.8244036436080933,0.23374119400978088,0.006946633569896221,0.6211413741111755,0.038411520421504974,0.6166759729385376,0.058961041271686554,0.6170429587364197,0.05768059939146042,0.634379506111145,0.05263564735651016,0.6108046174049377,0.611649751663208,0.6920098066329956,1.9950671195983887,0.06208699941635132,0.06286556273698807,0.38450512290000916,0.8988598585128784,0.011157354339957237,0.1996288299560547,0.5971234440803528
3,28835840,0.8329836130142212,0.22197283804416656,0.013729045167565346,0.6213581562042236,0.027547771111130714,0.6165618300437927,0.04536062479019165,0.6151034832000732,0.05701255798339844,0.6334841847419739,0.05475899577140808,0.6082697510719299,0.6092264652252197,0.6903898119926453,1.997058391571045,0.06072580814361572,0.06320112198591232,0.3862318992614746,0.893404483795166,0.010994593612849712,0.1999886929988861,0.5970949530601501
3,29360128,0.8364447951316833,0.2174936830997467,0.00864013098180294,0.6209675073623657,0.029805630445480347,0.6167930364608765,0.04760342091321945,0.6151215434074402,0.06524945795536041,0.634020209312439,0.05405501276254654,0.6089957356452942,0.6085116863250732,0.6902210116386414,1.9953279495239258,0.06111900135874748,0.06395076215267181,0.3897188603878021,0.8931459784507751,0.01104609202593565,0.20171737670898438,0.5978732705116272
3,29884416,0.8338472843170166,0.22054708003997803,0.002887715119868517,0.6213852763175964,0.03828708827495575,0.6175387501716614,0.04883091151714325,0.6157382130622864,0.063307985663414,0.6351145505905151,0.058752335608005524,0.6143383979797363,0.610477089881897,0.6919974088668823,1.994858980178833,0.06351587921380997,0.066670261323452,0.3892768323421478,0.8978166580200195,0.011231422424316406,0.2029794156551361,0.5990645289421082
