collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/contact_penalty,rew/terminal_bonus,rew/total_reward
23724032,-0.0007059146496430913,-2.5172447102761453e-05,-0.0037824168266524794,-0.000457763671875,-0.004971232011030224
23855104,-0.0007371040965153952,-2.08261476970506e-05,-0.0037794493709952803,-0.001068115234375,-0.005605494916380849
23986176,-0.0007342988319578581,-1.6885477599259957e-05,-0.003812827993897372,-0.001312255859375,-0.00587626813148745
24117248,-0.0006755169110874704,-1.7436963197781097e-05,-0.003808279328950448,-0.0011749267578125,-0.005676125833815604
24248320,-0.0006393126564034901,-2.2350671237347797e-05,-0.0037552929206867702,-0.0027923583984375,-0.0072092806408363685
24379392,-0.0007606652316098916,-1.475657700211741e-05,-0.0037228392811812228,-0.000152587890625,-0.004650849002246105
24510464,-0.0007070355636642489,-2.6026203499895928e-05,-0.0037088393000885844,0.0006103515625,-0.003831549511232879
24641536,-0.0007572595386591274,-2.0618746574996294e-05,-0.0036754607426701114,-0.0029296875,-0.007383026584648178
24772608,-0.0007218831187856267,-1.8677120969812222e-05,-0.0038527678752870997,-0.0012664794921875,-0.005859807608430856
24903680,-0.0007073898782437027,-2.0634373036898523e-05,-0.003813476490904577,-0.0003662109375,-0.004907711669602577
25034752,-0.0007665717544114159,-3.1711081561525134e-05,-0.0037768553647765657,-0.0013275146484375,-0.005902652854274493
25165824,-0.0008742822865315247,-2.667279770918185e-05,-0.004043282347993227,-0.00225830078125,-0.007202387655979692
25296896,-0.0008278581694867171,-1.979518061290264e-05,-0.004072875910424045,-0.00103759765625,-0.00595812682149699
25427968,-0.0010210467171418713,-1.4261491337208554e-05,-0.004425506653205957,-0.0017547607421875,-0.007215575526061002
25559040,-0.0008409220604335133,-1.6412133376775273e-05,-0.0044948578397452366,0.0011138916015625,-0.004238300284214347
25690112,-0.0008472254648950184,-1.442153032371607e-05,-0.004150352455326356,-0.0052490234375,-0.010261022920076357
25821184,-0.0007453454309143126,-2.022625910313991e-05,-0.003960876378187095,0.0018157958984375,-0.0029106521324138157
25952256,-0.0007005265101724945,-2.253883798886136e-05,-0.0038821791458758526,-0.0018310546875,-0.006436299268898438
26083328,-0.0006784977867937414,-2.874132497510118e-05,-0.0037279797816154314,-0.0027313232421875,-0.007166508130012517
26214400,-0.0008210732580664626,-2.0765340593698056e-05,-0.004067649808348506,-0.0004730224609375,-0.005382510749768699
26345472,-0.0007564831021227292,-2.0530358810333382e-05,-0.0041361235817021225,-0.0027313232421875,-0.007644460319170321
26476544,-0.0008147243252096814,-3.244409430891437e-05,-0.003521194390486926,-0.0018463134765625,-0.006214676309355127
26607616,-0.0008041109786063316,-4.686832372158278e-05,-0.0038034437802707544,0.00030517578125,-0.004349247300069692
26738688,-0.0008597686173743568,-2.7562152283167052e-05,-0.0039669417328696,-0.0059051513671875,-0.010759423616036656
26869760,-0.0007653527968614071,-2.569430176890819e-05,-0.0039947890563780675,0.0001373291015625,-0.004648507042475103
