collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
61079552,7.35363328313253e-07,1.6177993222891568e-05,0.0
61210624,0.0,0.0,0.0
61341696,0.0,0.0,0.0
61472768,0.0,0.0,0.0
61603840,0.0,0.0,0.0
61734912,0.0,0.0,0.0
61865984,0.0,0.0,0.0
61997056,0.0,0.0,0.0
62128128,0.0,0.0,0.0
62259200,0.0,0.0,0.0
62390272,0.0,0.0,0.0
62521344,0.0,7.62939453125e-06,0.0
62652416,0.0,0.0,0.0
62783488,0.0,0.0,0.0
62914560,0.0,0.0,0.0
63045632,0.0,0.0,0.0
63176704,0.0,0.0,0.0
63307776,0.0,0.0,0.0
63438848,0.0,0.0,0.0
63569920,0.0,0.0,0.0
63700992,0.0,0.0,0.0
63832064,0.0,0.0,0.0
63963136,0.0,0.0,0.0
64094208,0.0,0.0,0.0
64225280,0.0,0.0,0.0
64356352,0.0,0.0,0.0
64487424,0.0,7.62939453125e-06,0.0
64618496,0.0,1.52587890625e-05,0.0
64749568,0.0,0.0,0.0
64880640,0.0,0.0,0.0
65011712,0.0,0.0,0.0
65142784,0.0,7.62939453125e-06,0.0
65273856,0.0,0.0,0.0
65404928,0.0,0.0,0.0
65536000,0.0,7.62939453125e-06,0.0
65667072,0.0,0.0,0.0
65798144,0.0,0.0,0.0
65929216,0.0,0.0,0.0
66060288,0.0,0.0,0.0
66191360,0.0,0.0,0.0
66322432,0.0,7.35363328313253e-07,0.0
66453504,0.0,0.0,0.0
66584576,0.0,0.0,0.0
66715648,0.0,0.0,0.0
66846720,0.0,0.0,0.0
66977792,0.0,0.0,0.0
67108864,0.0,0.0,0.0
67239936,0.0,0.0,0.0
67371008,0.0,0.0,0.0
67502080,0.0,0.0,0.0
67633152,0.0,0.0,0.0
67764224,0.0,0.0,0.0
67895296,0.0,0.0,0.0
68026368,0.0,0.0,0.0
68157440,0.0,0.0,0.0
68288512,0.0,0.0,0.0
68419584,0.0,7.35363328313253e-07,0.0
68550656,0.0,0.0,0.0
68681728,0.0,0.0,0.0
68812800,0.0,0.0,0.0
68943872,0.0,0.0,0.0
69074944,0.0,0.0,0.0
69206016,0.0,0.0,0.0
69337088,0.0,0.0,0.0
69468160,0.0,0.0,0.0
69599232,0.0,0.0,0.0
69730304,0.0,0.0,0.0
69861376,0.0,0.0,0.0
69992448,0.0,0.0,0.0
70123520,0.0,0.0,0.0
70254592,0.0,0.0,0.0
70385664,0.0,0.0,0.0
70516736,0.0,0.0,0.0
70647808,0.0,0.0,0.0
70778880,0.0,0.0,0.0
70909952,0.0,0.0,0.0
71041024,0.0,0.0,0.0
71172096,0.0,7.62939453125e-06,0.0
71303168,0.0,0.0,0.0
71434240,0.0,0.0,0.0
71565312,0.0,2.206089984939759e-06,0.0
71696384,0.0,0.0,0.0
71827456,0.0,0.0,0.0
71958528,0.0,0.0,0.0
72089600,0.0,0.0,0.0
72220672,0.0,0.0,0.0
72351744,0.0,7.62939453125e-06,0.0
72482816,0.0,0.0,0.0
72613888,0.0,0.0,0.0
72744960,0.0,0.0,0.0
72876032,0.0,0.0,0.0
73007104,0.0,0.0,0.0
73138176,0.0,0.0,0.0
73269248,0.0,0.0,0.0
73400320,0.0,0.0,0.0
