collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean,train/extrinsic_reward_mean,train/icm_loss_forward,train/icm_loss_inverse,train/icm_intrinsic_reward_mean
2490368,,,,,0.05500314012169838,0.09526251256465912,0.6667660474777222,0.7304468154907227,0.07350325584411621,0.013039836660027504,1.8310028314590454,0.012991698458790779
2621440,-0.01675744168460369,0.9660714285714286,2621440,0.0004964285714285713,,,,,,,,
2621440,,,,,0.0012597583699971437,0.022333720698952675,0.6974440217018127,0.7041587829589844,0.014913108199834824,0.003929650876671076,1.8401131629943848,0.003920403774827719
2752512,0.016197578981518745,0.964375,2752512,0.0004962499999999998,,,,,,,,
2752512,,,,,0.0072874221950769424,0.04861058294773102,0.698150098323822,0.7078722715377808,0.014585230499505997,0.007187952287495136,1.7589647769927979,0.007182430010288954
2883584,-0.003965497016906738,0.9626785714285714,2883584,0.0004960714285714284,,,,,,,,
2883584,,,,,0.04990219324827194,0.0694916620850563,0.6864874958992004,0.6236072182655334,-0.041672028601169586,0.007813026197254658,1.8495348691940308,0.007887301035225391
3014656,0.0028244839049875736,0.9609821428571429,3014656,0.000495892857142857,,,,,,,,
3014656,,,,,0.1833927482366562,0.05613691732287407,0.674331784248352,0.7727158069610596,0.09359193593263626,0.0214074794203043,1.8298476934432983,0.021283820271492004
3145728,0.005530206486582756,0.9592857142857143,3145728,0.0004957142857142855,,,,,,,,
3145728,,,,,0.002492800122126937,0.03437146171927452,0.676970899105072,0.6853190660476685,0.014442731626331806,0.005737207364290953,1.9078247547149658,0.005720656365156174
3276800,-0.0073391771875321865,0.9575892857142857,3276800,0.0004955357142857141,,,,,,,,
3276800,,,,,0.04648188501596451,0.07802203297615051,0.6409962177276611,0.6154437065124512,-0.041741788387298584,0.011004944331943989,1.807623028755188,0.0109380092471838
3407872,0.0204465314745903,0.9558928571428571,3407872,0.0004953571428571427,,,,,,,,
3407872,,,,,0.030500127002596855,0.03121257573366165,0.701991856098175,0.7295987606048584,0.015749230980873108,0.0254727341234684,1.8283637762069702,0.025340843945741653
