collected_frames,rew/shaping,rew/step_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/action_bonus,rew/flipper_action_bonus,rew/terminal_bonus,rew/total_reward
3801088,1.1490879179909825,-0.06295907583593509,-0.09517041052458808,-0.22901968494988978,-0.2530241047497839,-0.183451417949982,-0.0426568076654803,5.072083070874214,0.7037896253168583,0.025753450288902968,6.082448177039623
3932160,1.1465875711292028,-0.06308301102458835,-0.08275112556293607,-0.22697488171979785,-0.2614616903010756,-0.18187190720345825,-0.03884929703781381,5.070271912962198,0.6958528868854046,0.040200779083534144,6.096259564161301
4063232,1.3249008748680353,-0.06320694621324206,-0.07197516396990977,-0.2243980054045096,-0.23130190232768655,-0.1835121113108471,-0.053156329071498476,5.853040769696236,0.6851938730105758,0.02758140576770529,7.0613110065460205
4194304,1.5216724975034595,-0.06333088140189531,-0.06810284443781711,-0.2535234155948274,-0.2033943891292438,-0.1874813924659975,-0.07820589795301203,5.861295450478792,0.667448315769434,0.006067354930564761,7.200488194823265
4325376,1.2450364092364907,-0.0634548165905489,-0.11361623439006507,-0.25070290407165885,-0.2281774531584233,-0.17461062874644995,-0.04422211548080668,5.191946994513273,0.7027222500182688,0.017549791067722254,6.281202010810375
4456448,1.1589576750993729,-0.06357875177920218,-0.11612988373963162,-0.2558323609409854,-0.2324375424068421,-0.17420696723274887,-0.03834440441278275,5.1668121218681335,0.6898834779858589,0.020589003499480896,6.154260236769915
4587520,1.175793493166566,-0.06370268696785586,-0.11531466472661123,-0.2516736339312047,-0.21590319299139082,-0.1814181376248598,-0.04498809881624766,5.463030271232128,0.6983381495811045,0.03792136977426708,6.50046207383275
4718592,1.2078961776569486,-0.06382662215650911,-0.10692857817048207,-0.242626165272668,-0.20073343731928617,-0.18321571161504835,-0.04490025984705426,5.684276450425386,0.6967256017960608,0.06255448765296023,6.807719174772501
4849664,1.1885023228824139,-0.06395055734516238,-0.07249369350029156,-0.23247948929201812,-0.2060165904695168,-0.18052832479588687,-0.0400976100936532,5.6505393870174885,0.7031841124407947,0.03868117280944716,6.783597558736801
4980736,1.1709163496270776,-0.06407449253381609,-0.0646787749719806,-0.2294089492643252,-0.20954495505429804,-0.18975816492456943,-0.04137175920186564,5.802606504410505,0.6983144320547581,0.03942990637733601,6.909224059432745
