collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr
1032192,0.229267880320549,-8.52845287322998,-8.75772075355053,2.1697826385498047,-2.666382074356079,6.388993263244629,-0.0007082922384142876,-0.09349443763494492,2.668334484100342,0.0002987798070535064,0.0,2.1697826385498047,11.096376419067383,14.71172046661377,9.165993792640786e-05,0.0004930718207368672
1048576,-0.017903584986925125,-4.303540229797363,-4.285636644810438,-0.29964613914489746,-2.660916328430176,5.534374237060547,-0.0011520185507833958,-0.09322794526815414,2.660728931427002,0.0002456348738633096,0.0,-0.29964613914489746,9.678396224975586,11.929099082946777,9.140521789061638e-05,0.000491701589917742
1064960,-0.1978643238544464,-7.4518022537231445,-7.253937929868698,-2.4342095851898193,-2.6618425846099854,6.03945255279541,-0.0009655649773776531,-0.09303867816925049,2.6553268432617188,6.890046643093228e-05,0.0,-2.4342095851898193,10.395910263061523,10.963603019714355,9.11504978548249e-05,0.0004903313590986169
1081344,0.0010274059604853392,-8.274679183959961,-8.275706589920446,0.07698933035135269,-2.662506103515625,5.037209987640381,-0.0018129730597138405,-0.09307985752820969,2.6565022468566895,0.00021015427773818374,0.0,0.07698933035135269,9.706400871276855,6.882239818572998,9.089577781903344e-05,0.0004889611282794918
1097728,-0.24852797389030457,-12.686256408691406,-12.437728434801102,-1.7559123039245605,-2.6485726833343506,5.665918827056885,-0.00042307889088988304,-0.0932001918554306,2.6599364280700684,-0.0004978018696419895,0.0,-1.7559123039245605,10.396875381469727,7.171896457672119,9.064105778324197e-05,0.0004875908974603667
1114112,0.24030016362667084,-12.461902618408203,-12.702202782034874,1.7122361660003662,-2.6702795028686523,8.547870635986328,-0.0006312164478003979,-0.0935150757431984,2.6689233779907227,-8.328200783580542e-05,0.0,1.7122361660003662,15.068892478942871,11.34496021270752,9.03863377474505e-05,0.00048622066664124155
1130496,-0.07333344221115112,-8.748651504516602,-8.67531806230545,-0.37430837750434875,-2.6735692024230957,6.580405235290527,-0.0008217762224376202,-0.09360925853252411,2.6716113090515137,-4.586990689858794e-05,0.0,-0.37430837750434875,10.71261978149414,12.04854679107666,9.013161771165903e-05,0.0004848504358221164
1146880,-0.1714833527803421,-10.19328498840332,-10.021801635622978,-1.614591360092163,-2.661348342895508,6.2054548263549805,-0.0009828314650803804,-0.09303678572177887,2.6552727222442627,0.0004317738930694759,0.0,-1.614591360092163,10.582000732421875,12.782136917114258,8.987689767586755e-05,0.00048348020500299125
1163264,0.0006805062294006348,-11.589975357055664,-11.590655863285065,0.7371762990951538,-2.6728949546813965,5.865970134735107,-0.0009262396488338709,-0.09365233033895493,2.6728405952453613,0.00011593196541070938,0.0,0.7371762990951538,10.563243865966797,5.243378639221191,8.962217764007607e-05,0.0004821099741838661
1179648,-0.21807321906089783,-16.421707153320312,-16.203633934259415,-1.1635992527008057,-2.6633362770080566,6.183419227600098,-0.000613754615187645,-0.09330417215824127,2.6629042625427246,0.00024316110648214817,0.0,-1.1635992527008057,11.109576225280762,12.454085350036621,8.936745760428461e-05,0.00048073974336474096
