collected_frames,rew/shaping,rew/step_penalty,rew/joint_vel_variance,rew/joint_angle_variance,rew/roll,rew/roll_rate,rew/pitch,rew/pitch_rate,rew/terminal_bonus,rew/total_reward
2572288,0.8380126785486937,-0.1569045766880514,-0.15536229289136827,-0.046471921988995746,-0.011886385669640731,-0.003158737650664989,-0.09358906175475568,-0.014118531602434814,0.008390119997784495,0.36491128941997886
2588672,1.0328939841128886,-0.1569045766880514,-0.15388813242316246,-0.03519321951898746,-0.00974906635019579,-0.0034509651395637775,-0.08073521213373169,-0.015282961503544357,0.005338761024177074,0.5830286056734622
2605056,1.0782806370407343,-0.1569045766880514,-0.15641219867393374,-0.04322245599178132,-0.012880464564659633,-0.0050969041458301945,-0.08259995630942285,-0.019145582788041793,0.0017795870080590248,0.6037980858236551
2621440,0.9715519291348755,-0.1569045766880514,-0.15500542370136827,-0.052880905743222684,-0.015412532797199674,-0.004882768025709083,-0.07917507854290307,-0.017993211826251354,0.010677522048354149,0.4999749520793557
2637824,0.9453094499185681,-0.1569045766880514,-0.1548867621459067,-0.05362579942448065,-0.01806951008620672,-0.005141593970620306,-0.07511059037642553,-0.018247572712425608,0.010677522048354149,0.4740005610510707
2654208,0.875409924890846,-0.1569045766880514,-0.15420296508818865,-0.047470449993852526,-0.011157874447235372,-0.0033227742969756946,-0.10069106158334762,-0.01450304997706553,0.006102717947214842,0.3932598880492151
2670592,1.0231443173252046,-0.1569045766880514,-0.15205275197513402,-0.034662185491470154,-0.010222726883512223,-0.0037082946491864277,-0.07736713808844797,-0.014566506921255495,0.0017795870080590248,0.5754397239070386
2686976,1.0379770332947373,-0.1569045766880514,-0.15329883096273988,-0.03936273211729713,-0.013035902251431253,-0.005406466712884139,-0.07771957584191114,-0.019066863431362435,0.0,0.5731820864602923
2703360,0.9437944097444415,-0.1569045766880514,-0.15445867099333555,-0.04820642332197167,-0.013719927272177301,-0.004659175079723354,-0.0735901864245534,-0.01678419124073116,-0.0010156300850212574,0.47445562737993896
2719744,0.9599229567684233,-0.1569045766880514,-0.15439744421746582,-0.04581836189026944,-0.01633733954076888,-0.00496302063766052,-0.07182984048267826,-0.01780773540667724,0.010425848886370659,0.5022904837969691
2736128,0.8554572300054133,-0.1569045766880514,-0.15428226732183248,-0.049065254657762125,-0.009163996390270768,-0.003760070967473439,-0.10059171175817028,-0.013954055539215915,0.0025435439310967922,0.37027884367853403
2752512,1.006382524035871,-0.1569045766880514,-0.15439816180150956,-0.03624990714888554,-0.010348102881835075,-0.004372689090814674,-0.08723036217270419,-0.0158913338163984,0.0017795870080590248,0.5427669829223305
2768896,1.043301908299327,-0.1569045766880514,-0.1545467475662008,-0.0439995502383681,-0.013150361832231283,-0.005477443424751982,-0.08684253453975543,-0.017941139478352852,0.003051358973607421,0.5674909120425582
2785280,0.9203429687768221,-0.1569045766880514,-0.153724979958497,-0.04934652743395418,-0.013481891961419024,-0.005018445217501721,-0.0909580162842758,-0.017443091644963715,0.0012717719655483961,0.43473721062764525
2801664,0.9227123851887882,-0.1569045766880514,-0.15428465988952667,-0.05295262250001542,-0.014774151830351911,-0.005017314946599072,-0.08735514990985394,-0.018087023257976398,0.013985022902488708,0.4473219057545066
2818048,0.8804378174245358,-0.1569045766880514,-0.1539540693629533,-0.0449547961470671,-0.009564076208334882,-0.003999349126388552,-0.09592102788155898,-0.014514578251692,0.007118348032236099,0.40774368587881327
2834432,1.0324408672749996,-0.1569045766880514,-0.1526007300708443,-0.03425285266712308,-0.008851719616359333,-0.004278302791135502,-0.07649215625133365,-0.015124519079108723,0.003051358973607421,0.5869873666670173
2850816,1.047316606156528,-0.1569045766880514,-0.15345752192661166,-0.039381711845635436,-0.014427521025936585,-0.005924036304350011,-0.06685852503869683,-0.018207230110419914,0.0035591740161180496,0.5957146533764899
2867200,0.9445213889703155,-0.1569045766880514,-0.1533759169979021,-0.04838364143506624,-0.018201239974587224,-0.0053907888068351895,-0.07020985329290852,-0.017417954200936947,0.0066105329897254705,0.48124794918112457
2883584,0.9432210335507989,-0.1569045766880514,-0.15144078456796706,-0.045571306807687506,-0.019243985923822038,-0.005418060682131909,-0.0695036428514868,-0.016439295024611056,0.011441478971391916,0.4901408585719764
2899968,0.8399158529937267,-0.1569045766880514,-0.1511335577815771,-0.03817908396013081,-0.00797904901628499,-0.0035695421720447484,-0.10376343817915767,-0.014848361730400939,0.004830945981666446,0.36836918792687356
2916352,1.0031313211657107,-0.1569045766880514,-0.14991479483433068,-0.032112411470734514,-0.00881140723140561,-0.003931937482775538,-0.08277193334652111,-0.01545584500854602,0.0012717719655483961,0.5545001763384789
2932736,1.0350816724821925,-0.1569045766880514,-0.15219416841864586,-0.03448782993655186,-0.011140079230244737,-0.005480462434206856,-0.0831704973243177,-0.01892635499825701,0.004830945981666446,0.5776086512487382
2949120,0.9291669768281281,-0.1569045766880514,-0.15306496736593544,-0.04691921835183166,-0.012142072038841434,-0.00486356419241929,-0.0872271831613034,-0.01791592089284677,0.0012717719655483961,0.4514012415893376
2965504,0.9237332968041301,-0.1569045766880514,-0.15129597950726748,-0.051331458758795634,-0.016326234181178734,-0.004862939385930076,-0.0826071510091424,-0.017289874616835732,0.009661891963332891,0.45277697034180164
2981888,0.8485537758097053,-0.1569045766880514,-0.15180601028259844,-0.060382401337847114,-0.008456661787931807,-0.0037461276187968906,-0.08433312416309491,-0.015893763178610243,0.0,0.36703110625967383
2998272,1.0145034664310515,-0.1569045766880514,-0.15269000199623406,-0.04099191117711598,-0.008216826816351386,-0.003868601594149368,-0.06877036512014456,-0.01536532764293952,0.01016970700584352,0.5778655672911555
3014656,1.0618290337733924,-0.1569045766880514,-0.15313809784129262,-0.04266801124322228,-0.010093186669109855,-0.005311154236551374,-0.08015806012554094,-0.018944374001875985,0.0035591740161180496,0.5981707335449755
3031040,0.9365486879833043,-0.1569045766880514,-0.15263261215295643,-0.05573111030389555,-0.01223048670362914,-0.004926102201352478,-0.0854883908177726,-0.019470696424832568,0.007882304955273867,0.4570470186881721
3047424,0.901028223335743,-0.1569045766880514,-0.15221779502462596,-0.0494831390096806,-0.014866500183416065,-0.004557183228826034,-0.08628422016045079,-0.016976575170701835,0.007882304955273867,0.4276205408386886
3063808,0.8782499912194908,-0.1569045766880514,-0.15163409983506426,-0.058510439412202686,-0.006742033216141863,-0.003016856367139553,-0.0716163594624959,-0.012576156004797667,0.0017795870080590248,0.4190290605183691
3080192,1.0732210725545883,-0.1569045766880514,-0.15397981915157288,-0.04238598500523949,-0.0062566704509663396,-0.003343765726640413,-0.06200617105787387,-0.015031736929813633,0.0017795870080590248,0.6350919327232987
3096576,1.1093235211446881,-0.1569045766880514,-0.1538487559882924,-0.04829130962025374,-0.009052536475792294,-0.005045533067459473,-0.07568923168582842,-0.020316729096521158,0.0,0.6401748508214951
3112960,0.9438354396261275,-0.1569045766880514,-0.15379944921005517,-0.055868380615720525,-0.011212700926989783,-0.004788866337548825,-0.0727293670643121,-0.017969073887798004,0.0,0.4705630240496248
3129344,0.8993933736346662,-0.1569045766880514,-0.15451245906297117,-0.0481869206414558,-0.010885562784096692,-0.004147227422436117,-0.07672606135020033,-0.01618459239398362,0.018052011961117387,0.44989798753522336
3145728,0.8745418945327401,-0.1569045766880514,-0.1521812197752297,-0.0520464513101615,-0.0057551014178898185,-0.0028748108579748077,-0.09206105157500133,-0.013096403286908753,0.005338761024177074,0.40496103605255485
3162112,1.0663553648628294,-0.1569045766880514,-0.15481421060394496,-0.03635163129365537,-0.006122190300629882,-0.0034788137600116897,-0.07193176115106326,-0.015035559936222853,-0.0005078150425106287,0.6212088069878519
3178496,1.1049497872591019,-0.1569045766880514,-0.15491525153629482,-0.04832949285628274,-0.010844780019397149,-0.00534921326834592,-0.07060906488914043,-0.018977161758812144,0.0035591740161180496,0.6425794195383787
3194880,0.9985273294150829,-0.1569045766880514,-0.15425816841889173,-0.05636466862051748,-0.013505946524674073,-0.0047873909716145135,-0.06658733283984475,-0.0169858764129458,0.004830945981666446,0.5339643086772412
3211264,0.9548265151679516,-0.1569045766880514,-0.15386294666677713,-0.04985420737648383,-0.013284334185300395,-0.004818138897462632,-0.06777567733661272,-0.016635745523672085,0.006102717947214842,0.4977936032228172
3227648,0.859962715767324,-0.1569045766880514,-0.15269641974009573,-0.052234628557926044,-0.012462479426176287,-0.0036061377522855764,-0.07743326295167208,-0.013491374935256317,0.005338761024177074,0.3964725888799876
3244032,1.0477705439552665,-0.1569045766880514,-0.15306395094376057,-0.038713226284016855,-0.011073883390054107,-0.0039937339734024135,-0.06211159875965677,-0.01551328801724594,0.008390119997784495,0.6147864058148116
3260416,1.0647679097019136,-0.1569045766880514,-0.15377026912756264,-0.044794694549636915,-0.012141000283008907,-0.005509443293703953,-0.0677389707416296,-0.01867303178732982,0.0012717719655483961,0.6065076859667897
3276800,0.9655730361118913,-0.1569045766880514,-0.15389591990970075,-0.04742855892982334,-0.012683674074651208,-0.005157919946213951,-0.0778501873719506,-0.01697104704362573,0.006102717947214842,0.5007838679011911
3293184,0.9322061371058226,-0.1569045766880514,-0.15436736214905977,-0.04466044541914016,-0.014056996675208211,-0.00487212584084773,-0.07787837303476408,-0.01777616453182418,0.0025435439310967922,0.46423363615758717
3309568,0.8315462255850434,-0.1569045766880514,-0.15372369613032788,-0.036481528892181814,-0.008892833211575635,-0.0035867175665771356,-0.0828508110716939,-0.013843815562722739,0.006866674870252609,0.38212892157025635
3325952,1.007740065921098,-0.1569045766880514,-0.1533230870263651,-0.0342493877542438,-0.008290875712191337,-0.0038811073663964635,-0.06674341020698193,-0.01446975054568611,0.0035591740161180496,0.5734370453283191
3342336,1.0402242867276073,-0.1569045766880514,-0.15338487760163844,-0.048132397583685815,-0.012853879255999345,-0.0057408704415138345,-0.07209456124110147,-0.017809890960052144,0.0017795870080590248,0.5750828124582767
3358720,0.9316677306778729,-0.1569045766880514,-0.15219538297969848,-0.05531609704485163,-0.017703491655993275,-0.005426915318821557,-0.07236719684442505,-0.016813013251521625,0.0012717719655483961,0.45621282793581486
3375104,0.9311071936972439,-0.1569045766880514,-0.15273360128048807,-0.04823304698220454,-0.017819976870669052,-0.0055641114468016895,-0.07558281306410208,-0.01663567283685552,0.014236696064472198,0.47187008685432374
3391488,0.8486614562571049,-0.1569045766880514,-0.15312602592166513,-0.037288822582922876,-0.010789646017656196,-0.003619701559728128,-0.0951141084660776,-0.013489112512615975,0.008390119997784495,0.38671958120539784
3407872,0.9914440368302166,-0.1569045766880514,-0.15215132653247565,-0.034360031175310723,-0.009513117944152327,-0.00374417384773551,-0.07871742339921184,-0.013894152234570356,0.003051358973607421,0.5452105964068323
3424256,1.0558554362505674,-0.1569045766880514,-0.1524385669035837,-0.04044252310995944,-0.010920255706878379,-0.005294965252687689,-0.07701299071777612,-0.017803773647756316,0.004323130939155817,0.5993609135039151
3440640,0.9421621607616544,-0.1569045766880514,-0.15274358924943954,-0.05257266666740179,-0.012616459112905432,-0.0048963122917484725,-0.08044906565919518,-0.016854860303283203,0.004830945981666446,0.4699555749539286
3457024,0.9335635211318731,-0.1569045766880514,-0.15220495662651956,-0.050002529635094106,-0.013465992888086475,-0.004602024378982605,-0.07515937887364998,-0.01581381198047893,0.0066105329897254705,0.4720207841601223
