collected_frames,var_decomp/shaping,var_decomp/joint_ang_from_flat_penalty,var_decomp/joint_angle_var_penalty,var_decomp/roll_penalty,var_decomp/roll_rate_penalty,var_decomp/pitch_penalty,var_decomp/pitch_rate_penalty,var_decomp/shock_penalty,var_decomp/clearance,var_decomp/action_bonus,var_decomp/flipper_action_bonus,var_decomp/terminal_bonus
8126464,1.294974446296692,0.07310663163661957,0.06425301730632782,0.05854305624961853,0.09023910015821457,0.1950293481349945,0.025588516145944595,-0.06810030341148376,0.07285881042480469,4.177408218383789,-0.12130015343427658,0.03795243054628372
8257536,0.918743908405304,0.015623629093170166,0.03404274582862854,0.013938059099018574,0.03316644951701164,0.02656998671591282,-0.07159413397312164,-0.06539315730333328,0.059933003038167953,3.673457145690918,-0.05200188606977463,2.234332323074341
8388608,0.252401739358902,-0.012249897234141827,0.020991742610931396,-0.12688209116458893,-0.04315630719065666,0.22653035819530487,-0.03960396721959114,-0.006145776249468327,0.024918535724282265,3.0116031169891357,-0.1024647057056427,3.0050392150878906
8519680,0.6982914209365845,0.005307472310960293,0.0027467140462249517,-0.06450774520635605,-0.017739312723279,0.15765736997127533,0.017644980922341347,-0.016849182546138763,0.023403160274028778,3.213604688644409,-0.030111709609627724,3.503031015396118
8650752,1.7197221517562866,0.13471397757530212,0.02374914474785328,0.009702334180474281,0.002289879834279418,0.0765581876039505,0.006007786840200424,-0.05994369462132454,0.04449552297592163,5.64776611328125,0.022807076573371887,0.3528571128845215
8781824,0.929815948009491,0.04198289290070534,0.007092113606631756,-0.030198007822036743,-0.05896011367440224,-0.10627901554107666,-0.0801006555557251,-0.0269948597997427,-0.0014328663237392902,4.029871940612793,0.04248357191681862,2.8816070556640625
8912896,0.3349899351596832,0.004013457801192999,-0.015268076211214066,-0.03676532581448555,0.031393103301525116,0.09983637183904648,0.05225641652941704,0.00029539637034758925,0.020727626979351044,2.640862464904785,-0.012381896376609802,3.6728968620300293
9043968,0.4149802029132843,0.007578523829579353,0.007712263148277998,0.06660985946655273,0.016653088852763176,0.052323970943689346,0.038972917944192886,0.04661131277680397,-0.0035190379712730646,3.261080503463745,0.06361759454011917,3.202636957168579
9175040,0.621084988117218,0.004660393111407757,-0.002627625362947583,-0.005212855525314808,0.03392648696899414,-0.08096099644899368,0.010268289595842361,-0.015055104158818722,-0.005569211207330227,3.357921600341797,0.01858782209455967,3.3544626235961914
9306112,0.6251543760299683,0.02247939445078373,0.013756289146840572,-0.027380136772990227,0.03548818454146385,0.03780489042401314,0.029097843915224075,-0.012647959403693676,0.04856576398015022,3.554474353790283,-0.013791940174996853,2.7819859981536865
9437184,0.497419148683548,0.02563781850039959,0.009766725823283195,0.014791123569011688,0.05602237209677696,0.04570956155657768,0.026596851646900177,0.027957061305642128,0.005294106435030699,2.4567317962646484,-0.0626244992017746,4.327010631561279
9568256,0.25741997361183167,0.018430566415190697,0.011189267970621586,-0.0010501608485355973,0.03016572631895542,0.00018920136790256947,0.051447976380586624,0.040879927575588226,0.020116526633501053,2.8371729850769043,-0.031709007918834686,4.183370113372803
9699328,0.3771090507507324,0.010965479537844658,0.013283251784741879,-0.0017462713876739144,-0.03331016004085541,0.061712779104709625,0.02092941291630268,0.030653562396764755,0.04709082841873169,2.8220152854919434,0.0657445639371872,4.084385871887207
9830400,0.4154110848903656,-0.0010549931321293116,-0.005401503760367632,-0.011958776041865349,-0.006082499865442514,-0.019251350313425064,-0.024466924369335175,0.034842636436223984,0.005006872583180666,2.8698642253875732,0.061346568167209625,4.072028636932373
9961472,0.3511926233768463,0.022188352420926094,0.024340104311704636,-0.0068941060453653336,-0.04433978721499443,0.0567358173429966,-0.00127468875143677,0.007734668906778097,-0.025644730776548386,3.27962589263916,-0.10069279372692108,4.0626983642578125
10092544,0.2411724478006363,0.012888695113360882,0.03150447458028793,0.06711750477552414,-0.02134677767753601,0.09508059918880463,-0.0005189129733480513,-0.0008982943254522979,0.0343523733317852,3.2253544330596924,0.01206723041832447,3.64693546295166
10223616,0.36922258138656616,0.015298205427825451,0.023280298337340355,0.061765071004629135,0.058107201009988785,0.0709587037563324,0.04665475711226463,0.008154598996043205,0.017340008169412613,3.2802817821502686,0.07103744894266129,3.4019722938537598
10354688,0.3560785949230194,0.004336987622082233,0.0010828613303601742,0.021895207464694977,-0.0006036032573319972,-0.02324032597243786,-0.026097707450389862,0.051480624824762344,-0.015413276851177216,2.7539169788360596,0.068328358232975,4.140812873840332
