attempt,collected_frames,failure/rollover,failure/out_of_range,failure/shock_high
8,19267584,2.288818359375e-05,0.0,0.0
8,19398656,3.814697265625e-05,7.62939453125e-06,0.0
8,19529728,0.0001373291015625,0.0,0.0
8,19660800,4.57763671875e-05,0.0,0.0
8,19791872,3.0517578125e-05,7.62939453125e-06,0.0
9,19005440,3.0517578125e-05,0.0,0.0
9,19136512,1.1765813253012049e-05,3.676816641566265e-06,0.0
9,19267584,1.52587890625e-05,0.0,0.0
9,19398656,9.1552734375e-05,1.52587890625e-05,0.0
9,19529728,3.814697265625e-05,0.0,0.0
9,19660800,4.57763671875e-05,0.0,0.0
9,19791872,1.52587890625e-05,0.0,0.0
9,19922944,0.0,0.0,0.0
9,20054016,3.0517578125e-05,0.0,0.0
10,20054016,0.0,0.0,0.0
10,20185088,6.618269954819277e-05,0.0,0.0
10,20316160,7.62939453125e-05,0.0,0.0
10,20447232,7.62939453125e-06,0.0,0.0
10,20578304,6.103515625e-05,0.0,0.0
10,20709376,0.0001220703125,0.0,0.0
10,20840448,0.00017547607421875,0.0,0.0
10,20971520,0.0001678466796875,0.0,0.0
11,21102592,0.00018310546875,0.0,0.0
11,21233664,0.00010883377259036144,1.0295086596385541e-05,0.0
11,21364736,3.814697265625e-05,2.288818359375e-05,0.0
11,21495808,3.814697265625e-05,0.0,0.0
11,21626880,4.57763671875e-05,0.0,0.0
11,21757952,3.0517578125e-05,0.0,0.0
11,21889024,8.392333984375e-05,0.0,0.0
11,22020096,2.288818359375e-05,7.62939453125e-06,0.0
11,22151168,2.288818359375e-05,0.0,0.0
11,22282240,7.35363328313253e-07,0.0,0.0
11,22413312,1.52587890625e-05,0.0,0.0
11,22544384,6.866455078125e-05,0.0,0.0
11,22675456,3.814697265625e-05,0.0,0.0
11,22806528,1.52587890625e-05,0.0,0.0
11,22937600,2.288818359375e-05,0.0,0.0
11,23068672,4.57763671875e-05,0.0,0.0
12,23199744,7.62939453125e-05,0.0,0.0
12,23330816,1.6177993222891568e-05,1.470726656626506e-06,0.0
12,23461888,9.1552734375e-05,0.0,0.0
12,23592960,0.00011444091796875,0.0,0.0
12,23724032,2.288818359375e-05,7.62939453125e-06,0.0
12,23855104,0.0,0.0,0.0
12,23986176,2.288818359375e-05,0.0,0.0
12,24117248,2.288818359375e-05,0.0,0.0
12,24248320,5.340576171875e-05,0.0,0.0
12,24379392,1.0295086596385541e-05,0.0,0.0
12,24510464,5.340576171875e-05,0.0,0.0
12,24641536,6.103515625e-05,0.0,0.0
12,24772608,0.0,0.0,0.0
12,24903680,4.57763671875e-05,0.0,0.0
12,25034752,1.52587890625e-05,0.0,0.0
12,25165824,1.52587890625e-05,0.0,0.0
12,25296896,0.0,0.0,0.0
12,25427968,0.0,0.0,0.0
12,25559040,1.52587890625e-05,0.0,0.0
12,25690112,2.288818359375e-05,0.0,0.0
12,25821184,9.1552734375e-05,0.0,0.0
12,25952256,7.62939453125e-06,0.0,0.0
12,26083328,5.340576171875e-05,0.0,0.0
12,26214400,4.57763671875e-05,0.0,0.0
12,26345472,7.62939453125e-06,0.0,0.0
12,26476544,4.4857163027108436e-05,0.0,0.0
12,26607616,1.52587890625e-05,0.0,0.0
12,26738688,7.62939453125e-06,0.0,0.0
12,26869760,2.288818359375e-05,0.0,0.0
12,27000832,0.0,0.0,0.0
12,27131904,2.288818359375e-05,0.0,0.0
12,27262976,2.288818359375e-05,7.62939453125e-06,0.0
12,27394048,5.340576171875e-05,0.0,0.0
12,27525120,0.00010515695594879519,0.0,0.0
12,27656192,2.288818359375e-05,0.0,0.0
12,27787264,0.0,0.0,0.0
12,27918336,0.0,0.0,0.0
12,28049408,0.0,0.0,0.0
12,28180480,1.52587890625e-05,0.0,0.0
12,28311552,0.00022125244140625,0.0,0.0
12,28442624,6.103515625e-05,1.52587890625e-05,0.0
12,28573696,7.35363328313253e-07,0.0,0.0
12,28704768,1.52587890625e-05,0.0,0.0
