collected_frames,rew/potential_shaping,rew/step_penalty,rew/joint_vel_variance,rew/roll,rew/roll_rate,rew/pitch,rew/pitch_rate,rew/terminal_bonus,rew/total_reward
1179648,0.34887491702102125,-0.20136560257768443,-0.24179381306748837,-0.003869329645567632,-0.09260227298364043,-0.017049641079211142,-0.09187562632723711,-0.0008473456255160272,-0.3005287123960443
1196032,0.33897939743474126,-0.20136560257768443,-0.24137402034830302,-0.005613621287920978,-0.10799884371226653,-0.015342630460509099,-0.09557119366945699,-0.0004764882323797792,-0.32876300369389355
1212416,0.29306174884550273,-0.20136560257768443,-0.24202975479420274,-0.0059827847908309195,-0.10787514824187383,-0.016091950390546117,-0.09310862427810207,-0.003861497825710103,-0.37725361133925617
1228800,0.28510412701871246,-0.20136560257768443,-0.24165308056399226,-0.0053738502065243665,-0.09286808205069974,-0.014725224340509158,-0.0800175208132714,-0.0022724372684024274,-0.3531716747675091
1245184,0.2893861954798922,-0.20136560257768443,-0.23945756896864623,-0.004410608111356851,-0.09006970492191613,-0.014895500986312982,-0.08113237872021273,0.002209726080764085,-0.33973543893080205
1261568,0.3720318879932165,-0.20136560257768443,-0.2405743880663067,-0.0035348183364476427,-0.09585900502861477,-0.016227232168603223,-0.09381171397399157,0.0028226822905708104,-0.2765181882423349
1277952,0.32528800005093217,-0.20136560257768443,-0.2421510226558894,-0.004942779818520648,-0.09594428929267451,-0.01735282015579287,-0.09285261802142486,0.004860730114160106,-0.3244604009669274
1294336,0.3237923919223249,-0.20136560257768443,-0.24005360412411392,-0.00497991902193462,-0.09354374773101881,-0.016341667811502703,-0.08778227079892531,0.0020457571372389793,-0.31822865968570113
1310720,0.29347114625852555,-0.20136560257768443,-0.24099115713033825,-0.005852242677065078,-0.10140200913883746,-0.016553477486013435,-0.09200690948637202,0.003884625795762986,-0.36081562598701566
1327104,0.322797846281901,-0.20136560257768443,-0.23939277802128345,-0.0050134880366385914,-0.09610758174676448,-0.01530443145747995,-0.08812710765050724,0.0004214863292872906,-0.3220916549907997
1343488,0.33792040566913784,-0.20136560257768443,-0.24133116914890707,-0.003054430512293038,-0.07861739964573644,-0.014701077219797298,-0.08764655044069514,0.003962755581596866,-0.2848330706474371
1359872,0.2822498087771237,-0.20136560257768443,-0.2388130120234564,-0.004592730871081585,-0.09077270334819332,-0.01522528426721692,-0.08363840240053833,0.003962755610700697,-0.3481951707508415
1376256,0.30502970167435706,-0.20136560257768443,-0.24137647333554924,-0.004582041721732821,-0.0939506966387853,-0.014585681674361695,-0.08611998963169754,-0.0005623273318633437,-0.33751310920342803
1392640,0.3052415493875742,-0.20136560257768443,-0.24252987513318658,-0.004892485283562564,-0.09431192046031356,-0.01610526518925326,-0.08448278316063806,0.000663585087750107,-0.33778279821854085
1409024,0.2961817963514477,-0.20136560257768443,-0.2424291487550363,-0.0052839746422250755,-0.09873456932837144,-0.015357775417214725,-0.09162987815216184,0.001518640056019649,-0.3571005130652338
1425408,0.350846262415871,-0.20136560257768443,-0.23945817409548908,-0.0032500693760084687,-0.0937853415380232,-0.014700094179715961,-0.08865816099569201,-0.0031704118009656668,-0.29354159013018943
1441792,0.3295763568021357,-0.20136560257768443,-0.23924463044386357,-0.003801328892222955,-0.09393143630586565,-0.014682729073683731,-0.09110947215231135,0.002252645674161613,-0.3123061974765733
1458176,0.29869089473504573,-0.20136560257768443,-0.2398742587538436,-0.004765799654705916,-0.09934891841839999,-0.0168815692741191,-0.09171380003681406,-0.0019874189456459135,-0.3572464694734663
1474560,0.31346453190781176,-0.20136560257768443,-0.23924620123580098,-0.004542107239103643,-0.09431112420861609,-0.015139208771870472,-0.08642123691970482,-0.002350567083340138,-0.3299115119734779
1490944,0.32420980371534824,-0.20136560257768443,-0.2408674891339615,-0.003900109632013482,-0.0870404444867745,-0.014043027018487919,-0.08468876630649902,0.0007417149026878178,-0.3069539212156087
1507328,0.3146149681415409,-0.20136560257768443,-0.2385574608342722,-0.0035406454935582587,-0.09550456452416256,-0.012609572404471692,-0.08403510472271591,0.0003356472298037261,-0.3206623349105939
