collected_frames,action/v_mean,action/w_mean,action/front_mean,action/rear_mean
14942208,0.5,0.0,0.00165557861328125,-0.287689208984375
15073280,0.5,0.0,-0.08507537841796875,-0.05733489990234375
15204352,0.5,0.0,-0.04329681396484375,-0.10073089599609375
15335424,0.5,0.0,-0.14913177490234375,-0.08716583251953125
15466496,0.5,0.0,-0.1204071044921875,-0.08071136474609375
15597568,0.5,0.0,-0.11688995361328125,-0.0659637451171875
15728640,0.5,0.0,-0.09850311279296875,-0.0882415771484375
15859712,0.5,0.0,-0.15813446044921875,-0.07491302490234375
15990784,0.5,0.0,-0.1905670166015625,-0.07183074951171875
16121856,0.5,0.0,-0.08349609375,-0.04498291015625
16252928,0.5,0.0,-0.05138397216796875,-0.09017181396484375
16384000,0.5,0.0,-0.13204193115234375,-0.093780517578125
16515072,0.5,0.0,-0.08319091796875,-0.06635284423828125
16646144,0.5,0.0,-0.1094818115234375,-0.0615081787109375
16777216,0.5,0.0,-0.12561798095703125,-0.0810394287109375
16908288,0.5,0.0,-0.100433349609375,-0.06731414794921875
17039360,0.5,0.0,-0.4027862548828125,-0.3313446044921875
17170432,0.5,0.0,-0.0222625732421875,-0.13726806640625
17301504,0.5,0.0,-0.1224822998046875,-0.0812835693359375
17432576,0.5,0.0,-0.11020660400390625,-0.08594512939453125
17563648,0.5,0.0,-0.10086822509765625,-0.07987213134765625
17694720,0.5,0.0,-0.10283660888671875,-0.06758880615234375
17825792,0.5,0.0,-0.10396575927734375,-0.0906524658203125
17956864,0.5,0.0,-0.11566925048828125,-0.10037994384765625
18087936,0.5,0.0,-0.37146759033203125,-0.19158935546875
18219008,0.5,0.0,-0.046905517578125,-0.0829620361328125
18350080,0.5,0.0,-0.1326446533203125,-0.06916046142578125
18481152,0.5,0.0,-0.12142181396484375,-0.09218597412109375
18612224,0.5,0.0,-0.074798583984375,-0.07561492919921875
18743296,0.5,0.0,-0.1060028076171875,-0.1094970703125
18874368,0.5,0.0,-0.06273651123046875,-0.089813232421875
19005440,0.5,0.0,-0.09033966064453125,-0.0891876220703125
19136512,0.5,0.0,-0.36139678955078125,-0.1231231689453125
19267584,0.5,0.0,-0.08506011962890625,-0.09308624267578125
19398656,0.5,0.0,-0.0565338134765625,-0.11885833740234375
19529728,0.5,0.0,-0.08515167236328125,-0.08834075927734375
19660800,0.5,0.0,-0.07869720458984375,-0.08087921142578125
19791872,0.5,0.0,-0.07082366943359375,-0.12358856201171875
19922944,0.5,0.0,-0.13521575927734375,-0.04653167724609375
20054016,0.5,0.0,-0.17658233642578125,-0.07674407958984375
20185088,0.5,0.0,-0.34827423095703125,-0.1716766357421875
20316160,0.5,0.0,-0.19110107421875,-0.06874847412109375
20447232,0.5,0.0,-0.09989166259765625,-0.11975860595703125
20578304,0.5,0.0,-0.10247802734375,-0.06632232666015625
20709376,0.5,0.0,-0.08539581298828125,-0.09124755859375
20840448,0.5,0.0,-0.1546478271484375,-0.07825469970703125
20971520,0.5,0.0,-0.1626129150390625,-0.09644317626953125
21102592,0.5,0.0,-0.1376495361328125,-0.09039306640625
21233664,0.5,0.0,-0.09693145751953125,-0.36687469482421875
21364736,0.5,0.0,-0.1054840087890625,-0.022491455078125
21495808,0.5,0.0,-0.055450439453125,-0.15052032470703125
21626880,0.5,0.0,-0.10762786865234375,-0.05771636962890625
