collected_frames,rew/shaping,rew/step_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/action_bonus,rew/flipper_action_bonus,rew/terminal_bonus,rew/total_reward
1703936,1.272951528429985,-0.060763652494074505,-0.14928399864584208,-0.21760240325238556,-0.3734420775435865,-0.2757008243352175,-0.16272933001164347,3.010334324091673,0.7106716642156243,0.012923021917231381,3.7650998160243034
1835008,1.2760224537923932,-0.06086988265577742,-0.15018105099443346,-0.2191122060175985,-0.31719304039143026,-0.2741866107098758,-0.1437848756031599,3.241415584459901,0.7082606637850404,0.01649315538816154,4.074247946962714
1966080,1.7148552099242806,-0.060976112817480645,-0.09423339445493184,-0.23358162655495107,-0.22827954194508493,-0.28092374303378165,-0.239278094493784,4.15055138990283,0.7148185730911791,0.016810285043902695,5.458392385393381
2097152,1.4052708502858877,-0.06108234297918354,-0.12596837599994615,-0.24303050281014293,-0.25053372443653643,-0.2759949315804988,-0.15430281157023273,3.66412833891809,0.7290059896185994,0.06348245253320783,4.749325890094042
2228224,1.3685647584497929,-0.06118857314088633,-0.12095567415235564,-0.24617118237074465,-0.23811933095566928,-0.2798650609329343,-0.1386733642721083,3.82754060998559,0.7361006755381823,0.071558931726031,4.916316382586956
2359296,1.3906844248995185,-0.06129480330258913,-0.11119318590499461,-0.24736228678375483,-0.2350931690307334,-0.2849064425099641,-0.12736410633078776,3.9251040257513523,0.7385733081027865,0.050482940510846674,5.033951282501221
2490368,1.530441626906395,-0.06140103346429204,-0.09022401066613384,-0.24352257139980793,-0.20618223154451698,-0.2813402821775526,-0.14583958013099618,4.423336900770664,0.7280685845762491,0.06436657812446356,5.7148492410779
2621440,1.5521637443453074,-0.061507263625995276,-0.07372858669259585,-0.24972047505434602,-0.2249802527949214,-0.28957167570479214,-0.14533427567221224,4.455075405538082,0.7354024341329932,0.09017109882552177,5.785199504345655
2752512,1.5183877274394035,-0.06161349378769819,-0.06664475228171796,-0.25092997669707984,-0.23178363661281765,-0.29142576246522367,-0.1288842975627631,4.465780254453421,0.7394850538112223,0.11822648474480957,5.808042481541634
2883584,1.6359339822083712,-0.061719723949400965,-0.06931193877244368,-0.27880697255022824,-0.22222898330073804,-0.29466344870161265,-0.19319168367655948,4.706371322274208,0.7192809274420142,0.032958629191853106,5.971903204917908
3014656,1.4657023986801505,-0.061825954111103865,-0.07844419335015118,-0.2789516164921224,-0.23815607314463705,-0.29466089070774615,-0.15284695351147093,4.582630109041929,0.737411882262677,0.09697578218765557,5.775667030364275
3145728,1.3745359787717462,-0.06193218427280667,-0.08121528569608927,-0.2738087431062013,-0.25152671185787767,-0.29223425313830376,-0.14515192311955616,4.376036569476128,0.7401290098205209,0.06387012277264148,5.446272261440754
3276800,1.3817631443962455,-0.06203841443450991,-0.05895743938162923,-0.26905217417515814,-0.25744770700111985,-0.2873267245013267,-0.1308660646318458,4.514868672937155,0.7316519855521619,0.07996176683809608,5.639343425631523
3407872,1.5026089288294315,-0.062144644596212814,-0.05728023510891944,-0.2562482291832566,-0.26262920070439577,-0.2890252040233463,-0.12908554702880792,4.863230101764202,0.7250051675364375,0.07765420211944729,6.1088278368115425
3538944,1.516700099222362,-0.06225087475791559,-0.05838201628648676,-0.25299620092846453,-0.2881434871815145,-0.28665836271829903,-0.10890475145424716,4.962632592767477,0.7246856479905546,0.09565651474986225,6.24026345461607
3670016,1.5248182443901896,-0.062357104919618496,-0.052016121364431456,-0.2418658487731591,-0.30611448432318866,-0.2851365541573614,-0.1063294519262854,5.1354516595602036,0.7186954529024661,0.12003759504295886,6.442474570125341
