collected_frames,var_decomp/shaping,var_decomp/legacy_joint_vel_var_penalty,var_decomp/legacy_joint_angle_var_penalty,var_decomp/legacy_track_vel_var_penalty,var_decomp/legacy_roll_rate_penalty,var_decomp/legacy_pitch_rate_penalty,var_decomp/terminal_bonus
17039360,0.041882406920194626,0.021502407267689705,-0.0005726809031330049,0.038952164351940155,0.006418281700462103,0.004720933735370636,0.017453251406550407
17170432,0.05209074169397354,0.0031772498041391373,-0.00030390650499612093,0.015392685309052467,0.0018435134552419186,0.0045568980276584625,0.09729902446269989
17301504,-0.02325711026787758,0.0011510757030919194,-0.0011261629406362772,0.0025921110063791275,-0.002257042331621051,-0.0023574859369546175,0.012601087801158428
17432576,0.008106694556772709,0.003336707130074501,0.0007079349597916007,0.007662363350391388,0.0035438977647572756,0.004617393482476473,0.024434292688965797
17563648,0.07579375058412552,0.003549447050318122,0.0017660455778241158,0.013550488278269768,0.006084537133574486,0.007006400264799595,
17694720,0.13814346492290497,-0.00368473120033741,0.00017580737767275423,-0.002149821724742651,0.006322674918919802,0.006695975083857775,0.0005898771341890097
17825792,0.20873615145683289,-0.012422223575413227,0.026351498439908028,-0.01440859492868185,0.005618918687105179,-0.03254738077521324,
17956864,0.09356091916561127,0.00026721731410361826,0.03657490760087967,-0.0007696156390011311,8.267425437225029e-05,0.015185943804681301,0.006241165101528168
18087936,0.07894507050514221,0.013108579441905022,0.006229881662875414,0.034588783979415894,0.008505837991833687,0.013954637572169304,
18219008,0.03030625358223915,0.015962494537234306,-0.0038142697885632515,0.024106889963150024,0.004242308903485537,0.002358201192691922,
18350080,0.05404434725642204,0.015319015830755234,-0.0016075605526566505,0.035598818212747574,0.008229419589042664,0.004773722495883703,0.021115899085998535
18481152,0.06465838849544525,0.011622341349720955,0.0007485839887522161,0.021140392869710922,0.00610382528975606,0.007402095943689346,0.010078813880681992
18612224,-0.004497533664107323,-0.002167151076719165,-0.0002664905332494527,-0.0011271366383880377,-0.0028263861313462257,-0.0030526421032845974,
18743296,-0.020945578813552856,0.007183026056736708,0.0016012656269595027,0.00806041993200779,0.0028046804945915937,0.004526877775788307,
18874368,-0.007309156935662031,0.01109012309461832,0.0005526209133677185,0.011710939928889275,0.002115919953212142,0.002466722624376416,0.06525276601314545
