attempt,collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_front_mean,action/flipper_front_std,action/flipper_rear_mean,action/flipper_rear_std
1,4456448,0.04985327273607254,0.6015759110450745,0.041642144322395325,0.5911808013916016,-0.23311209678649902,0.516304612159729,-0.20143446326255798,0.28176435828208923
1,4587520,0.048753656446933746,0.6004019379615784,0.005429120268672705,0.5938442945480347,-0.21520590782165527,0.5122736692428589,-0.20271483063697815,0.3106538951396942
1,4718592,0.04044569283723831,0.6022701263427734,-0.005332381464540958,0.5901647210121155,-0.24491329491138458,0.5178616046905518,-0.18955840170383453,0.2912280857563019
1,4849664,0.039793387055397034,0.6039510369300842,-0.002038006205111742,0.587239146232605,-0.24861614406108856,0.5210772156715393,-0.19125136733055115,0.3012498915195465
1,4980736,0.06131505221128464,0.6028770804405212,-0.014689087867736816,0.5901042819023132,-0.24097804725170135,0.5198872685432434,-0.1936531811952591,0.3068065941333771
1,5111808,0.05658933147788048,0.6028500199317932,0.010331960394978523,0.5842499136924744,-0.24767428636550903,0.5185068249702454,-0.20559489727020264,0.2984899580478668
1,5242880,0.047488920390605927,0.6007429957389832,-0.013559475541114807,0.5862933397293091,-0.2605864405632019,0.5192127227783203,-0.20916889607906342,0.3010319471359253
1,5373952,0.04191754013299942,0.5948324799537659,-0.0204972755163908,0.5808815360069275,-0.2523404359817505,0.5281180739402771,-0.20254617929458618,0.29786157608032227
1,5505024,0.017137380316853523,0.5948148965835571,-0.019161757081747055,0.5825852155685425,-0.2518283724784851,0.5280911326408386,-0.20500265061855316,0.31509190797805786
1,5636096,0.017534203827381134,0.5939340591430664,-0.01715340092778206,0.5839921832084656,-0.26515668630599976,0.5317243337631226,-0.18965116143226624,0.3019507825374603
1,5767168,0.013309523463249207,0.6008110046386719,-0.038702066987752914,0.5825249552726746,-0.29388707876205444,0.5386847853660583,-0.18804481625556946,0.2833966612815857
1,5898240,0.024317804723978043,0.598506510257721,-0.031132671982049942,0.5833187103271484,-0.2830161154270172,0.5307115912437439,-0.18872493505477905,0.309865266084671
1,6029312,0.04486514627933502,0.5965365171432495,-0.020113082602620125,0.5839011073112488,-0.30122870206832886,0.5313882231712341,-0.1803210973739624,0.29309284687042236
1,6160384,0.016172749921679497,0.5964877009391785,-0.013264778070151806,0.5859535932540894,-0.30268847942352295,0.5333148837089539,-0.1862477958202362,0.3014928698539734
1,6291456,0.026694510132074356,0.5938681364059448,0.00388945359736681,0.5876905918121338,-0.30402761697769165,0.5295887589454651,-0.18488308787345886,0.31014496088027954
1,6422528,0.042489297688007355,0.5896008610725403,-0.007696797605603933,0.5850874781608582,-0.3236130475997925,0.5320671796798706,-0.18673616647720337,0.3002539575099945
1,6553600,0.04062916710972786,0.5850616693496704,-0.01713550090789795,0.5810590982437134,-0.3104017376899719,0.5292528867721558,-0.18416614830493927,0.3074735999107361
1,6684672,0.02153218537569046,0.5849073529243469,-0.012618185952305794,0.576479434967041,-0.31034499406814575,0.5291082859039307,-0.19119887053966522,0.3029971420764923
1,6815744,0.03531248867511749,0.578052282333374,-0.003146757837384939,0.5771612524986267,-0.3019793629646301,0.5267876386642456,-0.19785600900650024,0.32308515906333923
1,6946816,0.04023045301437378,0.5774956345558167,-0.00469590350985527,0.5767248272895813,-0.3017784059047699,0.5332923531532288,-0.1973116397857666,0.3116596043109894
