collected_frames,rew/shaping,rew/joint_ang_from_flat_penalty,rew/joint_angle_var_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/flipper_action_bonus,rew/step_penalty,rew/terminal_bonus,rew/total_reward
1441792,2.8929203059524298,-0.063484963378869,-0.05399844711064361,-0.051870091643650085,-0.2132566621294245,-0.23117526934947819,-0.19239760877098888,-0.0009841805108408153,-0.02039339301700238,5.502453833818436,0.7019859221763909,-0.06055119261145592,0.2932049390365137,8.500205729156733
1572864,2.9415277149528265,-0.0627356460900046,-0.054679867083905265,-0.04943565221037716,-0.21291002340149134,-0.21339245012495667,-0.19544069143012166,-0.0009988625761252479,-0.01905209089454729,5.594237584620714,0.7000861838459969,-0.06065742298960686,0.2763983482000185,8.63980595767498
1703936,2.9424555860459805,-0.06296604275121354,-0.05418900548829697,-0.05191602511331439,-0.21298470883630216,-0.21913022035732865,-0.19444962160196155,-0.0008508570942069582,-0.02064407324360218,5.538206145167351,0.6991970450617373,-0.0607636533677578,0.32262537204951514,8.622231744229794
1835008,2.916138708591461,-0.06392083095852286,-0.054988338641123846,-0.05327499980921857,-0.21022037998773158,-0.22358242399059236,-0.1929281597258523,-0.0005784216563142763,-0.02048801704950165,5.508948870003223,0.6862417520023882,-0.06086988374590874,0.28613268439949024,8.514041561633348
1966080,2.9438641406595707,-0.06487781374016777,-0.0547671870153863,-0.048900547553785145,-0.20937342883553356,-0.22274800925515592,-0.19621287833433598,-0.001007697825627929,-0.019454555134871043,5.556577809154987,0.6868947357870638,-0.060976114036748186,0.27799227421928663,8.58353267237544
2097152,2.912445494905114,-0.06407388485968113,-0.055028890375979245,-0.04790355803561397,-0.20792676403652877,-0.22684599866624922,-0.19430501235183328,-0.00028105460921779013,-0.01956063356192317,5.497852303087711,0.6825948399491608,-0.06108234450221062,0.296695606681169,8.509393446147442
2228224,2.943267285823822,-0.0639916054205969,-0.054777516779722646,-0.051058096112683415,-0.20857830601744354,-0.22347165935207158,-0.1937752488302067,-0.0007322839119296987,-0.019831260971841402,5.575832299888134,0.6803168095648289,-0.06118857488036156,0.30604727371246554,8.624958764761686
2359296,2.9205066300928593,-0.06438543787226081,-0.053846601920668036,-0.04916009586304426,-0.20159883506130427,-0.23095828539226204,-0.19081070041283965,-0.0006304649291450914,-0.018018186296103522,5.538874950259924,0.6799301989376545,-0.0612948015332222,0.30832668315269984,8.57359779253602
2490368,2.8964100517332554,-0.06500813615275547,-0.054683838825440034,-0.050469818932469934,-0.2055685764644295,-0.2270160064799711,-0.1927182386862114,-0.0005766959543507255,-0.018348850033362396,5.5304579474031925,0.6853532306849957,-0.06140103191137314,0.27860343844804447,8.512011237442493
2621440,2.9466469902545214,-0.0649047652259469,-0.05486583197489381,-0.05060256604338065,-0.20774406590498984,-0.21899848117027432,-0.1950399954803288,-0.0010366083931216963,-0.0192259487521369,5.579818647354841,0.6817823122255504,-0.061507262085797265,0.2915256246633362,8.622544191777706
2752512,2.943640250712633,-0.06574796367203817,-0.05479616575757973,-0.058850096218520775,-0.21187067031860352,-0.221406344557181,-0.19446041795890778,-0.000969000654094998,-0.019160367446602322,5.601246859878302,0.6765349358320236,-0.061613492522155866,0.2998146757745417,8.629439853131771
2883584,2.980338864028454,-0.06565226044040173,-0.055021981010213494,-0.05687733038212173,-0.21169387723784894,-0.2253160496475175,-0.19411495747044683,-0.0006847249492238916,-0.019420895536313765,5.718349125236273,0.6799399489536881,-0.061719722172711045,0.3127368618734181,8.797626860439777
