collected_frames,rew/shaping,rew/step_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/action_bonus,rew/flipper_action_bonus,rew/terminal_bonus,rew/total_reward
1966080,1.709990524686873,-0.060976112817480645,-0.24362084362655878,-0.26497882697731256,-0.12970289849909022,-0.24165110557805747,-0.12468869783333503,4.187141537666321,0.7283417549915612,0.01982920034788549,5.578465271741152
2097152,1.3978541688993573,-0.06108234297918354,-0.3024651447776705,-0.26143912214320153,-0.1333981707575731,-0.23495085653848946,-0.0725001466635149,3.5903282687067986,0.7334775985218585,0.06657646301027853,4.72076977416873
2228224,1.3272163113579154,-0.06118857314088633,-0.2615494227502495,-0.25812319212127477,-0.13891348766628653,-0.23259040317498147,-0.061287683522095904,3.6590761709958315,0.7287232312373817,0.033048667159164324,4.732613164931536
2359296,1.3244176348671317,-0.06129480330258913,-0.20002189720980823,-0.2571874310960993,-0.14618056069593877,-0.23166628601029515,-0.05403133812069427,3.9481222331523895,0.7227183096110821,0.03365429562109057,5.076364725828171
2490368,1.501616363413632,-0.06140103346429204,-0.13521350926021114,-0.24726786010432988,-0.1403942431206815,-0.23360932373907417,-0.07114160264609382,4.616905182600021,0.7219335488043725,0.05623649888730142,6.005549885332584
2621440,1.532249410636723,-0.061507263625995276,-0.11147826147498563,-0.2568607464199886,-0.15528656577225775,-0.2504440944176167,-0.08004679922305513,4.598848279565573,0.733469155151397,0.05236316338414326,5.9995403699576855
2752512,1.4645691271871328,-0.06161349378769819,-0.0877268451731652,-0.24377739639021456,-0.16325286426581442,-0.25146981165744364,-0.0650702529528644,4.64369598031044,0.7252634894102812,0.11287780602287967,6.071767006069422
2883584,1.727602624334395,-0.061719723949400965,-0.04219279537937837,-0.2545943488366902,-0.1491618903237395,-0.24868824798613787,-0.09817521650984418,4.868182331323624,0.7161270258948207,0.03131163642683532,6.4875794388353825
3014656,1.512097928673029,-0.061825954111103865,-0.05596476548817009,-0.250120272510685,-0.16702014137990773,-0.25426487799268216,-0.0638977673224872,4.7707977667450905,0.7237190618179739,0.11820749663456809,6.270839750766754
3145728,1.4314840510487556,-0.06193218427280667,-0.05435440843575634,-0.24296797811985016,-0.1803846765542403,-0.2576758663635701,-0.055698332289466634,4.656325612217188,0.7332424749620259,0.08672508216113783,6.052948161959648
3276800,1.408665094524622,-0.06203841443450991,-0.0523311858123634,-0.24352592544164509,-0.18869746814016253,-0.25566515792161226,-0.05206843874475453,4.798663474619389,0.7348908679559827,0.09767620943603106,6.184125609695911
3407872,1.5037716906517744,-0.062144644596212814,-0.05094425912830047,-0.2299434047890827,-0.18816977133974433,-0.24795412132516503,-0.05665236651839223,5.01343310624361,0.7266817749477923,0.08376018893613946,6.489942725747824
3538944,1.4934724271297455,-0.06225087475791559,-0.06132810015697032,-0.2490319162607193,-0.20758640754502267,-0.2574750480707735,-0.05776079655333888,4.899527460336685,0.7349322503432631,0.08566246469854377,6.3164494670927525
3670016,1.4819456040859222,-0.062357104919618496,-0.054052540130214766,-0.24929278146009892,-0.2131661046296358,-0.25821626523975283,-0.05993799713905901,5.007532954216003,0.7365239430218935,0.1047429314639885,6.431852716952562
