collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr,train/action_bonus_coef
11796480,-0.003147686831653118,-3.055190086364746,-3.052042399533093,0.07981943339109421,-3.522416114807129,2.0179102420806885,-0.0728568583726883,-0.1763373613357544,3.526747226715088,0.030513156205415726,0.343017578125,0.07981943339109421,10.071137428283691,3.647770404815674,0.00046207721313277074,0.002209244496713287,2.9725418467260396
11862016,1.382920891046524e-05,-2.470592975616455,-2.4706068048253655,0.01702253334224224,-3.5251383781433105,2.0879106521606445,-0.07121838629245758,-0.17720213532447815,3.5440428256988525,0.027030780911445618,0.33740234375,0.01702253334224224,9.653148651123047,6.535499095916748,0.0004619641436678932,0.0022087038985493276,2.9723900055499883
11927552,0.09320339560508728,-2.1744303703308105,-2.267633765935898,2.5058937072753906,-3.54738712310791,2.9809343814849854,-0.078377865254879,-0.17675632238388062,3.5351264476776123,0.03053586557507515,0.348876953125,2.5058937072753906,10.269336700439453,4.971362113952637,0.0004618510742030157,0.0022081633003853685,2.9722381721301754
11993088,0.013296235352754593,-3.130868673324585,-3.1441649086773396,0.5173344612121582,-3.5160441398620605,2.0342893600463867,-0.08098281174898148,-0.1746855080127716,3.4937100410461426,0.02528989501297474,0.345703125,0.5173344612121582,9.803522109985352,6.6323347091674805,0.00046173800473813816,0.0022076227022214093,2.9720863464662046
12058624,-0.00499871838837862,-1.8909025192260742,-1.8859038008376956,-0.059461288154125214,-3.5073893070220947,2.0025503635406494,-0.0777277797460556,-0.17450350522994995,3.490070343017578,0.02771122381091118,0.340576171875,-0.059461288154125214,10.170487403869629,5.283454418182373,0.00046162493527326064,0.00220708210405745,2.9719345285576795
12124160,-0.010600227862596512,-1.1348588466644287,-1.1242586188018322,-0.6799081563949585,-3.516446352005005,2.061572551727295,-0.07808937132358551,-0.1750144362449646,3.500288963317871,0.023556092754006386,0.373291015625,-0.6799081563949585,10.099024772644043,5.084063529968262,0.0004615118658083831,0.002206541505893491,2.971782718404204
12189696,0.00035256973933428526,-0.39834457635879517,-0.39869714609812945,-0.4615621566772461,-3.5233423709869385,2.0196452140808105,-0.08162106573581696,-0.1765841245651245,3.531682252883911,0.037548426538705826,0.3779296875,-0.4615621566772461,9.947859764099121,4.219967365264893,0.00046139879634350564,0.002206000907729532,2.971630916005382
12255232,0.11131402850151062,0.7261925935745239,0.6148785650730133,1.4625060558319092,-3.5297913551330566,3.0810694694519043,-0.07561295479536057,-0.17608051002025604,3.5216097831726074,0.025377722457051277,0.35302734375,1.4625060558319092,10.692245483398438,4.960851669311523,0.0004612857268786281,0.0022054603095655726,2.971479121360818
12320768,0.015256057493388653,-1.934957504272461,-1.9502135617658496,0.5160690546035767,-3.4995474815368652,2.1048128604888916,-0.08262705057859421,-0.17284590005874634,3.4569180011749268,0.032953064888715744,0.375244140625,0.5160690546035767,10.235041618347168,4.199069976806641,0.0004611726574137506,0.0022049197114016135,2.9713273344701148
12386304,0.007796720135957003,-1.3451472520828247,-1.3529439722187817,0.6829828023910522,-3.473846912384033,1.9721146821975708,-0.0815754160284996,-0.17426665127277374,3.48533296585083,0.020017225295305252,0.358154296875,0.6829828023910522,9.446941375732422,3.476893424987793,0.00046105958794887306,0.0022043791132376543,2.971175555332877
12451840,0.005510506220161915,0.5580507516860962,0.5525402454659343,0.2499713897705078,-3.4715592861175537,2.0852417945861816,-0.07702115923166275,-0.1736321896314621,3.4726436138153076,0.026410363614559174,0.36083984375,0.2499713897705078,10.33810043334961,5.967269420623779,0.00046094651848399554,0.002203838515073695,2.9710237839487084
12517376,-0.003221135353669524,1.573347568511963,1.5765687038656324,-0.8228694200515747,-3.4804983139038086,2.1004974842071533,-0.08143715560436249,-0.17446443438529968,3.489288330078125,0.026166491210460663,0.355712890625,-0.8228694200515747,9.463394165039062,3.969538927078247,0.000460833449019118,0.002203297916909736,2.970872020317213
12582912,0.08178114891052246,3.044265031814575,2.9624838829040527,0.031209319829940796,-3.496882438659668,3.3137311935424805,-0.07885047793388367,-0.1735130399465561,3.4702606201171875,0.026892997324466705,0.3515625,0.031209319829940796,10.832387924194336,6.510385513305664,0.0004607203795542405,0.002202757318745777,2.970720264437995
12648448,0.0038663623854517937,-1.4958205223083496,-1.4996868846938014,-0.5570164918899536,-3.46307373046875,2.152729034423828,-0.0800919383764267,-0.1743471771478653,3.486943244934082,0.016609879210591316,0.3515625,-0.5570164918899536,9.257280349731445,4.28581428527832,0.00046060731008936296,0.0022022167205818176,2.970568516310658
12713984,-0.004900574684143066,-2.027458667755127,-2.022558093070984,0.12716259062290192,-3.4508912563323975,2.27968692779541,-0.0789894163608551,-0.17310011386871338,3.4620022773742676,0.019772518426179886,0.341552734375,0.12716259062290192,9.80610179901123,4.205296516418457,0.00046049424062448544,0.0022016761224178585,2.9704167759348064
12779520,-0.0006770846666768193,-0.9052165150642395,-0.9045394303975627,-0.7506710886955261,-3.4454123973846436,2.2129030227661133,-0.08175940066576004,-0.17286543548107147,3.457308769226074,0.02927899733185768,0.3642578125,-0.7506710886955261,10.196378707885742,4.842872619628906,0.00046038117115960797,0.0022011355242538993,2.9702650433100435
12845056,0.0007058971095830202,-1.6547212600708008,-1.6554271571803838,-0.8400841355323792,-3.4498682022094727,2.0926132202148438,-0.08199509978294373,-0.17016319930553436,3.403263807296753,0.027950741350650787,0.355224609375,-0.8400841355323792,9.729120254516602,6.388213157653809,0.00046026810169473044,0.00220059492608994,2.9701133184359745
12910592,0.07185783237218857,1.6403158903121948,1.5684580579400063,0.23201121389865875,-3.464613437652588,3.1042399406433105,-0.07988563179969788,-0.17222368717193604,3.4444732666015625,0.03186154365539551,0.378173828125,0.23201121389865875,10.736236572265625,3.189432382583618,0.0004601550322298529,0.002200054327925981,2.9699616013122023
12976128,0.004363606683909893,-2.9692306518554688,-2.9735942585393786,-0.3422953486442566,-3.4195749759674072,2.008922815322876,-0.08282238245010376,-0.17198452353477478,3.439690113067627,0.025511357933282852,0.38720703125,-0.3422953486442566,9.8621826171875,3.5136146545410156,0.00046004196276497544,0.002199513729762022,2.9698098919383322
13041664,-0.007369024679064751,-3.5493855476379395,-3.5420165229588747,-0.5232052206993103,-3.4196043014526367,2.004075527191162,-0.0817660465836525,-0.1716296672821045,3.432593584060669,0.03272479027509689,0.3896484375,-0.5232052206993103,9.904765129089355,5.91528844833374,0.000459928893300098,0.0021989731315980626,2.969658190313967
