collected_frames,torque/flipper_torque_FL,torque/flipper_torque_FL_max,torque/flipper_torque_FL_min,torque/flipper_torque_FR,torque/flipper_torque_FR_max,torque/flipper_torque_FR_min,torque/flipper_torque_RL,torque/flipper_torque_RL_max,torque/flipper_torque_RL_min,torque/flipper_torque_RR,torque/flipper_torque_RR_max,torque/flipper_torque_RR_min,torque/flipper_contact_FL,torque/flipper_contact_FL_max,torque/flipper_contact_FR,torque/flipper_contact_FR_max,torque/flipper_contact_RL,torque/flipper_contact_RL_max,torque/flipper_contact_RR,torque/flipper_contact_RR_max
1179648,756.4549269676208,1000.0,4.127802692353725,763.3170680999756,1000.0,3.507080566138029,767.7909827232361,1000.0,3.7498317919671535,773.0887780189514,1000.0,4.09451069124043,0.75645493529737,1.0,0.7633170830085874,1.0,0.7677909936755896,1.0,0.773088788613677,1.0
1245184,752.4923415184021,1000.0,3.776910625398159,760.924795627594,1000.0,3.926884975284338,770.8567547798157,1000.0,4.152202690020204,767.3399786949158,1000.0,3.747697561979294,0.7524923561140895,1.0,0.7609248077496886,1.0,0.7708567655645311,1.0,0.7673399848863482,1.0
1310720,759.9600100517273,1000.0,3.7915161438286304,764.083954334259,1000.0,3.703749306499958,773.2060894966125,1000.0,4.352326825261116,774.7030973434448,1000.0,5.061363942921162,0.7599600208923221,1.0,0.7640839628875256,1.0,0.7732061026617885,1.0,0.7747031119652092,1.0
1376256,761.8987011909485,1000.0,4.190744284540415,762.876636505127,1000.0,3.8036136999726295,772.7084727287292,1000.0,3.9705259799957275,776.2804951667786,1000.0,4.763143911957741,0.7618987117893994,1.0,0.7628766428679228,1.0,0.7727084862999618,1.0,0.776280505117029,1.0
1441792,767.0807228088379,1000.0,3.6939967572689056,770.3050789833069,1000.0,4.868475196883082,770.921217918396,1000.0,3.8766003288328648,782.2134141921997,1000.0,4.128511689603329,0.7670807279646397,1.0,0.7703050868585706,1.0,0.7709212298505008,1.0,0.7822134247981012,1.0
1507328,767.8379192352295,1000.0,4.0280676782131195,771.6046214103699,1000.0,3.9300130400806665,769.9806299209595,1000.0,4.39380469918251,781.1341466903687,1000.0,4.46007014811039,0.7678379314020276,1.0,0.771604634821415,1.0,0.7699806415475905,1.0,0.7811341523192823,1.0
1572864,766.5273470878601,1000.0,4.121609084308147,772.8702397346497,1000.0,4.665228823199868,767.3898591995239,1000.0,4.318325151689351,778.3825178146362,1000.0,4.4150418527424335,0.7665273584425449,1.0,0.7728702570311725,1.0,0.7673898711800575,1.0,0.7783825350925326,1.0
1638400,766.7215757369995,1000.0,3.927577931433916,768.0810880661011,1000.0,4.146697734482586,765.3498239517212,1000.0,3.4087687046267092,779.6218032836914,1000.0,4.826572887599468,0.7667215852998197,1.0,0.7680810899473727,1.0,0.7653498388826847,1.0,0.779621812980622,1.0
1703936,767.9164009094238,1000.0,4.095277801156044,769.0508532524109,1000.0,4.015996903646737,766.2753038406372,1000.0,4.576847810298204,776.7710199356079,1000.0,4.553663037717342,0.767916408367455,1.0,0.7690508621744812,1.0,0.7662753197364509,1.0,0.776771024800837,1.0
1769472,770.8028283119202,1000.0,4.490320613607764,777.3136487007141,1000.0,3.9969715885818005,772.6239352226257,1000.0,4.452352203428745,776.1483664512634,1000.0,4.147718315012753,0.7708028424531221,1.0,0.7773136589676142,1.0,0.7726239436306059,1.0,0.7761483807116747,1.0
1835008,770.7228798866272,1000.0,3.841346373781562,773.2891807556152,1000.0,4.146271403878927,769.7622270584106,1000.0,4.461395554244518,779.3530306816101,1000.0,5.064059894531965,0.7707228921353817,1.0,0.7732891915366054,1.0,0.769762234762311,1.0,0.7793530351482332,1.0
1900544,771.6045289039612,1000.0,4.378059407696128,770.9902501106262,1000.0,3.611373595893383,769.7031531333923,1000.0,4.055421985685825,779.9325609207153,1000.0,3.6095352470874786,0.7716045356355608,1.0,0.7709902562201023,1.0,0.7697031628340483,1.0,0.7799325725063682,1.0
1966080,767.033998966217,1000.0,4.465832545422018,767.1915111541748,1000.0,3.31497248634696,768.3383598327637,1000.0,3.9055271446704865,778.3313460350037,1000.0,4.788589246571064,0.7670340146869421,1.0,0.7671915180981159,1.0,0.7683383724652231,1.0,0.7783313579857349,1.0
2031616,767.3171763420105,1000.0,3.4975939467549324,766.2701406478882,1000.0,4.421893522143364,767.7243628501892,1000.0,4.001484967768192,777.2612867355347,1000.0,4.184243146330118,0.7673171879723668,1.0,0.7662701494991779,1.0,0.7677243701182306,1.0,0.7772612967528403,1.0
2097152,766.7267289161682,1000.0,3.3631456904113293,763.5711040496826,1000.0,3.8763237930834293,766.712899684906,1000.0,3.9607377871870995,770.6055812835693,1000.0,4.233633878175169,0.7667267401702702,1.0,0.7635711156763136,1.0,0.7667129109613597,1.0,0.7706055911257863,1.0
2162688,769.946985244751,1000.0,3.570716043934226,762.8060312271118,1000.0,4.2573548927903175,769.7167639732361,1000.0,4.173371013253927,771.0878534317017,1000.0,3.65138753131032,0.7699469910003245,1.0,0.7628060411661863,1.0,0.7697167820297182,1.0,0.7710878727957606,1.0
2228224,770.7402591705322,1000.0,4.502359271980822,755.468897819519,1000.0,3.4695796705782413,769.3569774627686,1000.0,3.976959191262722,771.9843530654907,1000.0,4.294430643320084,0.770740264095366,1.0,0.7554689003154635,1.0,0.769356987439096,1.0,0.7719843662343919,1.0
2293760,769.6015286445618,1000.0,3.9512305706739426,754.1286458969116,1000.0,3.9076816011220217,768.155665397644,1000.0,4.085787611082196,769.857882976532,1000.0,3.9093882609158754,0.7696015420369804,1.0,0.7541286502964795,1.0,0.7681556725874543,1.0,0.7698578918352723,1.0
2359296,764.8637228012085,1000.0,3.7479095878079534,754.6981377601624,1000.0,3.7076578848063946,766.3651490211487,1000.0,3.6450923271477222,768.0918350219727,1000.0,3.6988078504800797,0.7648637350648642,1.0,0.754698155913502,1.0,0.7663651616312563,1.0,0.7680918429978192,1.0
2424832,764.1312484741211,1000.0,4.176428334787488,759.9504890441895,1000.0,3.9804462660104036,764.1368579864502,1000.0,4.641497418284416,761.2019815444946,1000.0,4.014867700636387,0.7641312605701387,1.0,0.7599504976533353,1.0,0.7641368699260056,1.0,0.761201994959265,1.0
2490368,772.9556608200073,1000.0,4.2888787146657705,760.9479732513428,1000.0,3.840636357665062,763.5896916389465,1000.0,4.266776088625193,767.470025062561,1000.0,4.167539197951555,0.7729556686244905,1.0,0.7609479869715869,1.0,0.7635897086001933,1.0,0.7674700380302966,1.0
2555904,767.1187720298767,1000.0,3.9923239424824715,755.9707760810852,1000.0,4.197765156626701,762.4853849411011,1000.0,3.683623120188713,769.5591721534729,1000.0,4.276147917844355,0.7671187822706997,1.0,0.7559707877226174,1.0,0.762485399376601,1.0,0.7695591822266579,1.0
2621440,764.7232618331909,1000.0,4.027268901467323,752.6536107063293,1000.0,3.8048655055463314,759.0598034858704,1000.0,3.775842100381851,767.4855298995972,1000.0,3.703586958348751,0.7647232734598219,1.0,0.7526536248624325,1.0,0.759059811476618,1.0,0.7674855440855026,1.0
2686976,757.3253684043884,1000.0,3.959989320486784,757.3889064788818,1000.0,4.045269589871168,754.7388081550598,1000.0,3.350068837404251,763.2140779495239,1000.0,3.8856110498309135,0.7573253768496215,1.0,0.7573889126069844,1.0,0.7547388211824,1.0,0.7632140945643187,1.0
2752512,752.753360748291,1000.0,3.4709913600236177,764.5382699966431,1000.0,3.990758866071701,755.3080406188965,1000.0,4.000133937224746,766.2529845237732,1000.0,4.074322119355202,0.7527533676475286,1.0,0.7645382774062455,1.0,0.7553080506622791,1.0,0.7662529977969825,1.0
