collected_frames,rew/shaping,rew/step_penalty,rew/joint_angle_var_penalty,rew/flipper_contact,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/terminal_bonus,rew/success_reward_value,rew/fail_reward_value,rew/success_rate_step,rew/fail_rate_step,rew/total_reward
1507328,0.23835456289816648,-0.08000000000000006,-0.04516521096229553,0.0,-0.0012644291728065582,0.0,-0.056088386569172144,0.0,0.0,0.0,1.1608334677293897,0.006866455078125,60.0,-15.0,0.0001220703125,3.0517578125e-05,1.2234981562942266
1572864,0.1982043869793415,-0.08000000000000006,-0.046463265898637474,0.0,-0.0026311064430046827,0.0,-0.0674079603923019,0.0,0.0,0.0,1.1569800665602088,0.0029754638671875,60.0,-15.0,6.103515625e-05,4.57763671875e-05,1.1616057958453894
1638400,0.1837323782965541,-0.08000000000000006,-0.04834090170334093,0.0,-0.0023132542319217464,0.0,-0.0702264224528335,0.0,0.0,0.0,1.1834064619615674,0.0061798095703125,60.0,-15.0,0.0001220703125,7.62939453125e-05,1.1723503526300192
1703936,0.17311245284508914,-0.08000000000000006,-0.05010953434975818,0.0,-0.0025981035960285226,0.0,-0.0729051505913958,0.0,0.0,0.0,1.2031028848141432,0.0125885009765625,60.0,-15.0,0.000274658203125,0.0002593994140625,1.182882190681994
1769472,0.3111823432845995,-0.08000000000000006,-0.06318441132316366,0.0,-0.0010758999096651678,0.0,-0.05179077075445093,0.0,0.0,0.0,1.1594010633416474,0.003204345703125,60.0,-15.0,6.103515625e-05,3.0517578125e-05,1.2776990653946996
1835008,0.227593922521919,-0.08000000000000006,-0.0757014270639047,0.0,-0.0016185328590836434,0.0,-0.08902201848104596,0.0,0.0,0.0,1.2525334004312754,0.006866455078125,60.0,-15.0,0.0001220703125,3.0517578125e-05,1.2406131578609347
1900544,0.1812376178568229,-0.08000000000000006,-0.07811781042255461,0.0,-0.00219323752753553,0.0,-0.10359605535632,0.0,0.0,0.0,1.239774877205491,0.003662109375,60.0,-15.0,6.103515625e-05,0.0,1.160767501220107
1966080,0.1551272402284667,-0.08000000000000006,-0.07933858165051788,0.0,-0.0025610931843402795,0.0,-0.11853163887280971,0.0,0.0,0.0,1.2390716634690762,0.00823974609375,60.0,-15.0,0.000152587890625,6.103515625e-05,1.121939707081765
2031616,0.15775508852675557,-0.08000000000000006,-0.08089106250554323,0.0,-0.0027190515647816937,0.0,-0.12660112604498863,0.0,0.0,0.0,1.2362148007377982,0.0025177001953125,60.0,-15.0,9.1552734375e-05,0.0001983642578125,1.1060557034797966
2097152,0.37841152981854975,-0.08000000000000006,-0.054226660839049146,0.0,-0.0005584691834883415,0.0,-0.06810559552104678,0.0,0.0,0.0,1.1317451186478138,0.0,60.0,-15.0,0.0,0.0,1.3072659270837903
2162688,0.23002712533343583,-0.08000000000000006,-0.0756934136734344,0.0,-0.0010342335876885045,0.0,-0.13706504204310477,0.0,0.0,0.0,1.2581800278276205,-0.0002288818359375,60.0,-15.0,0.0,1.52587890625e-05,1.19416525028646
2228224,0.1766643093433231,-0.08000000000000006,-0.08443651633569971,0.0,-0.0022347477897710633,0.0,-0.14596747606992722,0.0,0.0,0.0,1.2125018630176783,-0.000457763671875,60.0,-15.0,0.0,3.0517578125e-05,1.0760371307842433
2293760,0.15853792650159448,-0.08000000000000006,-0.08808357681846246,0.0,-0.0026021664125437383,0.0,-0.1553566309157759,0.0,0.0,0.0,1.2124784961342812,0.0018310546875,60.0,-15.0,4.57763671875e-05,6.103515625e-05,1.0467434953898191
2359296,0.14216182858217508,-0.08000000000000006,-0.091186918085441,0.0,-0.003909442733856849,0.0,-0.15998308872804046,0.0,0.0,0.0,1.1852808417752385,0.0011444091796875,60.0,-15.0,6.103515625e-05,0.0001678466796875,0.9933404442854226
2424832,0.36860943771898746,-0.08000000000000006,-0.06722313385398593,0.0,-0.0005892180374758027,0.0,-0.04269743859185837,0.0,0.0,0.0,1.0882028597407043,0.00091552734375,60.0,-15.0,1.52587890625e-05,0.0,1.2672180412337184
2490368,0.23342194815631956,-0.08000000000000006,-0.0985443225945346,0.0,-0.0019485733355395496,0.0,-0.08302118111168966,0.0,0.0,0.0,1.16400979552418,0.0,60.0,-15.0,0.0,0.0,1.1339176702313125
2555904,0.18338693480473012,-0.08000000000000006,-0.1079268470639363,0.0,-0.002962699010822689,0.0,-0.09114600264001638,0.0,0.0,0.0,1.1508469399996102,0.000457763671875,60.0,-15.0,1.52587890625e-05,3.0517578125e-05,1.0526225618086755
2621440,0.1629933111835271,-0.08000000000000006,-0.11352847656235099,0.0,-0.0023509660868512583,0.0,-0.09519056789577007,0.0,0.0,0.0,1.139627579599619,0.0029754638671875,60.0,-15.0,6.103515625e-05,4.57763671875e-05,1.014480218756944
