collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr
1245184,0.01725461333990097,-44.26301574707031,-44.28027036041021,0.8521219491958618,-2.6725034713745117,3.6060991287231445,-0.000517082866281271,-0.09370820224285126,2.6744351387023926,0.0002603736356832087,0.0,0.8521219491958618,7.271604537963867,2.755617380142212,7.958658117420709e-05,0.0004752588200882404
1261568,-0.2481314092874527,-42.94903564453125,-42.7009042352438,-1.9493547677993774,-2.676795482635498,4.583584785461426,-0.0004293462261557579,-0.09371645748615265,2.674671173095703,6.054382538422942e-05,0.0,-1.9493547677993774,7.810523509979248,4.263560771942139,7.935712307326441e-05,0.0004738885892691153
1277952,-0.09863438457250595,-44.26860809326172,-44.16997370868921,-0.01965869963169098,-2.667440414428711,3.9199106693267822,-0.001027701422572136,-0.0932852029800415,2.662363052368164,0.0006406566244550049,0.0,-0.01965869963169098,7.166204452514648,3.543687582015991,7.912766497232173e-05,0.0004725183584499901
1294336,-0.026682350784540176,-43.04448699951172,-43.01780464872718,0.3480333685874939,-2.6657145023345947,3.986013412475586,-0.0009442763403058052,-0.09375889599323273,2.67588210105896,-9.055074770003557e-05,0.0,0.3480333685874939,7.061275005340576,3.8543479442596436,7.889820687137907e-05,0.000471148127630865
1310720,-0.05154737830162048,-44.425025939941406,-44.373478561639786,0.4612479507923126,-2.667490005493164,3.950197696685791,-0.0010920329950749874,-0.09326685220003128,2.661839008331299,-0.00020332145504653454,0.0,0.4612479507923126,7.314781188964844,4.428050518035889,7.86687487704364e-05,0.0004697778968117399
1327104,0.03812257945537567,-42.809906005859375,-42.84802858531475,1.3058133125305176,-2.669013500213623,4.294493675231934,-0.0006554387509822845,-0.0940108373761177,2.683072328567505,5.201040767133236e-05,0.0,1.3058133125305176,8.160791397094727,2.1480820178985596,7.843929066949372e-05,0.00046840766599261474
1343488,-0.2594737410545349,-40.496517181396484,-40.23704344034195,-2.327218532562256,-2.675288200378418,4.900188446044922,-0.0004658275283873081,-0.0938028022646904,2.6771349906921387,0.0004926410620100796,0.0,-2.327218532562256,8.287861824035645,5.69533109664917,7.820983256855104e-05,0.0004670374351734896
1359872,-0.126990407705307,-44.85832977294922,-44.73133936524391,-0.1879749745130539,-2.664318084716797,3.8835010528564453,-0.002029768656939268,-0.09354093670845032,2.669661521911621,0.0005502593121491373,0.0,-0.1879749745130539,7.478618144989014,4.13579797744751,7.798037446760838e-05,0.00046566720435436444
1376256,-0.017850719392299652,-43.403053283691406,-43.38520256429911,0.6783549785614014,-2.669193744659424,3.8849985599517822,-0.0007084284443408251,-0.09359901398420334,2.671319007873535,0.0005549297784455121,0.0,0.6783549785614014,7.5462751388549805,7.067463397979736,7.77509163666657e-05,0.0004642969735352393
1392640,-0.010678529739379883,-42.18518829345703,-42.17450976371765,0.36638355255126953,-2.6631531715393066,4.056224822998047,-0.0011572446674108505,-0.09390264749526978,2.6799848079681396,0.0004041209467686713,0.0,0.36638355255126953,7.640173435211182,2.6032655239105225,7.752145826572304e-05,0.0004629267427161142
