attempt,collected_frames,pan/theta_star_front,pan/theta_star_rear,pan/argmax_bin_front,pan/argmax_bin_rear,pan/pivot_half_base_m,pan/min_hinge_reach_m,pan/flipper_delta_front,pan/flipper_delta_rear
0,10485760,-0.3336448899935931,0.5102373312693089,1.4961992055177689,11.730825267732143,0.255998918088153,0.15000000689178705,-1.163326374720782,0.19027716084383428
0,10616832,-0.40123182131705104,0.48454285185066204,1.2522624487678211,11.8815522813797,0.25599891650180023,0.1500000072022279,-1.3453453052649276,0.5229383519431576
0,10747904,-0.38598721311427653,0.472542077768594,1.2816583141684532,11.88964719325304,0.255998918088153,0.15000000782310963,-1.3006520811468363,0.5358566471841186
0,10878976,-0.31324388831853867,0.428082334343344,1.4775812132284045,11.960706561803818,0.2559989155270159,0.15000000619329512,-0.9305484211072326,0.31186559551861137
0,11010048,-0.2912384383380413,0.4599515104200691,1.6097073061391711,11.799011766910553,0.2559989155270159,0.1500000066589564,-1.0007790829986334,0.00962863126915181
0,11141120,-0.3332412007730454,0.5445636955555528,1.55596583802253,11.579729042947292,0.25599891669116914,0.15000000793952495,-1.2571798078715801,0.094246711696087
0,11272192,-0.33491478697396815,0.5313213346526027,1.5813729697838426,11.643425188958645,0.2559989164583385,0.15000000759027898,-1.2662771921604872,0.06014609592330089
0,11403264,-0.22894050471950322,0.4486445637885481,1.6840019160881639,11.79055768251419,0.2559989190194756,0.15000000735744834,-0.8551459796726704,0.17813318081607576
0,11534336,-0.3041637591086328,0.5076097741257399,1.6059380862861872,11.63232235610485,0.255998918088153,0.15000000689178705,-1.039760963525623,0.1977980008814484
0,11665408,-0.17052816748580274,0.5421605890112309,1.4136126591761906,11.14427684545517,0.25599890954792504,0.15000000596046448,-1.4661053192801772,-0.4117943839119592
0,11796480,-0.17626622109673917,0.543704109499231,1.3976058959960938,11.13031005859375,0.2559989094734192,0.15000000596046448,-1.4749247799627483,-0.4164469099487178
0,11927552,-0.1776919588446617,0.5337927045766264,1.5998635897412896,11.353835739195347,0.2559989106375724,0.15000000596046448,-1.3458664594218135,-0.31671352847479284
0,12058624,-0.16696602245792747,0.43110126117244363,1.7173216454684734,11.699144497513771,0.2559989143628627,0.15000000619329512,-1.0640266225673258,-0.20744555722922087
0,12189696,-0.2420107276411727,0.4912023462820798,1.5924656633287668,11.588660642504692,0.2559989176224917,0.15000000735744834,-1.1491136220283806,0.02609861152996018
0,12320768,-0.35292160976678133,0.5724582122638822,1.5154744125902653,11.486009947955608,0.2559989159926772,0.15000000735744834,-1.4431623360142112,-0.07597661016370694
0,12451840,-0.32448128424584866,0.559751910623163,1.5559364035725594,11.495747700333595,0.25599891575984657,0.1500000065425411,-1.4442325001582503,-0.0882938945578644
0,12582912,-0.28025687602348626,0.4846094702370465,1.6417605029419065,11.745210342109203,0.2559989197179675,0.15000000735744834,-1.0952873043715954,0.1943740585775231
0,12713984,-0.09680583143936625,0.31840401793597267,1.7270937208334605,11.819728293418883,0.2559989146143198,0.15000000682969888,-0.39829733555981267,0.37382360783172774
0,12845056,-0.09581288517802022,0.3191762714413926,1.7300507323816419,11.82032311707735,0.25599891622550786,0.15000000700820237,-0.4257799950428307,0.3285080830100924
0,12976128,-0.215325259254314,0.4736467485781759,1.622412079013884,11.557828210294247,0.25599891296587884,0.15000000619329512,-0.9571379940025508,0.11251111995079555
0,13107200,-0.16744644922437146,0.40695988526567817,1.6105958754196763,11.826706781983376,0.2559989106375724,0.15000000596046448,-0.952754917088896,-0.06525656937810709
0,13238272,-0.09811686363536865,0.34887692728079855,1.7484423499554396,11.877148367464542,0.25599891459569335,0.1500000060768798,-0.5805286108516157,0.03392521492378364
0,13369344,-0.23762245808029547,0.4647881290875375,1.6820708783343434,11.658654503524303,0.2559989173896611,0.15000000700820237,-0.8545074732974172,0.1806208993657492
