attempt,collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean
0,2490368,-0.006550051271915436,0.9623958333333333,2000000,0.0009920833333333337,0.007086153607815504,0.002853425219655037,-0.2587560713291168,-0.2542412281036377
0,2621440,-0.008001758717000484,0.9604166666666667,2000000,0.000991666666666667,0.006920411251485348,0.0035722975153476,-0.2551763653755188,-0.25251030921936035
0,2752512,-0.006655623205006123,0.9584375,2000000,0.0009912500000000004,0.00673869950696826,0.001915145548991859,-0.24962754547595978,-0.24889062345027924
0,2883584,-0.007785306312143803,0.9564583333333333,2000000,0.0009908333333333338,0.008451786823570728,0.001769295078702271,-0.25228798389434814,-0.2511722445487976
0,3014656,-0.006728481967002153,0.9544791666666667,2000000,0.0009904166666666672,0.005770155228674412,0.0030179109890013933,-0.25322046875953674,-0.2506255507469177
0,3145728,-0.006929315626621246,0.9525,2000000,0.0009900000000000006,0.0082155242562294,0.0025622553657740355,-0.2514313757419586,-0.24701738357543945
0,3276800,-0.007193794474005699,0.9505208333333334,2000000,0.000989583333333334,0.007471881806850433,0.0017344082007184625,-0.2571217715740204,-0.25572890043258667
0,3407872,-0.005354875233024359,0.9485416666666666,2000000,0.0009891666666666673,0.007015448063611984,0.0018681560177356005,-0.2554810345172882,-0.25498685240745544
0,3538944,-0.0060005756095051765,0.9465625,2000000,0.0009887500000000007,0.007972284220159054,0.0014111791970208287,-0.2575272023677826,-0.25516313314437866
0,3670016,-0.006902951747179031,0.9445833333333333,2000000,0.000988333333333334,0.008597812615334988,0.0015190142439678311,-0.2597600519657135,-0.2592858076095581
0,3801088,-0.007069488056004047,0.9426041666666667,2000000,0.000987916666666667,0.006772834807634354,0.0038047409616410732,-0.26315581798553467,-0.2646709084510803
0,3932160,-0.007219789549708366,0.940625,2000000,0.0009875000000000005,0.006023613270372152,0.0027147980872541666,-0.26035451889038086,-0.2557030916213989
0,4063232,-0.00701035326346755,0.9386458333333333,2000000,0.0009870833333333337,0.005358411464840174,0.0020525662694126368,-0.25697681307792664,-0.2561336159706116
0,4194304,-0.006896031554788351,0.9366666666666666,2000000,0.0009866666666666672,0.004721331875771284,0.0011526476591825485,-0.2550344169139862,-0.25474750995635986
0,4325376,-0.0065191565081477165,0.9346875,2000000,0.0009862500000000006,0.006885395385324955,0.0012069358490407467,-0.2550258934497833,-0.25404709577560425
0,4456448,-0.006300581619143486,0.9327083333333334,2000000,0.0009858333333333338,0.006691226735711098,0.0009211048018187284,-0.2549368441104889,-0.25262534618377686
0,4587520,-0.006708639208227396,0.9307291666666666,2000000,0.000985416666666667,0.00863407738506794,0.0015258585335686803,-0.2570246756076813,-0.2563423812389374
0,4718592,-0.00713078398257494,0.92875,2000000,0.0009850000000000002,0.010293425992131233,0.0016408726805821061,-0.2571057379245758,-0.25437507033348083
0,4849664,-0.00705350935459137,0.9267708333333333,2000000,0.0009845833333333334,0.006444176658987999,0.002167095197364688,-0.2580382823944092,-0.2604391574859619
0,4980736,-0.0072756484150886536,0.9247916666666667,2000000,0.0009841666666666666,0.009528537280857563,0.001241193851456046,-0.2567962408065796,-0.2562258243560791
