collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/terminal_bonus,rew/total_reward
8781824,-0.0007863600571909046,-6.113403041041465e-05,-0.0004119873046875,-0.0012594747859111521
8912896,-0.0006988816562625288,-0.00013723815862931588,-0.004425048828125,-0.005261129682821775
9043968,-0.0006457258386944886,-0.00018529294504787686,-0.002838134765625,-0.0036690516049020516
9175040,-0.000611109616329486,-0.00013073274266162116,-0.0032501220703125,-0.003991885451341659
9306112,-0.0006043998027962516,-9.506530068392749e-05,-0.0028839111328125,-0.0035833126748912036
9437184,-0.0005612722693513206,-8.827311458503573e-05,-0.00091552734375,-0.0015650581208319636
9568256,-0.0005444024968710437,-6.424589670928071e-05,-0.00335693359375,-0.003965581964166631
9699328,-0.000760192768439083,-2.4247954151235263e-05,-0.00030517578125,-0.0010895477291796851
9830400,-0.0007062132508508512,-4.041850833402805e-05,-0.0015869140625,-0.002333433852527378
9961472,-0.0006002634183914779,-7.42138428790895e-05,-0.005218505859375,-0.005892941892852832
10092544,-0.0005761359780080966,-9.103791950337836e-05,-0.00164794921875,-0.002315066646133346
10223616,-0.0006072846090319217,-0.00010906590409831551,-0.003265380859375,-0.003981709694471647
10354688,-0.000636715338259819,-0.00013136598954588408,-0.0031585693359375,-0.0039265649420485715
10485760,-0.0005716024638786621,-9.26980895314955e-05,-0.0007171630859375,-0.0013814474104947294
10616832,-0.0005715698241601785,-7.49669988806545e-05,-0.0032958984375,-0.003942386299058853
10747904,-0.0009216155458489084,-1.5825681281000925e-05,-0.000701904296875,-0.0016392799061577534
10878976,-0.000771484035794856,-2.6398771133528953e-05,-0.0006561279296875,-0.0014539987250827835
11010048,-0.000669888558149978,-4.593908201400154e-05,-0.00372314453125,-0.0044389385448084795
11141120,-0.0006363340617099311,-5.077124671970523e-05,-0.0027008056640625,-0.0033878644835567684
11272192,-0.000611931823186751,-4.986925405603415e-05,-0.00335693359375,-0.004018699160951655
11403264,-0.0005706272868337692,-8.66267642436469e-05,-0.002105712890625,-0.0027629204942059005
11534336,-0.0006136349916232575,-0.00015900506969046546,-0.0011138916015625,-0.0018863957825487887
11665408,-0.0006843620562904107,-0.00020986455263027892,-0.003875732421875,-0.004769801983911748
11796480,-0.00033494059289296274,-0.00018937043199684922,-0.0010833740234375,-0.0016076734439138818
11927552,-0.0005193273343593319,-0.00018363648177910363,-7.62939453125e-05,-0.0007792361943756987
12058624,-0.0006395572625024215,-0.00011403491183159531,-0.004791259765625,-0.00554483299038111
12189696,-0.0007779064389978885,-0.0002292018319849376,-0.00250244140625,-0.003509464731450862
12320768,-0.0007712077617725299,-0.00018409829198162697,-0.004974365234375,-0.005929610146722553
12451840,-0.0007809546018506808,-0.000134508087796803,-0.0022430419921875,-0.003158484796585981
12582912,-0.0007742536140540324,-0.00018034672996236623,-0.0021820068359375,-0.0031365276017822907
12713984,-0.0007032772250568087,-0.0001804535303904231,-0.0050048828125,-0.005888552767828514
12845056,-0.0010118658374267397,-0.00026657731234536186,-0.0010986328125,-0.0023770759330545843
12976128,-0.0008846457858453505,-0.00019552873516204272,-0.00030517578125,-0.001385333039706893
13107200,-0.0007306556149160315,-0.0001381569540512828,-0.003936767578125,-0.004805560611202964
13238272,-0.0007644234283361584,-0.0002101374775520526,-0.0027313232421875,-0.0037058159314256045
13369344,-0.0007938955991448893,-0.0001551920774431892,-0.004302978515625,-0.005252007412764215
13500416,-0.0007057227858240367,-0.00010884574430747307,-0.002685546875,-0.0035000843963644
13631488,-0.000594733557136351,-6.239887152048595e-05,-0.00128173828125,-0.001938850154147076
13762560,-0.000593419894357794,-5.321183658679729e-05,-0.00341796875,-0.004064578415636788
13893632,-0.0002839404294263659,-0.00024226592643117328,-0.0009613037109375,-0.0014874122555283975
14024704,-0.000491423844550809,-0.00018887650207943807,-0.0008392333984375,-0.001519387091320823
14155776,-0.0004862835908170382,-6.533852119616768e-05,-0.0040130615234375,-0.004564661753192922
14286848,-0.0005708876278731623,-3.556454777253748e-05,-0.002197265625,-0.0028037035522174847
14417920,-0.0006872538078823709,-4.35639502001095e-05,-0.003265380859375,-0.003996169808033301
14548992,-0.0007295834839169402,-4.717730256231789e-05,-0.00347900390625,-0.004255752572589699
14680064,-0.0007318101243072306,-7.195130851300746e-05,-0.001556396484375,-0.00236014540269025
14811136,-0.0006196891290528583,-5.351822221655311e-05,-0.0037078857421875,-0.004381087803722039
14942208,-0.0009760343496054702,-0.00020510292875997038,-0.0022735595703125,-0.003454215013789508
15073280,-0.000680572014516656,-0.00014282242312901872,-0.0005950927734375,-0.0014183798525664315
15204352,-0.000565889073186554,-7.162105231373062e-05,-0.003204345703125,-0.0038418411004386144
15335424,-0.0006138511375866074,-5.729188184488976e-05,-0.0019378662109375,-0.002608968086860841
15466496,-0.0006875808817312645,-6.204770730278142e-05,-0.0035400390625,-0.004289586486265762
15597568,-0.0006182389579407754,-8.004506281622525e-05,-0.00311279296875,-0.0038110547002361272
15728640,-0.0006002885352245357,-4.942725823298133e-05,-0.0015869140625,-0.002236604572772194
15859712,-0.0006399823496394674,-4.7951374995136575e-05,-0.00384521484375,-0.004533103258381743
15990784,-0.0008256532009909279,-9.466757751397381e-05,-0.0009918212890625,-0.0019117170786557836
16121856,-0.0006910903225616494,-9.15547382760451e-05,-0.0014801025390625,-0.002262692047679593
