collected_frames,pan/theta_star_front,pan/theta_star_rear,pan/argmax_bin_front,pan/argmax_bin_rear,pan/pivot_half_base_m,pan/min_hinge_reach_m,pan/flipper_delta_front
24903680,-0.12874212018869002,0.023203126278531272,1.141488942783326,13.038809396326542,0.2560008205473423,0.0010000000474974513,-0.7145950231424649
25034752,-0.49377260147593915,0.3343308886978775,0.7467011651024222,12.806638933718204,0.25600082194432616,0.0010000000474974513,-1.74895528703928
25165824,-0.34724609821569175,0.10504169808154984,0.7590337181463838,13.205638200044632,0.2560008196160197,0.0010000000474974513,-1.4720433726906776
25296896,-0.28912469557641696,-0.2714276437756295,0.3243201629941662,13.858539012273152,0.2560008220622937,0.0010000000478855024,-1.810828948354271
25427968,-0.2808232456445694,-0.27609548962209374,0.3424223382025957,13.85672302544117,0.25600082240998745,0.001000000048406946,-1.7971034804359078
25559040,-0.19819853291846812,-0.2686688620597124,0.4863913622684777,13.792884059250355,0.2560008214786649,0.0010000000474974513,-1.3780211145058274
25690112,-0.2436427635839209,-0.1818405045196414,0.5804588277824223,13.713170044124126,0.25600082078017294,0.0010000000474974513,-1.4902017917484045
25821184,-0.25910677784122527,-0.03885646612616256,0.7440786655060947,13.367329806089401,0.2560008196160197,0.0010000000474974513,-1.367088746279478
25952256,-0.37149032624438405,0.11322767724050209,0.7321209274232388,13.146231271326542,0.2560008214786649,0.0010000000474974513,-1.565851716324687
26083328,-0.3553138056304306,-0.01040831877526216,0.6201649489812553,13.438170738518238,0.25600082334131,0.0010000000474974513,-1.6889047715812922
26214400,-0.2546274325577542,-0.17754401068668813,0.5756525679025799,13.702429942786694,0.2560008210130036,0.0010000000474974513,-1.617613892070949
26345472,-0.2765436988370493,-0.05903175463243922,0.8639630934347708,13.533911369641622,0.2560008196781079,0.0010000000476914769,-1.0739490738825408
26476544,-0.26204070926178247,-0.07237843391339993,0.8266851238440722,13.528469577431679,0.25600081915035844,0.0010000000474974513,-1.0472920113243163
26607616,-0.2785048543009907,-0.09756074132747017,0.7485769498161972,13.624674513936043,0.2560008205473423,0.0010000000474974513,-1.2878531385213137
26738688,-0.26474555663298815,-0.10637619893532246,0.7068502134643495,13.60236219316721,0.25600081984885037,0.0010000000474974513,-1.4566738563589752
26869760,-0.30057888792362064,0.008591042129410198,0.7250155783258379,13.333720050752163,0.25600081915035844,0.0010000000474974513,-1.5807512309402227
27000832,-0.3377938137855381,0.07719088651356287,0.7463624491356313,13.259916678071022,0.2560008184518665,0.0010000000474974513,-1.4694560654461384
27131904,-0.3480335788335651,0.0424654872056891,0.7187492731027305,13.340843811631203,0.25600082031451166,0.0010000000474974513,-1.5023510297760367
27262976,-0.37560812989249825,0.06704247117522755,0.6357570607215166,13.290754295885563,0.25600081984885037,0.0010000000474974513,-1.698280556127429
27394048,-0.30522733507833133,-0.2654861892480403,0.2935867178191741,13.86051529566447,0.2560008212178946,0.0010000000482735536,-1.8362231333945722
27525120,-0.2991700819693506,-0.26831166772171855,0.30002033268101513,13.857395373284817,0.25600082194432616,0.001000000048406946,-1.8261261843144894
27656192,-0.2067423139233142,-0.19128322030883282,0.6268945473711938,13.641610451042652,0.2560008184518665,0.0010000000474974513,-1.187061888165772
27787264,-0.3931545387022197,0.1767877953061543,0.7764753769151866,13.033727794885635,0.25600082031451166,0.0010000000474974513,-1.4847494731657207
27918336,-0.5619153780862689,0.321790125221014,0.6526315296068788,12.947543486952782,0.25600082334131,0.0010000000474974513,-1.8990217298269272
28049408,-0.41129343514330685,0.027231965148530435,0.5532368295826018,13.451080210506916,0.2560008226428181,0.0010000000474974513,-1.837856207974255
28180480,-0.25144269049633294,-0.15993999154306948,0.6084215515293181,13.703341595828533,0.2560008196160197,0.0010000000474974513,-1.5876559503376484
28311552,-0.2593499965732917,-0.14257062575779855,0.6097931377589703,13.696000069379807,0.256000820081681,0.0010000000474974513,-1.6687339153140783
28442624,-0.3348721514642239,-0.10612193352969673,0.47154682857294883,13.632450085481008,0.2560008206963539,0.0010000000479825151,-1.8405165672445825
28573696,-0.34633128088898957,-0.09863833124836674,0.448120174696669,13.625110395252705,0.25600082194432616,0.0010000000474974513,-1.8426235243678093
28704768,-0.28273123363032937,-0.1296568240504712,0.567464578198269,13.620041191577911,0.2560008221771568,0.0010000000474974513,-1.6443538153544068
28835840,-0.1588630615733564,-0.18734827655134723,0.7756864624097943,13.634137444198132,0.25600082078017294,0.0010000000474974513,-1.134436913765967
28966912,-0.36413722578436136,0.1438080017323955,0.7639344739727676,13.086295016109943,0.25600081821903586,0.0010000000474974513,-1.530042658559978
29097984,-0.39945754944346845,0.205762505880557,0.8433735631406307,12.99385678768158,0.2560008179862052,0.0010000000474974513,-1.4707046281546354
29229056,-0.26620795007329434,-0.033610928505368065,0.7920572916045785,13.39457206428051,0.2560008179862052,0.0010000000474974513,-1.3205090155825019
29360128,-0.25413531495723873,-0.14971082273405045,0.6617493419907987,13.706758633255959,0.25600081984885037,0.0010000000474974513,-1.5340279173105955
29491200,-0.17763062575754401,-0.05452470953374359,0.9351772585014502,13.404345619678498,0.25600081811348596,0.0010000000476914769,-1.0163782600623867
29622272,-0.17766511108493432,-0.06471531846909784,0.9281782768666744,13.409249439835548,0.2560008193831891,0.0010000000474974513,-1.0082089412026107
29753344,-0.21999721531756222,-0.04430619301274419,0.879547007381916,13.420771345496178,0.25600081868469715,0.0010000000474974513,-1.2323619187809527
29884416,-0.0782400465614046,0.01854045446816599,1.416726709343493,12.923248030245304,0.2560008177533746,0.0010000000474974513,-0.30957262399897445
30015488,-0.14377860288368538,-0.03245914901526703,1.350731099024415,13.230472341179848,0.2560008189175278,0.0010000000474974513,-0.524959544534795
30146560,-0.26266686734743416,-0.12331705837277696,0.7395005044527352,13.591928668320179,0.25600082194432616,0.0010000000474974513,-1.410166664980352
30277632,-0.33627662900835276,0.05920472430079826,0.6905594635754824,13.244862265884876,0.2560008205473423,0.0010000000474974513,-1.5903959963470697
30408704,-0.4042685115709901,0.28317658975720406,0.7958876406773925,12.706556059420109,0.2560008221771568,0.0010000000474974513,-1.5270735891535878
30539776,-0.3022642669205864,-0.2631690577448656,0.30640915166586635,13.86040443499883,0.25600082126756507,0.001000000047594464,-1.8248806960197785
30670848,-0.30260799604002386,-0.26250782248098403,0.3081019822275266,13.853462167084217,0.25600082287564874,0.0010000000474974513,-1.8194430945441127
30801920,-0.31157536152750254,-0.07030579587444663,0.5040219312068075,13.466384217143059,0.2560008210130036,0.0010000000474974513,-1.5050981380045414
30932992,-0.29294478928204626,-0.08368111979507376,0.597197666298598,13.558835096657276,0.25600082031451166,0.0010000000474974513,-1.4747409829869866
31064064,-0.22432993783149868,-0.12273426877800375,0.7033148845657706,13.603006899356842,0.2560008184518665,0.0010000000474974513,-1.2856302177533507
31195136,-0.23187164589762688,-0.1147483226377517,0.7243721657432616,13.589038245379925,0.25600081868469715,0.0010000000474974513,-1.436152863316238
31326208,-0.30307543696835637,-0.06960109146893956,0.5977072415407747,13.579158581793308,0.2560008184518665,0.0010000000474974513,-1.6369434939697385
31457280,-0.25621088640764356,-0.05825224082218483,0.7326058805920184,13.442464597523212,0.25600081868469715,0.0010000000474974513,-1.3698246469721198
31588352,-0.4059520619921386,0.2515014797841043,0.7591908980657658,12.7600900888443,0.2560008214165767,0.0010000000476914769,-1.3020917865028605
31719424,-0.40651868958957493,0.2423418046455481,0.7451219346839935,12.773330189287663,0.25600082194432616,0.0010000000474974513,-1.3328516273759305
31850496,-0.43215132551267743,0.18029400811064988,0.6665619518607855,13.035691656172276,0.25600082240998745,0.0010000000474974513,-1.4735207268968225
31981568,-0.34806380001828074,-0.0183221336810675,0.6167605612426996,13.431844219565392,0.2560008210130036,0.0010000000474974513,-1.6021010177209973
32112640,-0.23750267480500042,-0.19257897965144366,0.6138303661718965,13.71713599562645,0.25600082124583423,0.0010000000474974513,-1.5172425918281078
32243712,-0.2654987149871886,-0.16628490417497233,0.5812065985519439,13.712048709392548,0.2560008189175278,0.0010000000474974513,-1.612403736449778
