attempt,collected_frames,gpu/mem_allocated_gb,gpu/mem_reserved_gb,gpu/mem_max_allocated_gb
1,13434880,3.56096512,3.714056192,6.782890496
1,13500416,3.56075264,3.714056192,6.782890496
1,13565952,3.557151744,3.716153344,6.782890496
1,13631488,3.560329216,3.737124864,6.782890496
1,13697024,3.559614976,3.714056192,6.782890496
1,13762560,3.560675328,3.714056192,6.782890496
1,13828096,3.560881664,3.735027712,6.782890496
1,13893632,3.558373888,3.69098752,6.782890496
1,13959168,3.560771072,3.71195904,6.782890496
1,14024704,3.557288448,3.693084672,6.782890496
1,14090240,3.560418304,3.735027712,6.782890496
1,14155776,3.557266432,3.735027712,6.782890496
1,14221312,3.55946752,3.735027712,6.782890496
1,14286848,3.561746432,3.735027712,6.782890496
1,14352384,3.560566784,3.737124864,6.782890496
1,14417920,3.558758912,3.735027712,6.782890496
1,14483456,3.561247744,3.735027712,6.782890496
1,14548992,3.5610112,3.695181824,6.782890496
1,14614528,3.561011712,3.695181824,6.782890496
1,14680064,3.560170496,3.716153344,6.782890496
1,14745600,3.55974912,3.716153344,6.782890496
1,14811136,3.558112256,3.714056192,6.782890496
1,14876672,3.560187392,3.755999232,6.782890496
1,14942208,3.557728768,3.714056192,6.782890496
1,15007744,3.560443392,3.714056192,6.782890496
1,15073280,3.559258624,3.714056192,6.782890496
1,15138816,3.561606656,3.71195904,6.782890496
1,15204352,3.558547456,3.714056192,6.782890496
1,15269888,3.558715392,3.714056192,6.782890496
1,15335424,3.560439296,3.71195904,6.782890496
1,15400960,3.560639488,3.71195904,6.782890496
1,15466496,3.559207424,3.714056192,6.782890496
1,15532032,3.558966272,3.735027712,6.782890496
1,15597568,3.55793664,3.714056192,6.782890496
1,15663104,3.560368128,3.714056192,6.782890496
1,15728640,3.560486912,3.714056192,6.782890496
1,15794176,3.562174976,3.735027712,6.783384064
1,15859712,3.557130752,3.714056192,6.783384064
1,15925248,3.558554624,3.695181824,6.783384064
1,15990784,3.558347264,3.695181824,6.783384064
1,16056320,3.56199936,3.695181824,6.783384064
1,16121856,3.559114752,3.716153344,6.783384064
1,16187392,3.56156928,3.755999232,6.783384064
1,16252928,3.560922112,3.714056192,6.783384064
1,16318464,3.561465856,3.735027712,6.783384064
1,16384000,3.560263168,3.69098752,6.783384064
1,16449536,3.559144448,3.737124864,6.783384064
1,16515072,3.558521344,3.716153344,6.783384064
1,16580608,3.561814016,3.737124864,6.783384064
1,16646144,3.558379008,3.716153344,6.783384064
1,16711680,3.559813632,3.693084672,6.783384064
1,16777216,3.560782848,3.714056192,6.783384064
1,16842752,3.558076928,3.695181824,6.783384064
1,16908288,3.559722496,3.714056192,6.783384064
1,16973824,3.559813632,3.697278976,6.783384064
1,17039360,3.559199744,3.695181824,6.783384064
1,17104896,3.560434688,3.737124864,6.783384064
1,17170432,3.558457856,3.716153344,6.783384064
1,17235968,3.56206336,3.716153344,6.783384064
1,17301504,3.561010688,3.716153344,6.783384064
1,17367040,3.558918144,3.716153344,6.783384064
1,17432576,3.556990976,3.693084672,6.783384064
1,17498112,3.55772416,3.737124864,6.783384064
1,17563648,3.558504448,3.716153344,6.783384064
1,17629184,3.560833536,3.714056192,6.783384064
1,17694720,3.55834624,3.695181824,6.783384064
1,17760256,3.558117888,3.693084672,6.783384064
1,17825792,3.560724992,3.73293056,6.783384064
1,17891328,3.560895488,3.735027712,6.783384064
1,17956864,3.558113792,3.71195904,6.783384064
1,18022400,3.558707712,3.714056192,6.783384064
1,18087936,3.556997632,3.693084672,6.783384064
1,18153472,3.56011264,3.735027712,6.783384064
1,18219008,3.557934592,3.693084672,6.783384064
1,18284544,3.561305088,3.716153344,6.783384064
1,18350080,3.559990272,3.737124864,6.783384064
1,18415616,3.561119744,3.714056192,6.783384064
1,18481152,3.557173248,3.716153344,6.783384064
1,18546688,3.559461376,3.714056192,6.783384064
1,18612224,3.556997632,3.69098752,6.783384064
1,18677760,3.55968512,3.714056192,6.783384064
1,18743296,3.55814656,3.693084672,6.783384064
1,18808832,3.559819776,3.695181824,6.783384064
1,18874368,3.557612032,3.697278976,6.783384064
1,18939904,3.560205824,3.737124864,6.783384064
