attempt,collected_frames,action/v_mean,action/w_mean,action/front_left_mean,action/front_right_mean,action/rear_left_mean,action/rear_right_mean
1,10289152,0.23452894389629364,-3.624941746238619e-05,0.058753229677677155,0.06621135026216507,0.05338238924741745,0.017024829983711243
1,10354688,0.2248232364654541,0.00012429080379661173,0.07095588743686676,0.10798083245754242,0.07156626880168915,0.050763849169015884
1,10420224,0.20834362506866455,-5.059296381659806e-05,0.09835053235292435,0.0521903857588768,0.09155859053134918,0.049414049834012985
1,10485760,0.18467748165130615,0.00010102354281116277,0.05599083751440048,0.04918350279331207,0.048078037798404694,0.07409385591745377
1,10551296,0.24362504482269287,1.69121558428742e-05,0.08348029851913452,0.049099478870630264,0.05801825597882271,0.062288787215948105
1,10616832,0.29577142000198364,-8.777224138611928e-05,0.09153233468532562,0.06137973815202713,0.05376207083463669,0.059589095413684845
1,10682368,0.2718336880207062,-1.3541071893996559e-05,0.05689520761370659,0.08389076590538025,0.03987276181578636,0.07427618652582169
1,10747904,0.2574199438095093,-9.767156734596938e-05,0.035734981298446655,0.07681448757648468,0.07252410799264908,0.03803713619709015
1,10813440,0.21789351105690002,2.0295154172345065e-05,0.05236314609646797,0.08392269909381866,0.04162871092557907,0.07022453099489212
1,10878976,0.258070707321167,-6.305010901996866e-05,0.07247298955917358,0.056730907410383224,0.07156631350517273,0.08651706576347351
1,10944512,0.21223126351833344,2.572642915765755e-05,0.0735771507024765,0.07013857364654541,0.05458967387676239,0.06163489818572998
1,11010048,0.22713039815425873,-3.444066533120349e-05,0.08156589418649673,0.06269223242998123,0.056094881147146225,0.07314498722553253
1,11075584,0.2933972179889679,0.00010765396291390061,0.0976746678352356,0.06903251260519028,0.0676979273557663,0.04443147033452988
1,11141120,0.28385964035987854,-7.457630999851972e-06,0.046114835888147354,0.05798143148422241,0.05015018582344055,0.04671526327729225
1,11206656,0.22207088768482208,2.8502498025773093e-05,0.08182680606842041,0.0863664373755455,0.05760260671377182,0.059504322707653046
1,11272192,0.2714470326900482,2.370329457335174e-05,0.08485561609268188,0.06150202453136444,0.08570992946624756,0.06777262687683105
1,11337728,0.29991888999938965,4.0987149986904114e-05,0.07742620259523392,0.050115540623664856,0.042422689497470856,0.048316776752471924
1,11403264,0.2642287313938141,-2.715210030146409e-06,0.05969858169555664,0.07445736974477768,0.04544639587402344,0.045627862215042114
1,11468800,0.2588399350643158,2.334323653485626e-05,0.07751040160655975,0.05821414291858673,0.04984266683459282,0.03683854267001152
1,11534336,0.23179841041564941,2.879853855120018e-05,0.06895861029624939,0.10348684340715408,0.07569658011198044,0.07930267602205276
1,11599872,0.273841917514801,4.8784339014673606e-05,0.05788174271583557,0.07378661632537842,0.05272067338228226,0.05292704701423645
1,11665408,0.27690601348876953,9.51007823459804e-05,0.08833044022321701,0.08267413824796677,0.09143240004777908,0.07737372815608978
1,11730944,0.22758176922798157,9.509891242487356e-06,0.11319805681705475,0.06955718994140625,0.05377328768372536,0.04047334939241409
1,11796480,0.24626284837722778,-2.926273737102747e-05,0.08003558218479156,0.07125373929738998,0.07611462473869324,0.07330156117677689
1,11862016,0.24461406469345093,-2.2933227228350006e-05,0.053161658346652985,0.05824064835906029,0.07882749289274216,0.04249303787946701
1,11927552,0.2772022485733032,2.235122701677028e-05,0.054626934230327606,0.0783405676484108,0.021929427981376648,0.08200301975011826
1,11993088,0.24993754923343658,-2.8943977667950094e-06,0.07352493703365326,0.0774238109588623,0.05371265858411789,0.050395481288433075
1,12058624,0.2551015615463257,-2.225270691269543e-05,0.06856431066989899,0.05132424458861351,0.05276861786842346,0.06690084934234619
1,12124160,0.3254980444908142,5.157831765245646e-05,0.0842144638299942,0.08667764067649841,0.02903001755475998,0.05589964985847473
1,12189696,0.3612203299999237,0.00013395005953498185,0.06325545907020569,0.05526674538850784,0.0795292779803276,0.05594412609934807
1,12255232,0.18966558575630188,-5.4313972214004025e-05,0.07562445104122162,0.08486153185367584,0.09237071126699448,0.057022180408239365
1,12320768,0.2415110468864441,5.664518539560959e-05,0.07576049864292145,0.07136762887239456,0.0707421526312828,0.03578609973192215
1,12386304,0.24386487901210785,6.398837285814807e-05,0.06324324756860733,0.08540564030408859,0.07948194444179535,0.02466059848666191
1,12451840,0.25793564319610596,-4.4056796468794346e-05,0.07219798117876053,0.10009899735450745,0.06622452288866043,0.07123395055532455
1,12517376,0.2872503399848938,0.00011862405517604202,0.04604845121502876,0.04730224609375,0.08281055092811584,0.05382724106311798
1,12582912,0.23012903332710266,-1.1255749996053055e-05,0.07108934223651886,0.09269899874925613,0.0332881398499012,0.05193732678890228
1,12648448,0.2620791792869568,-4.663263098336756e-05,0.09529812633991241,0.10336317121982574,0.06635192781686783,0.07412345707416534
1,12713984,0.3103927969932556,0.0001368998346151784,0.06045697629451752,0.07612253725528717,0.04668515920639038,0.08180788159370422
1,12779520,0.25928404927253723,7.637450471520424e-05,0.09142880141735077,0.09755910187959671,0.06044997647404671,0.06188943237066269
1,12845056,0.3180909752845764,-0.00013263702567201108,0.07645904272794724,0.08611415326595306,0.08235187828540802,0.08022334426641464
1,12910592,0.31456029415130615,-5.732058343710378e-05,0.06432613730430603,0.07395298779010773,0.03845766931772232,0.04266807436943054
1,12976128,0.24543365836143494,7.60671537136659e-06,0.05864100530743599,0.08820192515850067,0.0874360054731369,0.058777108788490295
1,13041664,0.21428143978118896,0.0001115136401494965,0.11053116619586945,0.10184016823768616,0.07521775364875793,0.08081422746181488
1,13107200,0.2457900196313858,9.98805626295507e-06,0.0659201443195343,0.08282005786895752,0.05763804167509079,0.06715606898069382
1,13172736,0.2578469514846802,-2.993881207657978e-05,0.1022757738828659,0.08560587465763092,0.06671935319900513,0.057947367429733276
1,13238272,0.3356666564941406,-3.728585215867497e-05,0.09392449259757996,0.04683676362037659,0.08184344321489334,0.05665334686636925
1,13303808,0.22242772579193115,3.096961881965399e-05,0.07287715375423431,0.09347517788410187,0.07035589218139648,0.06206183880567551
