attempt,collected_frames,rew/progress,rew/goal_velocity,rew/posture_swing,rew/stabilization,rew/step_penalty,rew/terminal_bonus,rew/total_reward
0,3538944,-0.7628246527165174,0.08114496743655764,-0.11463403655216098,-0.1968785960925743,0.0,-1.224517822265625,-2.217709993943572
0,3604480,-0.7520571514032781,0.08953067586116958,-0.12657260108971968,-0.19800854788627476,0.0,-0.3570556640625,-1.3441485860385
0,3670016,-0.7103702905587852,0.06891905290831346,-0.1564427210832946,-0.19937425933312625,0.0,-0.258636474609375,-1.2559046931564808
0,3735552,-0.8090127115137875,0.10037538097822107,-0.07929206729750149,-0.19738211226649582,0.0,-1.1135101318359375,-2.0988215170800686
0,3801088,-0.8105208352208138,0.10797545095556416,-0.10317966068396345,-0.20043888152576983,0.0,-0.0080108642578125,-1.0141747831366956
0,3866624,-0.7086565266363323,0.06740401952993125,-0.15282658400246873,-0.19923818681854755,0.0,-0.341033935546875,-1.3343358719721437
0,3932160,-0.7956306957639754,0.09569099829241168,-0.10062540110084228,-0.19937442522495985,0.0,-1.2897491455078125,-2.2896584239788353
0,3997696,-0.7206404535099864,0.07218530208047014,-0.12226641981396824,-0.19866782729513943,0.0,-0.373077392578125,-1.3424667827785015
0,4063232,-0.7614307827316225,0.08961612402345054,-0.1014100067113759,-0.1989883572096005,0.0,-1.3057708740234375,-2.2779838640708476
0,4128768,-0.7505547939799726,0.08731673889269587,-0.11421941113076173,-0.1985075754346326,0.0,-0.0492095947265625,-1.025174632202834
0,4194304,-0.7117687398567796,0.05377771409985144,-0.12955904752016068,-0.19818059750832617,0.0,-0.418853759765625,-1.4045690977945924
0,4259840,-0.8103108280338347,0.1176164944190532,-0.07358955821837299,-0.1974034896120429,0.0,-1.2714385986328125,-2.2351115392521024
0,4325376,-0.7926063253544271,0.10571903159143403,-0.09564579275320284,-0.20024283905513585,0.0,-0.020599365234375,-1.0033752876333892
0,4390912,-0.7167312926612794,0.06076472486893181,-0.1266195016214624,-0.19807646528352052,0.0,-0.37994384765625,-1.3606063737533987
0,4456448,-0.7756556877866387,0.10793641324562486,-0.11360586772207171,-0.20070672687143087,0.0,-1.288604736328125,-2.270607348997146
0,4521984,-0.7227183151990175,0.06828444357961416,-0.13651297782780603,-0.1986589126754552,0.0,-0.3673553466796875,-1.356961103156209
0,4587520,-0.7370864953845739,0.09752562423818745,-0.13538375825737603,-0.20105673209764063,0.0,-1.2165069580078125,-2.1925082886591554
0,4653056,-0.7361981510184705,0.08366507865139283,-0.11248516174964607,-0.1980992095777765,0.0,-0.3124237060546875,-1.2755411472171545
0,4718592,-0.6919947285205126,0.06446747145673726,-0.1312584695406258,-0.20130307134240866,0.0,-0.18310546875,-1.143194263568148
0,4784128,-0.779303724411875,0.11996639805147424,-0.09013288174173795,-0.19824949267785996,0.0,-1.178741455078125,-2.1264611191581935
0,4849664,-0.7730211215093732,0.11099479717086069,-0.14407643297454342,-0.20170565089210868,0.0,0.0011444091796875,-1.0066328654065728
0,4915200,-0.7048446424305439,0.06670037272851914,-0.13518711063079536,-0.19966474163811654,0.0,-0.428009033203125,-1.4010051519144326
0,4980736,-0.7610516361892223,0.11411355927702971,-0.10903351809247397,-0.19985173898749053,0.0,-1.1089324951171875,-2.0647559146163985
0,5046272,-0.7008128287270665,0.07992312821443193,-0.1539484022068791,-0.20144943182822317,0.0,-0.382232666015625,-1.3585201953537762
0,5111808,-0.7402174538001418,0.07999453003139934,-0.12881521048257127,-0.20072561886627227,0.0,-1.091766357421875,-2.08149980683811
0,5177344,-0.7224273607134819,0.0956482638430316,-0.11697836109669879,-0.20003635506145656,0.0,-0.395965576171875,-1.3397449292242527
0,5242880,-0.7029285202734172,0.06600960032665171,-0.10801454813918099,-0.1987750962143764,0.0,-0.2048492431640625,-1.1485437998198904
0,5308416,-0.7752393316477537,0.10602453575120308,-0.0908338840235956,-0.20006159774493426,0.0,-0.9429931640625,-1.9030885298270732
0,5373952,-0.7796369646675885,0.11723242604057305,-0.07636209559859708,-0.20091153553221375,0.0,-0.020599365234375,-0.9602630794979632
0,5439488,-0.6945185749791563,0.07292345236055553,-0.1298360440414399,-0.20081183034926653,0.0,-0.3398895263671875,-1.2921180692501366
0,5505024,-0.7623377833515406,0.115401221672073,-0.09482953257975169,-0.2000401847762987,0.0,-1.1363983154296875,-2.078189902473241
0,5570560,-0.7090993602760136,0.06547322432743385,-0.11474885488860309,-0.19908300077077,0.0,-0.3170013427734375,-1.274444913957268
0,5636096,-0.7422228283248842,0.09107579904957674,-0.09178014195640571,-0.20055780175607651,0.0,-1.1730194091796875,-2.1164900170406327
0,5701632,-0.7283982690423727,0.08974326960742474,-0.08650383865460753,-0.19730605266522616,0.0,-0.27923583984375,-1.2017007218673825
0,5767168,-0.6951192319393158,0.07077362295240164,-0.13021385110914707,-0.20139465981628746,0.0,-0.2471923828125,-1.2031171063426882
1,5832704,-0.7931055477820337,0.16475174011429772,-0.08285276104322747,-0.200101534021087,0.0,0.0,-0.9113081055693328
1,5898240,-0.7829130352474749,0.12316940455639269,-0.07687828467169311,-0.19824005023110658,0.0,0.0080108642578125,-0.926851098658517
1,5963776,-0.6891976757906377,0.07182753249071538,-0.120222432538867,-0.20048447081353515,0.0,-0.308990478515625,-1.2470675227232277
1,6029312,-0.7572202328592539,0.12129424592421856,-0.0924450071179308,-0.20169565011747181,0.0,-1.1260986328125,-2.056135179242119
1,6094848,-0.6894578193314373,0.07064854745112825,-0.119946590566542,-0.19937414675951004,0.0,-0.3078460693359375,-1.245976074365899
1,6160384,-0.7359471106901765,0.10333403911499772,-0.10290044712019153,-0.2005380782065913,0.0,-1.0906219482421875,-2.0266442440915853
1,6225920,-0.7084446493536234,0.07287981189438142,-0.11026646936079487,-0.19904430117458105,0.0,-0.2826690673828125,-1.2275300691835582
1,6291456,-0.7108202259987593,0.07550747357890941,-0.10036557004787028,-0.19958009256515652,0.0,-0.2300262451171875,-1.1652553578605875
1,6356992,-0.743904304690659,0.11745198853896,-0.09574995204457082,-0.1994625807274133,0.0,-0.9510040283203125,-1.872640711022541
1,6422528,-0.7757924720644951,0.13368569253361784,-0.08270598002127372,-0.20011679001618177,0.0,-0.0057220458984375,-0.9306515860371292
1,6488064,-0.6923057758249342,0.06761870842456119,-0.1115739208762534,-0.20182133198250085,0.0,-0.226593017578125,-1.1646753291133791
1,6553600,-0.7564648007974029,0.1232445169298444,-0.09199511562474072,-0.20136796729639173,0.0,-1.1844635009765625,-2.11103195999749
1,6619136,-0.6965724225156009,0.0650146845728159,-0.11956673377426341,-0.1995340014109388,0.0,-0.318145751953125,-1.2687746579758823
