attempt,collected_frames,shock/accel_magnitude,shock/accel_magnitude_max,shock/accel_magnitude_min,shock/shock_normalised,shock/shock_normalised_max,shock/shock_normalised_min,shock/accel_p90,shock/accel_p95,shock/accel_p99
1,17301504,2.2069152956828475,8.3113414645195,0.008874369277691585,2.8055801948312364e-07,0.0001436457059753593,0.0,2.3149484634399413,2.33502060174942,2.387943699359894
1,17367040,2.209363091737032,8.57283478975296,0.008694193443716358,3.100788603660476e-07,0.0001255197130376473,0.0,2.3547979593276978,2.387106442451477,2.4842973828315738
1,17432576,2.320864263921976,8.407929934561253,0.028532020948205172,0.0,0.0,0.0,2.621242570877075,2.661534821987152,2.7373390698432924
1,17498112,2.2916960455477238,8.343136813491583,0.0024539038831790094,0.0,0.0,0.0,2.397739839553833,2.4248198986053464,2.4819705057144166
1,17563648,2.0899987490847707,8.37672509253025,0.0054172852264855464,6.952356343958854e-07,0.00035596064481069334,0.0,2.2716595411300657,2.3153779268264767,2.4583654499053957
1,17629184,2.207430507056415,8.271835371851921,0.007931754235869448,6.443637801112345e-07,0.0003299142554169521,0.0,2.334570527076721,2.38460031747818,2.4180459785461426
1,17694720,2.2864409582689404,8.393850047141314,0.00362501470249299,2.1386867388173414e-07,0.00010950076102744788,0.0,2.492211604118347,2.520968806743622,2.6046722292900086
1,17760256,2.360615761950612,8.314407214522362,0.02586580839738417,0.0,0.0,0.0,2.491318678855896,2.526844799518585,2.5805509734153746
1,17825792,2.059285710565746,8.191195242106915,0.046374081866815686,0.0,0.0,0.0,2.2092570543289183,2.234958827495575,2.335875027179718
1,17891328,2.1039178809151053,8.525132331997156,0.04893678332155105,3.2604479738296277e-07,0.00016693493626007694,0.0,2.2778157711029055,2.320767402648926,2.415500891208649
1,17956864,1.6327903745695949,7.859367478638887,0.012520482028776314,0.0,0.0,0.0,1.899079942703247,1.923484206199646,1.9736633372306824
1,18022400,2.0374311339110136,8.242416586726904,0.04694348601333331,4.6510415074862976e-08,2.3813332518329844e-05,0.0,2.1582333564758303,2.1831659078598022,2.199962079524994
1,18087936,2.1290345452725887,8.5373628847301,0.019014188522760378,1.1868118221514123e-06,0.0006076476529415231,0.0,2.306229519844055,2.3388954520225527,2.4034263634681703
1,18153472,2.094696618616581,8.137179292738438,0.008176252772955195,5.165272796148201e-07,0.0002644619671627879,0.0,2.2320197582244874,2.2567813396453857,2.3130458116531374
1,18219008,2.1787608498707414,8.309856835752726,0.002387987356996746,2.3847010197641794e-06,0.0012209669221192598,0.0,2.378610372543335,2.4068895101547243,2.4568653535842895
1,18284544,2.0459618428722024,8.293160136789083,0.026486617000273327,3.528323873069894e-07,0.00018065018230117857,0.0,2.2061034202575684,2.266547751426697,2.3113365840911864
1,18350080,1.8818633118644357,8.137867350131273,0.04304011833664845,7.044873484574055e-08,3.606975224101916e-05,0.0,1.9801373839378358,2.005648136138916,2.059933042526245
1,18415616,2.001043437048793,8.38070249184966,0.046761797908402514,0.0,0.0,0.0,2.1802658081054687,2.222982704639435,2.301246304512024
1,18481152,1.9496969990432262,8.362468834966421,0.02332384744704541,4.4094755935475405e-07,0.00022576515038963407,0.0,2.199218201637268,2.2384554386138915,2.295645308494568
1,18546688,2.030584776774049,8.085375361144543,0.008800802633231797,0.0,0.0,0.0,2.1437183141708376,2.164150762557983,2.231024594306946
1,18612224,1.7155734999105334,8.164830666035414,0.03190314517087245,1.074832340464127e-06,0.000550314158317633,0.0,1.8976145029067992,1.9631625294685364,2.0836167955398563
1,18677760,1.9980325736105442,8.081289537250996,0.047397845817613415,2.3725650066808157e-07,0.00012147532834205776,0.0,2.125022459030151,2.1717574834823608,2.2268515110015867
1,18743296,2.161652088165283,8.504726335406303,0.043913939538470004,5.787687555880439e-07,0.00029632960286107846,0.0,2.330905246734619,2.3509501099586485,2.4027314496040346
1,18808832,2.0304212188348174,8.248532582074404,0.04211657547966752,6.466517845638009e-07,0.00033108571369666606,0.0,2.182124209403992,2.2060760498046874,2.275200068950653
1,18874368,1.8295849477872252,8.109188731759787,0.007779835391374945,1.3093653841167452e-06,0.0006703640501655173,0.0,1.9296080470085144,1.984837257862091,2.0391629052162172
1,18939904,2.0401587691158056,8.287358202040195,0.0020993279936192266,2.2983461178682774e-07,0.0001176753212348558,0.0,2.217471957206726,2.2596529483795167,2.3294377231597903
1,19005440,1.9835796616971493,8.355566404759884,0.04665438218944473,1.6929615753724647e-07,8.66796326590702e-05,0.0,2.2592306613922117,2.315796864032745,2.427630870342255
1,19070976,2.1189831709489226,8.198493480682373,0.043274032915178395,7.12461371676909e-07,0.00036478022229857743,0.0,2.2014659643173218,2.224134421348572,2.272417130470276
1,19136512,1.8857354326173663,8.254398584365845,0.04570284500368871,1.0945663646566572e-06,0.0005604179787042085,0.0,2.075274181365967,2.1246956467628477,2.208683204650879
1,19202048,2.1681470116600394,8.44731204584241,0.010567242887645989,9.548201944653556e-07,0.0004888679395662621,0.0,2.3148788452148437,2.340841734409332,2.3723444628715518
1,19267584,1.7587478682398796,7.9572245962917805,0.006353788473461464,0.0,0.0,0.0,1.935300362110138,2.0093745291233063,2.1463353633880615
1,19333120,2.181049863807857,8.424045827239752,0.029239336587124853,1.4131282455309702e-07,7.235216617118567e-05,0.0,2.321764278411865,2.345776653289795,2.3778675413131714
1,19398656,1.7761959750205278,7.894276563078165,0.006272196768350113,1.4870352416096466e-07,7.613620437041391e-05,0.0,1.9256631135940552,1.9795442640781402,2.0967722177505492
1,19464192,1.9425364062190056,8.502162244170904,0.004054046938790634,4.1784909399211756e-07,0.0002139387361239642,0.0,2.086289119720459,2.136528789997101,2.201756579875946
1,19529728,1.8739550467580557,8.528339110314846,0.0241577193496596,1.1297283784017509e-06,0.0005784209297416965,0.0,2.0664456844329835,2.1050049662590027,2.158222899436951
1,19595264,2.0607865089550614,8.312955182045698,0.003853883360079635,1.1339800209952955e-06,0.0005805977707495913,0.0,2.1505438804626467,2.185387468338013,2.2547057461738587
1,19660800,2.0126633550971746,8.185025822371244,0.03281925707551636,1.4254266034186003e-06,0.0007298184209503233,0.0,2.2219995498657226,2.255060315132141,2.283952708244324
1,19726336,2.044597139582038,8.195737667381763,0.04413889873831067,6.317527123655964e-08,3.2345738873118535e-05,0.0,2.175184631347656,2.2011124014854433,2.2565658020973207
1,19791872,1.9905881769955158,8.178249854594469,0.0463907877492602,0.0,0.0,0.0,2.188794565200806,2.227539527416229,2.296120388507843
1,19857408,2.24325093626976,8.282851532101631,0.04999394595506601,0.0,0.0,0.0,2.3952348470687865,2.417686140537262,2.481187205314636
1,19922944,1.9080455899238586,8.234516952186823,0.046411171431827825,0.0,0.0,0.0,2.0082927703857423,2.065252900123596,2.1034265613555907
2,19988480,1.8004574575461447,7.841115150600672,0.03208544232893473,0.0,0.0,0.0,2.0913490533828734,2.116738796234131,2.355071241855622
2,20054016,1.9459015056490898,8.147641532123089,0.04769195642438717,0.0,0.0,0.0,2.2389448642730714,2.27502281665802,2.301379716396332
2,20119552,2.3143861200660467,8.347813177853823,0.04897391902250092,1.5486148186028004e-07,7.928907871246338e-05,0.0,2.440588903427124,2.461764562129974,2.5183581161499027
2,20185088,2.109201808460057,8.708491664379835,0.04403637786163017,4.3273330163629e-06,0.0022155945043778047,0.0,2.3136133432388304,2.3469324350357055,2.392633492946625
2,20250624,1.904395179823041,8.159433361142874,0.010753256617590523,6.760944870620733e-08,3.4616037737578154e-05,0.0,2.028883624076843,2.0901248693466186,2.1589815759658815
2,20316160,1.7588845929130912,8.188171040266752,0.02549382504003006,0.0,0.0,0.0,1.937101626396179,1.9667812407016754,2.0936272001266483
2,20381696,1.9759599501267076,8.446088269352913,0.04363711059340858,0.0,0.0,0.0,2.111851167678833,2.13088481426239,2.179170744419098
2,20447232,2.0023318165913224,8.21435808390379,0.04955840420734603,0.0,0.0,0.0,2.1050888299942017,2.155939292907715,2.1979206919670107
2,20512768,1.914594049565494,8.074763990938663,0.05037613126478391,2.560082691616117e-06,0.0013107623381074518,0.0,2.104797625541687,2.1677475810050963,2.22236732006073
2,20578304,1.8052220894023776,8.0096903629601,0.033859728246397935,6.191465971028265e-07,0.00031700305771664716,0.0,2.072513794898987,2.0988179206848145,2.1895550203323366
2,20643840,1.8198650181293488,7.895697794854641,0.005633863686853147,5.240473193168782e-07,0.00026831222749024164,0.0,1.9136436104774475,1.937275093793869,1.9784164929389954
2,20709376,1.8676652181893587,8.081823665648699,0.007558494705335761,2.7371945066079206e-07,0.00014014435873832554,0.0,2.085543918609619,2.1550463318824766,2.1980481910705567
2,20774912,1.996563115157187,8.18428347632289,0.03547318765595264,1.0064337629955844e-06,0.0005152940866537392,0.0,2.1563236236572267,2.191079878807068,2.20552903175354
2,20840448,1.9744238685816526,8.297949094325304,0.039170964385448315,9.8388656510906e-07,0.0005037499213358387,0.0,2.135980653762817,2.160564827919006,2.233879315853119
2,20905984,2.0729092424735427,8.40504128858447,0.006816372049797792,1.175622628579731e-06,0.0006019187858328223,0.0,2.1798046112060545,2.2010672450065614,2.2556011700630187
2,20971520,2.2107353759929538,8.35070288553834,0.0015660442737726044,2.950163846549003e-07,0.00015104838894330896,0.0,2.340369367599487,2.389873766899109,2.440006203651428
2,21037056,1.7075654305517673,7.978137142956257,0.003911674356004369,6.90858428242791e-08,3.53719515260309e-05,0.0,1.8694355010986328,1.89845809340477,2.0912352085113532
