collected_frames,diff/logprob_std,diff/logprob_mean
49283072,4.443742275238037,-54.37360382080078
49807360,4.405509948730469,-54.36619567871094
50331648,4.41154146194458,-54.302101135253906
50855936,4.45281982421875,-54.262569427490234
51380224,4.358649253845215,-54.38134002685547
51904512,4.462426662445068,-54.11963653564453
52428800,4.51539421081543,-54.081024169921875
52953088,4.591819763183594,-53.870765686035156
53477376,4.5792365074157715,-53.85817337036133
54001664,4.574507713317871,-53.79955291748047
54525952,4.498998641967773,-53.82671356201172
55050240,4.517756938934326,-53.815650939941406
55574528,4.377796649932861,-54.066551208496094
56098816,4.451712608337402,-53.88566970825195
56623104,4.449539661407471,-53.83491516113281
57147392,4.42405366897583,-53.77642059326172
57671680,4.445553779602051,-53.76078796386719
58195968,4.464614391326904,-53.765846252441406
58720256,4.5239715576171875,-53.709449768066406
59244544,4.543023586273193,-53.66693115234375
59768832,4.398024082183838,-53.85786056518555
60293120,4.4308762550354,-53.710121154785156
60817408,4.4373345375061035,-53.67698669433594
61341696,4.421504974365234,-53.60338592529297
61865984,4.4258832931518555,-53.505287170410156
62390272,4.4163103103637695,-53.522926330566406
62914560,4.469476699829102,-53.427459716796875
63438848,4.497672080993652,-53.27360534667969
63963136,4.405631065368652,-53.39689254760742
64487424,4.493514060974121,-53.15604019165039
65011712,4.540410041809082,-53.05596923828125
65536000,4.5482401847839355,-52.9998664855957
66060288,4.532469272613525,-52.912574768066406
66584576,4.519232749938965,-52.94524383544922
67108864,4.548097610473633,-52.88326644897461
67633152,4.539234161376953,-52.90643310546875
68157440,4.45873498916626,-53.02230453491211
68681728,4.565084457397461,-52.86970138549805
69206016,4.6118011474609375,-52.718292236328125
69730304,4.619185447692871,-52.719635009765625
70254592,4.653300762176514,-52.529945373535156
70778880,4.634457588195801,-52.55572509765625
71303168,4.6404523849487305,-52.551536560058594
71827456,4.6586127281188965,-52.503334045410156
72351744,4.555006980895996,-52.74810791015625
72876032,4.605382442474365,-52.52816390991211
73400320,4.566197872161865,-52.516666412353516
