collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std,action/chunk_step_delta,action/chunk_step_delta_flipper,action/chunk_step_delta_max,action/loc_step_delta,action/loc_step_delta_flipper,action/loc_abs_mean,action/scale_mean,action/sat_frac_099,action/sat_frac_09,action/abs_mean
20971520,0.723035991191864,0.34763795137405396,0.054127056151628494,0.6295366883277893,0.04693368077278137,0.6330966353416443,0.0237821564078331,0.6310820579528809,0.0036978586576879025,0.6143358945846558,-0.04071909561753273,0.6362156867980957,0.7080937623977661,0.72034752368927,1.9970908164978027,0.047861143946647644,0.026839524507522583,0.09608670324087143,0.9820577502250671,0.008938710205256939,0.15044760704040527,0.562964916229248
21495808,0.7358207106590271,0.3374055325984955,0.05051375553011894,0.6334803700447083,0.05075858533382416,0.6330929398536682,0.02805052138864994,0.6306591033935547,0.01188279502093792,0.6142339706420898,-0.030750827863812447,0.6360167860984802,0.7075789570808411,0.7197826504707336,1.9981263875961304,0.04919636249542236,0.028327681124210358,0.09959481656551361,0.9821820259094238,0.009055614471435547,0.15146248042583466,0.563665509223938
22020096,0.7318994998931885,0.344501256942749,0.05469629168510437,0.6345348954200745,0.04634394124150276,0.6326633095741272,0.024092266336083412,0.6322816610336304,0.007957241497933865,0.6143984794616699,-0.02959570661187172,0.6367112994194031,0.7077913880348206,0.7198469638824463,1.9968268871307373,0.05163537338376045,0.029847949743270874,0.10017786920070648,0.9835381507873535,0.00923172663897276,0.15185324847698212,0.5637551546096802
22544384,0.7460677623748779,0.33304455876350403,0.056981682777404785,0.6341620087623596,0.06018254905939102,0.6343458890914917,0.04267861694097519,0.6325879096984863,0.010621442459523678,0.6123160719871521,-0.028458911925554276,0.6375818252563477,0.7071091532707214,0.7195569276809692,1.997554063796997,0.05287059396505356,0.03054913505911827,0.10547908395528793,0.9824256896972656,0.0093510951846838,0.15259051322937012,0.5641571879386902
23068672,0.7463244199752808,0.3322542905807495,0.05311480909585953,0.6374143362045288,0.060606129467487335,0.6349600553512573,0.043450914323329926,0.6331156492233276,0.007271335460245609,0.6127094626426697,-0.024116910994052887,0.6382178664207458,0.7072479128837585,0.719322919845581,1.997530460357666,0.052862562239170074,0.030698541551828384,0.10488741099834442,0.9826071262359619,0.009368658065795898,0.15278029441833496,0.5644351243972778
23592960,0.7595247030258179,0.3199654221534729,0.05379272252321243,0.639865517616272,0.06084643676877022,0.6360541582107544,0.0411478728055954,0.6338871121406555,0.01652008667588234,0.6123902201652527,-0.02228325419127941,0.6369073390960693,0.7066860198974609,0.7190759181976318,1.9980864524841309,0.053881339728832245,0.03113292157649994,0.10744601488113403,0.9820590019226074,0.009392818436026573,0.15340614318847656,0.5646388530731201
24117248,0.7671597003936768,0.3120647668838501,0.05286063626408577,0.6391433477401733,0.06492133438587189,0.6358726024627686,0.04149977117776871,0.6329174041748047,0.015363913960754871,0.6121230721473694,-0.01992613635957241,0.6357868909835815,0.7059575915336609,0.7186734676361084,1.9974236488342285,0.05500026419758797,0.03229581564664841,0.11003170907497406,0.9809762835502625,0.009430885314941406,0.15355905890464783,0.5647070407867432
24641536,0.7667555212974548,0.31107640266418457,0.05415484681725502,0.6353632211685181,0.055872607976198196,0.640209436416626,0.048652853816747665,0.6339524984359741,0.011197890155017376,0.6114417314529419,-0.018580377101898193,0.6373031139373779,0.7060970067977905,0.7190678119659424,1.9984021186828613,0.056062616407871246,0.03327374905347824,0.11096370220184326,0.9812822341918945,0.009441375732421875,0.1538618505001068,0.5649698972702026
25165824,0.7694182395935059,0.309346079826355,0.058749206364154816,0.6378878355026245,0.06444047391414642,0.6393684148788452,0.046665024012327194,0.6363368034362793,0.009331248700618744,0.6112831830978394,-0.021215133368968964,0.6360317468643188,0.706397533416748,0.7192676067352295,1.9983267784118652,0.055323343724012375,0.033033620566129684,0.11232234537601471,0.9821205139160156,0.00958744715899229,0.1544543206691742,0.5651950240135193
25690112,0.7762364149093628,0.30420950055122375,0.06754454970359802,0.6363682746887207,0.06472808122634888,0.6395374536514282,0.04656098783016205,0.6368860006332397,0.014628589153289795,0.6113308668136597,-0.025008928030729294,0.6378519535064697,0.705746054649353,0.718600869178772,1.998164415359497,0.05610934644937515,0.03445830196142197,0.11509990692138672,0.9814590215682983,0.009666919708251953,0.1548970639705658,0.5654520392417908
