collected_frames,rew/shaping,rew/joint_ang_from_flat_penalty,rew/joint_angle_var_penalty,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/flipper_action_bonus,rew/step_penalty,rew/terminal_bonus,rew/total_reward
5767168,2.433478629216552,-0.05736517588957213,-0.053276798069418874,-0.02045898847609351,-0.2156388963048812,-0.0933020773663884,-0.1992648546001874,-0.00035368126236789976,-0.00486511395774869,2.7704102657735348,0.7149867992848158,-0.06373809989599977,0.10962255218692007,5.32001115847379
6291456,2.5025464124046266,-0.057411108835367486,-0.05327373950422043,-0.022592089022509754,-0.21380148062598892,-0.09979587895213626,-0.19814012010465376,-0.00026748450943614444,-0.005015303454456443,2.9990202533081174,0.7182776565896347,-0.06416301429271698,0.1339872482640203,5.639070519246161
6815744,2.510345402173698,-0.05784369583125226,-0.05311229744256707,-0.023473137314795167,-0.21347175861592405,-0.10634963226038963,-0.19753693329403177,-0.00029619925589940976,-0.005447490651476983,3.1954508256167173,0.7174198798602447,-0.06458793574711308,0.14856186914403224,5.849060841836035
7340032,2.5745126609690487,-0.058587069375789724,-0.052929002966266125,-0.025656334993982455,-0.211729759699665,-0.11231349108857103,-0.1970757821109146,-0.0003791393867231818,-0.0057808957085399015,3.3886947194114327,0.7112054949393496,-0.0650128567503998,0.17275657792197308,6.117130048573017
7864320,2.6006544097326696,-0.05857680046756286,-0.05302561595453881,-0.029202501977124484,-0.2131551199418027,-0.11515751262777485,-0.19733703523525037,-0.0003012367450878628,-0.0058555219729896635,3.5051981122232974,0.7137378780171275,-0.06543777883052826,0.17967327704536729,6.260474309325218
8388608,2.626142016146332,-0.05883383996115299,-0.05337109070387669,-0.02901686974655604,-0.213764495390933,-0.12110103589657228,-0.1970084607892204,-0.00045960073111217525,-0.00661371663409227,3.6605438073165715,0.7109855038579553,-0.06586270027037244,0.18769252035781392,6.438437963835895
8912896,2.6679545510560274,-0.058192456417600624,-0.05304164084373042,-0.029312437818589387,-0.2143661092268303,-0.12424892603303306,-0.1972875379724428,-0.000476050420189722,-0.006299982153905148,3.7962817563675344,0.7125025760615245,-0.06628762080799788,0.20646878923798795,6.632618896663189
9437184,2.640799283515662,-0.058807099747355096,-0.0523178309067589,-0.026130917154659983,-0.20756579478620552,-0.13086159813974518,-0.19453866098774597,-0.00038830719410043457,-0.007066498014864919,3.810335149988532,0.7127529033459723,-0.06671254336833954,0.20325682257316657,6.621690712869167
9961472,2.7115626535378397,-0.058967334392946213,-0.052836719900369644,-0.031695471621787874,-0.21177860454190522,-0.12485812656814232,-0.19595737353665754,-0.00022748173472564304,-0.00665575157472631,3.9863173994235694,0.7047303343424574,-0.0671374648809433,0.21599044239337672,6.867347438819706
10485760,2.743737915530801,-0.05932332620432135,-0.052769595124118496,-0.03038373104573111,-0.20742342175799422,-0.12964451187872328,-0.19448105315677822,-0.00028941881066657515,-0.006615215292185894,4.137157232966274,0.7072432693094015,-0.06756238639354706,0.22940677871156367,7.067669176496565
11010048,2.768695176113397,-0.05942241341836052,-0.05252322782325791,-0.03232953790575266,-0.20675739407306537,-0.13182369053538423,-0.19419822510099038,-0.00022384684609733085,-0.006861041124466283,4.253359023015946,0.7060433379374444,-0.06798730045557022,0.23921405024520936,7.213808715343475
