collected_frames,var_decomp/shaping,var_decomp/roll_penalty,var_decomp/roll_rate_penalty,var_decomp/pitch_penalty,var_decomp/pitch_rate_penalty,var_decomp/shock_penalty,var_decomp/action_bonus,var_decomp/flipper_action_bonus,var_decomp/terminal_bonus
9175040,0.3882673680782318,0.03645242750644684,-0.0051163919270038605,0.09800490736961365,-0.02757430635392666,0.5422967672348022,2.006788492202759,0.027295885607600212,8.288668632507324
9306112,0.2615305483341217,0.016873527318239212,0.026953769847750664,0.041042402386665344,0.0009398267138749361,0.3657531440258026,1.771614909172058,0.020822472870349884,8.665582656860352
9437184,0.08096138387918472,-0.007157328072935343,0.03987603634595871,0.011821920983493328,0.2619847357273102,0.4183614253997803,1.3440912961959839,-0.000488624325953424,9.11638069152832
9568256,0.23717127740383148,-0.007752080913633108,-0.018809059634804726,0.018207451328635216,0.15121354162693024,0.4877745509147644,1.9194692373275757,0.022401224821805954,8.466089248657227
9699328,0.16461604833602905,-0.002404650906100869,0.019679849967360497,-0.03662234917283058,-0.011819216422736645,0.1895197182893753,1.840488076210022,-0.06858664751052856,9.178192138671875
9830400,0.054046161472797394,0.022569475695490837,0.09455680847167969,0.04340869560837746,0.2554401755332947,0.5964629650115967,1.0491160154342651,0.019478006288409233,9.100439071655273
9961472,0.23303020000457764,-0.012646317481994629,0.025498557835817337,0.035998985171318054,0.05471895635128021,0.8120489716529846,1.9147924184799194,0.04469554126262665,8.165565490722656
10092544,-0.014241346158087254,0.011257138103246689,0.11008860170841217,0.03759801387786865,-0.06245295703411102,0.8274108171463013,1.4191949367523193,0.08369719237089157,8.861114501953125
10223616,0.2681817412376404,0.0212668739259243,0.014057589694857597,-0.03472830355167389,0.04659593850374222,0.6593669056892395,1.4809435606002808,0.023017549887299538,8.835427284240723
10354688,0.033742330968379974,0.0037635881453752518,-0.025843322277069092,0.009317046031355858,0.09136809408664703,0.8922166228294373,0.9829367995262146,0.08057210594415665,9.238550186157227
10485760,0.14478515088558197,0.005599786061793566,0.07041678577661514,0.01015987154096365,0.11469002813100815,0.5046212077140808,1.6014392375946045,0.07604654133319855,8.789444923400879
10616832,0.13750801980495453,0.019539883360266685,0.06849446147680283,0.026696674525737762,0.21836678683757782,0.29628944396972656,1.2106261253356934,0.020455840975046158,9.386717796325684
10747904,0.6476233005523682,0.062498606741428375,0.02289208211004734,0.02506112866103649,0.1261671930551529,0.4894712567329407,2.139991521835327,0.07662549614906311,8.282614707946777
10878976,0.02719586342573166,0.009258272126317024,0.10863727331161499,-0.004706951789557934,0.16154880821704865,0.5539883971214294,1.2972408533096313,-0.0076186941005289555,8.219042778015137
11010048,0.5355284214019775,0.03791338950395584,0.02850368618965149,0.04717867821455002,0.07270176708698273,0.3133314549922943,2.0562949180603027,0.043977390974760056,7.892844200134277
11141120,0.3326353430747986,0.016893483698368073,-0.029851747676730156,-0.009658685885369778,-0.08974024653434753,0.392857164144516,1.5425691604614258,-0.02271410822868347,9.146583557128906
11272192,0.13356438279151917,0.02300420217216015,0.035552483052015305,-0.001800244441255927,0.17896893620491028,0.4820956289768219,2.3151497840881348,0.06844750046730042,8.07401180267334
11403264,0.2726302444934845,0.013303104788064957,0.07234332710504532,0.08558660000562668,0.1309618055820465,0.8004062175750732,2.5586962699890137,-0.06682656705379486,7.460752964019775
11534336,0.1213168203830719,0.003156805643811822,0.05845541134476662,-0.06945507228374481,0.085408516228199,0.7830743193626404,2.0253896713256836,-0.04211577773094177,8.317828178405762
11665408,0.1427268534898758,-0.019871147349476814,0.020566202700138092,0.06423849612474442,0.07122256606817245,0.5204751491546631,2.400531530380249,-0.031168268993496895,8.139119148254395
11796480,0.15890267491340637,0.003746010595932603,-0.010921227745711803,-0.003941557370126247,-0.016550399363040924,0.6188672184944153,1.5357367992401123,0.06766323000192642,8.61113452911377
11927552,0.17526444792747498,0.00643773702904582,-0.0039038986433297396,0.09474963694810867,0.24150051176548004,0.16557073593139648,1.7445296049118042,-0.10196498036384583,8.787432670593262
12058624,0.11669690161943436,0.01814236119389534,0.06546954065561295,-0.028171487152576447,0.1935984343290329,0.3652065396308899,1.83063805103302,-0.01741853542625904,8.634864807128906
12189696,0.24267615377902985,-0.010198280215263367,0.014073513448238373,-0.012289763428270817,0.1739579141139984,0.14425165951251984,1.9207744598388672,0.015892349183559418,8.61289119720459
12320768,0.2451198250055313,0.006332192569971085,-0.018282296136021614,-0.013310728594660759,0.10486602038145065,0.9627624750137329,1.9841989278793335,0.0508870929479599,7.686375617980957
12451840,0.22585028409957886,0.0035660876892507076,0.02713046595454216,0.008389887399971485,0.2734226584434509,0.5303447246551514,2.0569145679473877,0.047409359365701675,8.02881145477295
12582912,0.09977264702320099,-0.019345583394169807,0.0013315352844074368,0.04553263261914253,0.13235975801944733,0.4429435133934021,1.3594377040863037,-0.17437514662742615,9.164031028747559
12713984,0.14466488361358643,0.01753653585910797,0.01598428189754486,0.010917936451733112,0.21599030494689941,0.7227052450180054,2.0606701374053955,0.14290592074394226,7.855572700500488
12845056,0.1109318807721138,0.00299013196490705,0.04647268354892731,0.03287692368030548,-0.07981306314468384,0.8688620328903198,1.6826999187469482,0.020237648859620094,8.509733200073242
12976128,0.2924746572971344,0.010837719775736332,0.04994652047753334,0.20925165712833405,0.2413160651922226,0.46760478615760803,2.117964029312134,0.04092477634549141,8.116479873657227
13107200,0.4504791498184204,-0.021038725972175598,0.07505837827920914,0.04434994235634804,0.32420292496681213,0.2443418651819229,2.0078322887420654,-0.08647266775369644,8.457444190979004
13238272,0.32844680547714233,0.027366774156689644,0.07109363377094269,0.001635957625694573,0.1784590482711792,0.3624739646911621,1.8580958843231201,0.06612691283226013,8.452347755432129
13369344,0.9117966890335083,-0.01286269910633564,0.10261643677949905,0.10817619413137436,0.0007703039445914328,0.47734329104423523,4.999885559082031,-0.0028123792726546526,7.478822231292725
13500416,0.3601733148097992,0.0012129467213526368,0.04884246736764908,0.11740568280220032,-0.13346846401691437,0.3049674928188324,2.3163163661956787,0.028024205937981606,7.713540554046631
