attempt,collected_frames,pan/theta_star_front,pan/theta_star_rear,pan/flipper_delta_front
1,11141120,-0.22956062911543995,0.32202411885373294,-0.01926541569253004
1,11272192,-0.23495283245574683,0.3264782475307584,0.14609278007992543
1,11403264,-0.2989102816209197,0.3628736331593245,-0.12687923571320425
1,11534336,-0.3052763161249459,0.3532655010931194,-0.4709436553530395
1,11665408,-0.21162009106725843,0.3226040579541586,0.22680518216453494
1,11796480,-0.20706259680446237,0.319796014809981,0.24066669557942078
1,11927552,-0.2519885036163032,0.3425950442906469,-0.09300728733433061
1,12058624,-0.2897656598361209,0.3498895054217428,-0.4522585361264646
1,12189696,-0.2521231375867501,0.27848975535016507,-0.4712520535103977
1,12320768,-0.21854861348401755,0.269408255815506,-0.338927720207721
1,12451840,-0.25218838604632765,0.3325191466137767,-0.027670099632814527
1,12582912,-0.21245262399315834,0.3325468797702342,0.16725717263761908
1,12713984,-0.2581503575021634,0.2674860330329587,-0.5244337013363838
1,12845056,-0.2435803139815107,0.25268123764544725,-0.5100105728488415
1,12976128,-0.31786068866495043,0.3344646682962775,-0.37193789205048233
1,13107200,-0.28423048567492515,0.33566327090375125,-0.24498280428815633
1,13238272,-0.22270215849857777,0.2901346907019615,-0.0266966475001027
1,13369344,-0.20577574870549142,0.26602779631502926,0.03203976777513162
1,13500416,-0.21403207816183567,0.2929149854462594,0.17895524814957753
1,13631488,-0.1615565801039338,0.30092688789591193,0.4267330467700958
1,13762560,-0.17943618275128148,0.262644998380177,0.34051656190305946
1,13893632,-0.17188462684862316,0.26099724194500595,0.351216112729162
1,14024704,-0.1601166515611112,0.28978250198997557,0.5801703799515963
1,14155776,-0.16158128948882222,0.3142411536537111,0.27850743072485784
1,14286848,-0.30473256076220423,0.3827141388319433,-0.44445580052706646
1,14417920,-0.25412479403894395,0.34776927856728435,-0.0582149220208521
1,14548992,-0.2479304865701124,0.34354018326848745,-0.09506179774689372
1,14680064,-0.22451240755617619,0.35171249881386757,0.3822417189076077
1,14811136,-0.24855163226879085,0.3385849141998915,-0.04485520453677357
1,14942208,-0.22760428464971483,0.32000089797656983,-0.05776768880241434
1,15073280,-0.32007817435078323,0.39440534613095224,-0.30606675427407026
1,15204352,-0.2734682214213535,0.35469519975595176,-0.2638794374652207
1,15335424,-0.4981776063796133,0.49014571867883205,-1.04859229514841
1,15466496,-0.6239299098961055,0.5646091178059578,-1.6348429694771767
1,15597568,-0.6886949157342315,0.5885869478806853,-1.9522190382704139
1,15728640,-0.5132314476650208,0.5027022580616176,-1.4238959718495607
1,15859712,-0.30307968800499413,0.3547446360260559,-0.5273359297088851
1,15990784,-0.2831073255511001,0.3371639223769307,-0.4970213402993977
1,16121856,-0.46222938504070044,0.4636609978042543,-1.0470648449845612
1,16252928,-0.25695093197282404,0.36647517420351505,-0.05439080962969456
1,16384000,-0.25065240263938904,0.35425000987015665,-0.1330662556720199
1,16515072,-0.3608527423348278,0.3946326549630612,-0.6856655036099255
1,16646144,-0.3165949825197458,0.36583767319098115,-0.5787534387782216
1,16777216,-0.3205054628197104,0.37139783846214414,-0.48901308164931834
1,16908288,0.017337492082248596,0.2560956843350626,1.2152013267545652
1,17039360,0.022819065172370756,0.24597128853201866,1.2116840444505215
1,17170432,-0.08349024307608488,0.30918451480101794,0.6604898422956467
1,17301504,-0.2340762245003134,0.3130708725657314,-0.18435095879249275
1,17432576,-0.2941462337039411,0.3335496752988547,-0.6043200814165175
1,17563648,-0.2737102198880166,0.34504908113740385,-0.4140790010569617
1,17694720,-0.2903325035003945,0.371374171692878,-0.4554025437682867
1,17825792,-0.3013976060319692,0.38111043930985034,-0.26048188732238486
1,17956864,-0.21359025691926947,0.3345581435429631,0.2307316999665151
1,18087936,-0.20129993685986847,0.3278961438918486,0.2419147880282253
1,18219008,-0.25656932429410517,0.3654820437077433,0.1579324676131364
1,18350080,-0.28021789842750877,0.3644247546326369,-0.12028894520335598
1,18481152,-0.21627549501135945,0.3414933951571584,0.24770563075435348
1,18612224,-0.20393433328717947,0.33893326157703996,0.41628181911073625
1,18743296,-0.27851419476792216,0.3616001473274082,-0.0948078903456917
1,18874368,-0.251754772500135,0.33246945566497743,0.07413706158331479
1,19005440,-0.14254167884830773,0.26427846085386897,0.33464854625286533
1,19136512,-0.13293756468920037,0.25762814830522984,0.3494001287035644
1,19267584,-0.1929405354312621,0.30248133081477135,0.19822422129800543
1,19398656,-0.16843398980563506,0.3201517697889358,0.41741438873577863
1,19529728,-0.005194888093683403,0.28891140944324434,0.9868146791122854
1,19660800,0.01219721804591245,0.28693399659823626,0.6504212291911244
1,19791872,-0.08460414141882211,0.2759827165864408,0.14293872418784304
1,19922944,-0.19494340039091185,0.3189808549359441,-0.24227232675184496
1,20054016,0.004146213403340274,0.19291128798271528,0.8248461324473222
1,20185088,0.011908857855814858,0.18395144440000877,0.8375417566858232
1,20316160,-0.3301387276769674,0.38962528260890394,-0.5325166561378865
1,20447232,-0.21503478437080048,0.3378119736444205,0.11474336956598563
1,20578304,-0.28230465698288754,0.38017327315174043,-0.33894833143858705
1,20709376,-0.3123573085758835,0.38336774217896163,-0.2487961319857277
1,20840448,-0.10121875599725172,0.28517306421417743,0.7183720553293824
1,20971520,-0.16198269580490887,0.32416028226725757,0.2323145342488715
1,21102592,-0.17725050495607625,0.3112712961776803,-0.013230008808507894
1,21233664,-0.17661139147821814,0.30996746243909,-0.009374379755172413
1,21364736,-0.15196769760223106,0.2932141713099554,0.3110509764883318
1,21495808,-0.061188445124571444,0.2475082848686725,0.6386874215677381
1,21626880,-0.13687278257566504,0.28534783353097737,0.2289529843692435
1,21757952,-0.2363787511130795,0.3485986280720681,0.08760113119933521
1,21889024,-0.15841771225677803,0.32322743395343423,0.00965032273234101
1,22020096,-0.1471209372393787,0.267403504694812,-0.1079738182525034
1,22151168,0.18514052476733922,0.21850525532461082,1.4106916938504823
1,22282240,0.18409652425907552,0.20526071486528963,1.4038771796040237
1,22413312,0.12460256795748137,0.2567940396256745,1.0371886994689703
1,22544384,-0.02585962909506634,0.2730165780521929,0.33948719239560887
1,22675456,-0.0486686899785127,0.25785371381789446,0.39601336559280753
1,22806528,-0.03355005074990913,0.25004881457425654,0.6028529847972095
1,22937600,-0.06868350222794106,0.26899707107804716,0.2911639885860495
1,23068672,-0.21854477480519563,0.32136054150760174,-0.1642963976119063
1,23199744,-0.10149112356458015,0.25168938837635024,-0.18735591632828194
1,23330816,-0.09861561135039665,0.24632560857571661,-0.1925579182789079
1,23461888,-0.04473309031163808,0.27061853429768234,0.7671458905097097
1,23592960,0.06504575311555527,0.2581108574522659,0.8409449905157089
1,23724032,-0.08650452002621023,0.3212826137896627,0.2513828387745889
1,23855104,-0.07731095350754913,0.2861334151821211,0.4265982317883754
1,23986176,0.10769161063217325,0.18217526539228857,1.0625351867638528
1,24117248,0.1427159199374728,0.2129409097833559,1.0597312315367162
1,24248320,-0.24850677106306346,0.2690564090029026,-0.49770203994431844
1,24379392,-0.236673568142578,0.2669043589849025,-0.49308494245633483
1,24510464,-0.20420934678986669,0.24481379974167794,-0.1536744546610862
1,24641536,-0.2701141736470163,0.321413773461245,-0.35753042134456336
1,24772608,-0.210755804204382,0.33153518848121166,-0.07835935726689058
1,24903680,-0.008214665530431375,0.17586476600263268,0.5439216321101412
1,25034752,-0.013773278446024051,0.18685560446465388,0.3924424092983827
1,25165824,-0.157311865943484,0.294361807173118,0.45394408283755183
1,25296896,0.13776863074861467,0.15120059132333458,0.8966721069098761
1,25427968,0.13597330648917705,0.1489207861595787,0.9018435035832226
1,25559040,0.08378860703669488,0.185803264612332,0.6635968699119985
1,25690112,0.03404708904054132,0.15798970410833135,0.7422416931949556
1,25821184,0.03866430087509798,0.2160243063699454,0.7495285659097135
1,25952256,-0.03173632689140504,0.2776004286715761,0.5715818405151367
1,26083328,-0.09118401288287714,0.25809458224102855,0.29172806412680075
1,26214400,-0.2601250970037654,0.31593873840756714,-0.33473012068134267
1,26345472,-0.03490822680022878,0.23920430604523668,0.5743169407880244
1,26476544,-0.02671974758413853,0.23351979174185544,0.555003204732202
1,26607616,-0.03331740746580181,0.2682082112878561,0.6814793422818184
1,26738688,0.07401262337589287,0.2304299109382555,1.0793975787237287
1,26869760,0.0005770251864305465,0.28302817523945123,0.5572818338405341
1,27000832,-0.03086810426975717,0.2791973426938057,0.5079914692323655
1,27131904,0.08012442543258658,0.19393067725468427,0.9249480837024748
1,27262976,-0.0934408649118268,0.29051414178684354,0.04122788285894785
1,27394048,-0.015742424969600204,0.2634924650625908,0.20484317615628242
1,27525120,-0.01337125112877402,0.2514560966519639,0.19022346333076712
1,27656192,-0.1705556247907225,0.34517813357524574,-0.131086146873713
1,27787264,-0.1800039272638969,0.3222437328658998,-0.11393173014948843
1,27918336,-0.021623116997943725,0.25405389186926186,0.5372443172163912
1,28049408,0.01713982689398108,0.2518351987237111,0.7630978389643133
1,28180480,0.07379937582300045,0.24405569769442081,0.7611743621528149
1,28311552,0.06096234984579496,0.24311183241661638,0.6729311067610979
1,28442624,0.058336986484161274,0.10804819967529813,0.6792641376362493
1,28573696,0.0692336969950702,0.10823868762236089,0.6977384709753096
1,28704768,-0.026567330913167098,0.2023520481889136,0.29180369002278894
1,28835840,0.0028976144021726213,0.23090377601329237,0.5690703085856512
1,28966912,0.08936039054242428,0.23867234762292355,0.885506343562156
1,29097984,0.04987094066746067,0.22673260001465678,0.7874017371796072
1,29229056,-0.08429764183892985,0.2794983034254983,0.4141868557780981
1,29360128,-0.07147825177526101,0.2645129740703851,0.3432453216519207
1,29491200,-0.1404844182958671,0.1963964461395517,-0.288360105783989
1,29622272,-0.1349020373309031,0.19159039668738842,-0.2608138101641089
1,29753344,-0.029338711539821816,0.17631725512910634,0.4118550190323731
1,29884416,-0.06655686780140968,0.2570150127867237,0.196311672896627
1,30015488,-0.05504762058262713,0.26575791626237333,0.3052902405615896
