collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean
5636096,-0.00862871017307043,0.8297916666666667,2000000,0.0009641666666666659,,,,
5636096,,,,,0.06241864711046219,0.008822944015264511,-0.013033685274422169,-0.010912279598414898
5767168,-0.020258979871869087,0.8258333333333333,2000000,0.0009633333333333325,,,,
5767168,,,,,0.08226819336414337,0.008216900750994682,-0.007382006384432316,-0.011844513937830925
5898240,-0.00605204701423645,0.821875,2000000,0.0009624999999999993,,,,
5898240,,,,,0.08275281637907028,0.010255367495119572,-0.0005707324598915875,-0.00339498370885849
6029312,-0.0015504616312682629,0.8179166666666666,2000000,0.0009616666666666659,,,,
6029312,,,,,0.07501758635044098,0.02373730018734932,-0.006863417569547892,-0.006278142333030701
6160384,0.009867403656244278,0.8139583333333333,2000000,0.0009608333333333325,,,,
6160384,,,,,0.10345648974180222,0.17070554196834564,0.001892344793304801,0.023162301629781723
6291456,0.0007015049923211336,0.81,2000000,0.0009599999999999992,,,,
6291456,,,,,0.09127628803253174,0.03893333673477173,0.033586058765649796,0.035942599177360535
6422528,-0.004083969630300999,0.8060416666666667,2000000,0.0009591666666666658,,,,
6422528,,,,,0.09064443409442902,0.017485149204730988,0.036431021988391876,0.03356892615556717
6553600,0.021401040256023407,0.8020833333333334,2000000,0.0009583333333333325,,,,
6553600,,,,,0.10794641077518463,0.033387791365385056,0.016750143840909004,0.03170695900917053
6684672,-0.004104213789105415,0.798125,2000000,0.0009574999999999992,,,,
6684672,,,,,0.07184669375419617,0.01903866045176983,0.053058821707963943,0.0426071472465992
6815744,-0.0063776373863220215,0.7941666666666667,2000000,0.0009566666666666659,,,,
6815744,,,,,0.08549690991640091,0.02879044972360134,0.042551733553409576,0.042811766266822815
6946816,-0.006832845509052277,0.7902083333333334,2000000,0.0009558333333333325,,,,
6946816,,,,,0.08306586742401123,0.025346441194415092,0.07287100702524185,0.056146830320358276
7077888,0.0018311379244551063,0.78625,2000000,0.0009549999999999991,,,,
7077888,,,,,0.09291777014732361,0.015420997515320778,0.08929605782032013,0.09106678515672684
7208960,0.010179005563259125,0.7822916666666666,2000000,0.0009541666666666658,,,,
7208960,,,,,0.08257514238357544,0.03313511610031128,0.09706714749336243,0.09705109894275665
7340032,0.0012410003691911697,0.7783333333333333,2000000,0.0009533333333333325,,,,
7340032,,,,,0.10006856918334961,0.01963222213089466,0.13717779517173767,0.10982795804738998
7471104,0.0008868384175002575,0.774375,2000000,0.0009524999999999992,,,,
7471104,,,,,0.0900193452835083,0.013626380823552608,0.14131289720535278,0.12102917581796646
7602176,0.03884553164243698,0.7704166666666667,2000000,0.0009516666666666659,,,,
7602176,,,,,0.08398070931434631,0.03187583014369011,0.15671171247959137,0.14399981498718262
7733248,-0.008955293335020542,0.7664583333333334,2000000,0.0009508333333333325,,,,
7733248,,,,,0.06690070033073425,0.036790259182453156,0.16084356606006622,0.17454636096954346
7864320,-0.016478324308991432,0.7625,2000000,0.0009499999999999991,,,,
7864320,,,,,0.08438132703304291,0.017128799110651016,0.16826170682907104,0.1423385739326477
7995392,-0.0008850365411490202,0.7585416666666667,2000000,0.0009491666666666658,,,,
7995392,,,,,0.08604589104652405,0.010424137115478516,0.19508373737335205,0.17313580214977264
8126464,-0.010740811936557293,0.7545833333333334,2000000,0.0009483333333333324,,,,
8126464,,,,,0.07556469738483429,0.05439738556742668,0.2075907289981842,0.22198718786239624
8257536,0.004034794867038727,0.750625,2000000,0.000947499999999999,,,,
8257536,,,,,0.07865362614393234,0.06004754453897476,0.25052115321159363,0.26058652997016907
8388608,0.0046205115504562855,0.7466666666666667,2000000,0.0009466666666666656,,,,
8388608,,,,,0.08499333262443542,0.03247968107461929,0.27105575799942017,0.259796679019928
8519680,0.004655324853956699,0.7427083333333333,2000000,0.0009458333333333323,,,,
8519680,,,,,0.09051191806793213,0.05826923996210098,0.27763625979423523,0.2610102891921997
8650752,0.029691193252801895,0.73875,2000000,0.0009449999999999989,,,,
8650752,,,,,0.09554789215326309,0.02534528635442257,0.2766980826854706,0.26496437191963196
8781824,-0.0012778309173882008,0.7347916666666667,2000000,0.0009441666666666656,,,,
8781824,,,,,0.10772974789142609,0.01675483025610447,0.30288082361221313,0.282561331987381
8912896,-0.03245091810822487,0.7308333333333333,2000000,0.0009433333333333323,,,,
8912896,,,,,0.07856342196464539,0.030803686007857323,0.29737022519111633,0.29639261960983276
9043968,-0.005798868369311094,0.7268749999999999,2000000,0.0009424999999999989,,,,
9043968,,,,,0.0755603015422821,0.029608819633722305,0.3169387876987457,0.2961258590221405
9175040,-0.0016562552191317081,0.7229166666666667,2000000,0.0009416666666666655,,,,
9175040,,,,,0.0742717832326889,0.05636778846383095,0.3180569112300873,0.29773545265197754
9306112,0.0072256168350577354,0.7189583333333334,2000000,0.0009408333333333323,,,,
9306112,,,,,0.09311197698116302,0.014665390364825726,0.3228842318058014,0.28732389211654663
9437184,0.005865089595317841,0.7150000000000001,2000000,0.0009399999999999989,,,,
9437184,,,,,0.08702158182859421,0.05288093909621239,0.334496408700943,0.32968538999557495
9568256,-0.011384960263967514,0.7110416666666667,2000000,0.0009391666666666655,,,,
9568256,,,,,0.09670983254909515,0.028130365535616875,0.32339394092559814,0.29650402069091797
9699328,0.04044633358716965,0.7070833333333333,2000000,0.0009383333333333321,,,,
9699328,,,,,0.09616716206073761,0.047485772520303726,0.3345085680484772,0.30611106753349304
9830400,0.0038674892857670784,0.703125,2000000,0.0009374999999999989,,,,
9830400,,,,,0.09513174742460251,0.06835078448057175,0.3423990309238434,0.32867446541786194
9961472,-0.010166472755372524,0.6991666666666667,2000000,0.0009366666666666655,,,,
9961472,,,,,0.09367865324020386,0.055723484605550766,0.38721129298210144,0.37085339426994324
10092544,0.0020574117079377174,0.6952083333333334,2000000,0.0009358333333333321,,,,
10092544,,,,,0.08646149933338165,0.0811351090669632,0.3627638816833496,0.3423277735710144
10223616,-0.009069527499377728,0.69125,2000000,0.0009349999999999988,,,,
10223616,,,,,0.07859493792057037,0.03619993105530739,0.39078956842422485,0.37154024839401245
10354688,0.004777754191309214,0.6872916666666666,2000000,0.0009341666666666655,,,,
10354688,,,,,0.07925598323345184,0.03530026972293854,0.40423718094825745,0.38881778717041016
10485760,0.01217358186841011,0.6833333333333333,2000000,0.0009333333333333321,,,,
10485760,,,,,0.10010538250207901,0.05354512110352516,0.4158620238304138,0.39152249693870544
10616832,-0.0037467684596776962,0.6793750000000001,2000000,0.0009324999999999988,,,,
10616832,,,,,0.09401872754096985,0.09381011128425598,0.4147917926311493,0.4123166799545288
10747904,0.016756266355514526,0.6754166666666668,2000000,0.0009316666666666654,,,,
10747904,,,,,0.09696696698665619,0.04138952121138573,0.41904670000076294,0.3853462338447571
10878976,-0.00486851017922163,0.6714583333333334,2000000,0.0009308333333333321,,,,
10878976,,,,,0.07272480428218842,0.04592190310359001,0.4129590094089508,0.4066491425037384
11010048,-0.02414294332265854,0.6675,2000000,0.0009299999999999989,,,,
11010048,,,,,0.08036698400974274,0.07200808823108673,0.44246163964271545,0.4113571345806122
11141120,-0.008602182380855083,0.6635416666666667,2000000,0.0009291666666666655,,,,
11141120,,,,,0.0828305333852768,0.07714015990495682,0.45150327682495117,0.41950154304504395
11272192,-0.00572068989276886,0.6595833333333333,2000000,0.0009283333333333322,,,,
11272192,,,,,0.09383891522884369,0.021695807576179504,0.44379663467407227,0.4194177985191345
11403264,-0.003567415988072753,0.655625,2000000,0.0009274999999999989,,,,
11403264,,,,,0.10400436073541641,0.06121155619621277,0.4258018732070923,0.39459747076034546
11534336,0.01141967624425888,0.6516666666666666,2000000,0.0009266666666666655,,,,
11534336,,,,,0.100296750664711,0.033509381115436554,0.423240602016449,0.39033108949661255
11665408,-0.005619481205940247,0.6477083333333333,2000000,0.0009258333333333321,,,,
11665408,,,,,0.09602765738964081,0.046350620687007904,0.4544915556907654,0.42803606390953064
